Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,1-5653,12,8,1-5653,11,5,0,0,5.0,0.45454545454545453
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,13,3,1-1390,98,19,0,27,44.18722850084305,0.4508900867432964
486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,1-8678,13,3,1-8678,17,3,0,5,7.664301574230194,0.4508412690723644
315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,1-1769,23,18,1-1769,89,27,0,14,40.06004440784454,0.45011285851510724
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,18,19,1-6227,52,0,0,25,23.32150787115097,0.4484905359836725
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,6,17,MLG57,629,35,0,262,279.40940248966217,0.44421208662903366
240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,MLG33,5,13,MLG33,20,7,0,2,8.865720629692078,0.4432860314846039
298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,1-7019,21,8,1-7019,107,20,0,29,47.052949130535126,0.4397471881358423
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,1-8018,4,10,1-8018,58,16,0,10,25.328603148460388,0.4367000542837998
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,13,3,MLG65,201,42,0,49,87.7101554274559,0.436368932474905
520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,1-2034,11,2,1-2034,16,6,0,1,6.932860314846039,0.4333037696778774
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,MLG06,5,13,MLG06,18,5,0,3,7.7985809445381165,0.43325449691878426
485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,1-5980,7,11,1-5980,29,6,0,7,12.530022203922272,0.4320697311697335
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,2,4,1-7682,141,32,0,31,60.9186697602272,0.43204730326402274
366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,1-5163,7,14,1-5163,16,5,0,2,6.865720629692078,0.42910753935575485
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-8042,14,20,1-8042,52,11,0,12,22.194323778152466,0.42681391881062436
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,1-7496,10,7,1-7496,246,62,0,46,104.91157448291779,0.4264698149712105
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,16,21,1-5775,244,15,0,95,103.62172991037369,0.42467922094415445
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,1-9850,10,7,1-9850,27,3,0,9,11.39574283361435,0.42206454939312404
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,18,19,1-1258,435,64,0,127,182.47325998544693,0.4194787585872343
363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,18,19,1-10785,279,45,0,77,116.83024424314499,0.4187463951367204
286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,10,7,1-3587,46,8,0,12,19.194323778152466,0.41726790822070575
379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,1-4640,10,7,1-4640,87,11,0,27,36.18722850084305,0.415945155182104
369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,1-6594,15,22,1-6594,70,29,0,0,29.0,0.4142857142857143
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,5,13,1-18709,33,9,0,5,13.664301574230194,0.41406974467364227
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,MLG35,4,10,MLG35,49,10,0,11,20.261463463306427,0.4134992543531924
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,18,19,1-6561,65,10,0,18,26.7914856672287,0.4121767025727492
