Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
374,374,374,374,374,374,374,374,374,374,1-6919,21,4,1-6919,43,11,0,43,40.65102344751358,0.9453726383142693
455,455,455,455,455,455,455,455,455,455,1-17790,3,20,1-17790,5,3,0,2,4.379117369651794,0.8758234739303589
373,373,373,373,373,373,373,373,373,373,1-6918,5,6,1-6918,43,5,0,47,37.40925818681717,0.8699827485306318
464,464,464,464,464,464,464,464,464,464,1-10060,8,11,1-10060,36,24,0,10,30.895586848258972,0.8582107457849715
468,468,468,468,468,468,468,468,468,468,1-6228,13,22,1-6228,48,12,0,42,40.96146476268768,0.8533638492226601
457,457,457,457,457,457,457,457,457,457,1-8503,16,15,1-8503,16,4,0,14,13.653821587562561,0.8533638492226601
492,492,492,492,492,492,492,492,492,492,1-6028,14,7,1-6028,2,1,0,1,1.6895586848258972,0.8447793424129486
545,545,545,545,545,545,545,545,545,545,1-19567,1,19,1-19567,2,1,0,1,1.6895586848258972,0.8447793424129486
197,197,197,197,197,197,197,197,197,197,1-8646,17,14,1-8646,20,14,0,4,16.75823473930359,0.8379117369651794
387,387,387,387,387,387,387,387,387,387,1-10539,9,2,1-10539,63,44,0,6,48.13735210895538,0.7640849541104029
68,68,68,68,68,68,68,68,68,68,1-7845,12,10,1-7845,36,16,0,14,25.65382158756256,0.7126061552100711
327,327,327,327,327,327,327,327,327,327,P-16616,9,2,P-16616,28,15,0,7,19.82691079378128,0.70810395692076
322,322,322,322,322,322,322,322,322,322,1-0296,14,7,1-0296,41,17,0,17,28.722497642040253,0.7005487229765915
466,466,466,466,466,466,466,466,466,466,1-5981,21,4,1-5981,28,12,0,11,19.58514553308487,0.6994694833244596
18,18,18,18,18,18,18,18,18,18,1-3521,4,21,1-3521,22,0,0,22,15.170291066169739,0.6895586848258972
46,46,46,46,46,46,46,46,46,46,1-8566,4,21,1-8566,5,2,0,2,3.3791173696517944,0.6758234739303589
130,130,130,130,130,130,130,130,130,130,1-1833,12,10,1-1833,124,19,0,88,79.68116426467896,0.6425900343925722
334,334,334,334,334,334,334,334,334,334,1-20641,8,11,1-20641,16,6,0,6,10.137352108955383,0.6335845068097115
484,484,484,484,484,484,484,484,484,484,MLG31,17,14,MLG31,33,19,0,2,20.379117369651794,0.6175490112015696
278,278,278,278,278,278,278,278,278,278,1-10762,14,7,1-10762,6,3,0,1,3.689558684825897,0.6149264474709829
124,124,124,124,124,124,124,124,124,124,1-8427,8,11,1-8427,189,79,0,51,114.16749292612076,0.604060809132914
57,57,57,57,57,57,57,57,57,57,1-1224,19,8,1-1224,151,18,0,106,91.0932205915451,0.6032663615334113
74,74,74,74,74,74,74,74,74,74,1-8124,11,5,1-8124,18,6,0,7,10.82691079378128,0.60149504409896
228,228,228,228,228,228,228,228,228,228,1-17835,14,7,1-17835,17,6,0,6,10.137352108955383,0.596314829938552
183,183,183,183,183,183,183,183,183,183,1-9496,19,8,1-9496,39,21,0,3,23.06867605447769,0.5915045142173767
470,470,470,470,470,470,470,470,470,470,1-1204,12,10,1-1204,39,10,0,18,22.41205632686615,0.5746681109452859
518,518,518,518,518,518,518,518,518,518,1-1850,21,4,1-1850,30,11,0,9,17.206028163433075,0.5735342721144359
412,412,412,412,412,412,412,412,412,412,1-6858,19,8,1-6858,23,9,0,6,13.137352108955383,0.5711892221284949
309,309,309,309,309,309,309,309,309,309,1-3516,16,15,1-3516,156,16,0,103,87.02454453706741,0.5578496444683808
