Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,215,MLG40,3,MLG40,3,51,11,1,13,1019.1974440217018,19.984263608268662
168,168,168,168,168,168,168,168,168,168,168,168,MLG45,5,MLG45,5,70,17,1,16,1027.0891618728638,14.672702312469482
9,9,9,9,9,9,9,9,9,9,9,9,1-3523,3,1-3523,3,543,92,1,150,1186.5858925580978,2.1852410544348024
8,8,8,8,8,8,8,8,8,8,8,8,1-10468,5,1-10468,5,549,56,1,154,1153.1081830263138,2.1003792040552165
85,85,85,85,85,85,85,85,85,85,85,85,1-1131,12,1-1131,12,138,66,0,15,75.45858925580978,0.5468013714189115
211,211,211,211,211,211,211,211,211,211,211,211,1-8042,8,1-8042,19,52,13,0,23,27.50317019224167,0.5289071190815705
67,67,67,67,67,67,67,67,67,67,67,67,1-3516,20,1-3516,8,156,17,0,102,81.31840693950653,0.5212718393558111
267,267,267,267,267,267,267,267,267,267,267,267,1-5413,16,1-5413,16,39,10,0,14,18.8280166387558,0.48276965740399486
256,256,256,256,256,256,256,256,256,256,256,256,1-0296,3,1-0296,3,41,5,0,23,19.50317019224167,0.4756870778595529
112,112,112,112,112,112,112,112,112,112,112,112,1-3447,4,1-3447,4,110,38,0,21,51.2420249581337,0.46583659052848814
203,203,203,203,203,203,203,203,203,203,203,203,1-9938,6,1-9938,6,55,18,0,11,24.93629878759384,0.45338725068352437
66,66,66,66,66,66,66,66,66,66,66,66,MLG48,6,MLG48,6,159,13,0,93,71.64325338602066,0.4505864992831488
165,165,165,165,165,165,165,165,165,165,165,165,MLG59,5,MLG59,5,71,18,0,21,31.242024958133698,0.44002852053709435
239,239,239,239,239,239,239,239,239,239,239,239,1-5002,7,1-5002,7,45,7,0,20,19.611452341079712,0.4358100520239936
22,22,22,22,22,22,22,22,22,22,22,22,MLG50,15,MLG50,15,319,43,0,144,133.80245685577393,0.419443438419354
195,195,195,195,195,195,195,195,195,195,195,195,1-9379,21,1-9379,9,58,24,0,0,24.0,0.41379310344827586
71,71,71,71,71,71,71,71,71,71,71,71,1-4417,18,1-4417,18,151,22,0,63,61.72607487440109,0.40878195281060326
34,34,34,34,34,34,34,34,34,34,34,34,MLG51,16,MLG51,16,248,71,0,44,98.74519515037537,0.39816610947732
228,228,228,228,228,228,228,228,228,228,228,228,MLG60,2,MLG60,2,47,16,0,4,18.522290468215942,0.394091286557786
206,206,206,206,206,206,206,206,206,206,206,206,1-8544,7,1-8544,8,54,6,0,24,21.133742809295654,0.39136560757954914
242,242,242,242,242,242,242,242,242,242,242,242,1-3206,13,1-3206,13,45,9,0,13,17.197444021701813,0.3821654227044847
146,146,146,146,146,146,146,146,146,146,146,146,MLG78,15,MLG78,15,80,17,0,21,30.242024958133698,0.3780253119766712
62,62,62,62,62,62,62,62,62,62,62,62,1-6878,18,1-6878,18,167,7,0,86,61.22924506664276,0.36664218602780096
5,5,5,5,5,5,5,5,5,5,5,5,MLG57,16,MLG57,16,629,114,0,183,229.39478892087936,0.3646975976484569
23,23,23,23,23,23,23,23,23,23,23,23,1-7866,3,1-7866,3,318,28,0,134,112.49673068523407,0.35376330404161654
278,278,278,278,278,278,278,278,278,278,278,278,1-7845,9,1-7845,20,36,5,0,12,12.566871404647827,0.34907976124021745
308,308,308,308,308,308,308,308,308,308,308,308,1-4700,17,1-4700,8,31,7,0,6,10.783435702323914,0.347852764591094
