,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
0,1-9491,16,1-9491,10,80,15,1,25,1020.8871161192656,12.76108895149082
1,MLG52,16,MLG52,10,125,15,1,43,1025.1258397251368,8.201006717801095
2,1-1350,6,1-1350,2,195,94,0,8,95.88387715816498,0.4917121905546922
3,1-0272,16,1-0272,10,111,40,0,11,42.590331092476845,0.3836966765088004
4,1-9333,15,1-9333,17,102,25,0,59,38.89359404146671,0.3813097455045756
5,MLG40,3,MLG40,16,51,15,0,16,18.76775431632996,0.3679951826731364
6,MLG56,6,MLG56,2,511,157,0,119,185.02267272770405,0.3620795943790686
7,MLG60,13,MLG60,5,47,14,0,12,16.825815737247467,0.3579960795159035
8,1-9379,4,1-9379,9,58,17,0,14,20.29678502678871,0.3499445694273916
9,1-5002,10,1-5002,11,45,13,0,11,15.590331092476845,0.346451802055041
10,1-0292,7,1-0292,1,99,29,0,19,33.47420825064182,0.3381233156630487
11,MLG45,4,MLG45,9,70,19,0,19,23.474208250641823,0.335345832152026
12,MLG32,21,MLG32,13,52,17,0,0,17.0,0.3269230769230769
13,1-1131,11,1-1131,12,138,39,0,20,43.709692895412445,0.3167369050392206
14,1-7682,13,1-7682,5,141,33,0,45,43.596809014678,0.3091972270544539
15,1-5980,14,1-5980,11,29,7,0,8,8.883877158164978,0.3063405916608613
16,1-1608,6,1-1608,2,307,83,0,44,93.36132436990738,0.3041085484361804
17,MLG29,10,MLG29,11,164,43,0,29,49.829054698348045,0.303835699380171
18,MLG75,13,MLG75,5,185,44,0,45,54.596809014678,0.295117886565827
19,1-9938,5,1-9938,8,55,10,0,25,15.887116119265556,0.2888566567139192
20,1-6974,15,1-6974,17,207,12,0,202,59.567898243665695,0.2877676243655347
21,1-7122,17,1-7122,20,197,13,0,185,56.56465928256512,0.2871302501653051
22,MLG59,4,MLG59,9,71,16,0,18,20.2387236058712,0.2850524451531155
23,1-3535,3,1-3535,16,315,47,0,173,87.73884354531765,0.2785360112549767
24,1-1258,2,1-1258,15,435,98,0,97,120.84201054275036,0.277797725385633
25,1-18558,9,1-18558,18,307,63,0,94,85.13555660843849,0.2773145166398648
26,72-12171,12,72-12171,14,19,4,0,5,5.177423223853111,0.2724959591501637
27,1-18709,10,1-18709,10,33,7,0,8,8.883877158164978,0.269208398732272
28,1-11350,9,1-11350,18,100,22,0,20,26.709692895412445,0.2670969289541244
29,1-9650,5,1-9650,8,25,4,0,11,6.590331092476845,0.2636132436990738
30,1-8906,9,1-8906,18,15,3,0,4,3.941938579082489,0.2627959052721659
31,1-6693,10,1-6693,11,98,21,0,20,25.709692895412445,0.262343805055229
32,1-3104,12,1-3104,14,16,3,0,5,4.177423223853111,0.2610889514908194
33,1-18487,21,1-18487,13,23,6,0,0,6.0,0.2608695652173913
34,1-7019,2,1-7019,15,107,15,0,53,27.48068617284298,0.2568288427368502
35,MLG41,4,MLG41,9,66,15,0,8,16.883877158164978,0.2558163205782572
36,1-7866,9,1-7866,18,318,47,0,142,80.43881955742836,0.2529522627592087
37,1-3587,13,1-3587,5,46,9,0,11,11.590331092476845,0.2519637194016705
38,1-10468,5,1-10468,8,549,102,0,154,138.26463529467583,0.251848151720721
39,1-5981,9,1-5981,18,28,3,0,17,7.003238961100578,0.2501156771821635
40,1-9270,21,1-9270,13,128,32,0,0,32.0,0.25
41,1-8418,4,1-8418,9,46,11,0,2,11.470969289541245,0.2493688975987227
42,1-9770,17,1-9770,20,50,10,0,10,12.354846447706224,0.2470969289541244
43,1-4136,9,1-4136,18,5,1,0,1,1.2354846447706225,0.2470969289541244
44,1-8646,3,1-8646,16,20,4,0,4,4.941938579082489,0.2470969289541244
45,1-9286,16,1-9286,10,81,12,0,34,20.00647792220116,0.246993554595076
46,1-3639,17,1-3639,20,17,3,0,5,4.177423223853111,0.2457307778737124
47,1-3108,3,1-3108,16,18,3,0,6,4.4129078686237335,0.245161548256874
48,1-8124,5,1-8124,8,18,3,0,6,4.4129078686237335,0.245161548256874
49,1-0053,10,1-0053,11,142,27,0,31,34.30002398788929,0.2415494647034457
50,1-9110,6,1-9110,2,29,7,0,0,7.0,0.2413793103448276
51,1-2324,13,1-2324,5,25,5,0,4,5.941938579082489,0.2376775431632995
52,1-8285,16,1-8285,10,72,13,0,17,17.00323896110058,0.2361560966819524
53,1-7527,7,1-7527,1,1,0,0,1,0.2354846447706222,0.2354846447706222
54,1-10060,5,1-10060,8,36,4,0,19,8.474208250641823,0.2353946736289395
55,1-4855,11,1-4855,12,22,4,0,5,5.177423223853111,0.2353374192660505
56,MLG62,4,MLG62,9,525,26,0,413,123.255158290267,0.234771730076699
57,MLG57,1,MLG57,4,629,141,0,21,145.94517754018307,0.2320273092848697
58,1-7024,2,1-7024,15,498,71,0,189,115.5065978616476,0.2319409595615413
59,1-9156,15,1-9156,17,268,51,0,47,62.067778304219246,0.2315961877023106
60,1-2153,9,1-2153,18,13,3,0,0,3.0,0.2307692307692307
61,1-7268,1,1-7268,4,70,15,0,4,15.941938579082487,0.2277419797011784
62,1-6098,10,1-6098,11,1327,225,0,317,299.64863239228725,0.2258090673641953
63,1-2382,16,1-2382,10,139,16,0,65,31.306501910090446,0.2252266324466938
64,1-3521,7,1-3521,1,22,0,0,21,4.945177540183067,0.2247807972810485
65,1-9436,10,1-9436,11,21,4,0,3,4.706453934311867,0.2241168540148508
66,1-8634,13,1-8634,5,10,2,0,1,2.2354846447706223,0.2235484644770622
67,MLG33,17,MLG33,20,20,4,0,2,4.4709692895412445,0.2235484644770622
68,MLG84,6,MLG84,2,63,14,0,0,14.0,0.2222222222222222
69,1-3523,9,1-3523,18,543,74,0,196,120.15499037504196,0.2212799086096537
70,1-4355,9,1-4355,18,49,8,0,12,10.825815737247469,0.2209350150458666
71,P-16616,3,P-16616,16,28,5,0,5,6.177423223853111,0.2206222579947539
72,1-3519,9,1-3519,18,27,1,0,21,5.945177540183067,0.220191760747521
73,1-2282,17,1-2282,20,219,42,0,23,47.41614682972431,0.2165120859804763
74,1-9549,15,1-9549,17,18,2,0,8,3.883877158164978,0.2157709532313876
75,1-5654,1,1-5654,4,15,3,0,1,3.2354846447706223,0.2156989763180415
