Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,1-9491,20,1-9491,10,80,7,1,22,1023.7237155903131,12.796546444878913
93,93,93,93,93,93,MLG52,20,MLG52,10,125,2,1,33,1027.0855733854696,8.216684587083757
558,558,558,558,558,558,1-10951,12,1-10951,18,1,1,0,0,1.0,1.0
52,52,52,52,52,52,1-7122,17,1-7122,20,197,9,0,185,149.6312447367236,0.7595494656686477
49,49,49,49,49,49,1-6974,15,1-6974,17,207,7,0,187,149.15158251766115,0.7205390459790394
242,242,242,242,242,242,1-3206,12,1-3206,18,45,3,0,34,28.84574227593839,0.6410164950208531
104,104,104,104,104,104,1-9394,15,1-9394,17,117,64,0,10,71.60168890468776,0.6119802470486133
6,6,6,6,6,6,MLG54,6,MLG54,12,595,57,0,400,361.0675561875105,0.6068362288865723
4,4,4,4,4,4,MLG68,10,MLG68,5,642,30,0,463,381.9581962870434,0.5949504615062982
203,203,203,203,203,203,1-9938,3,1-9938,8,55,3,0,39,32.64658672828227,0.5935743041505868
10,10,10,10,10,10,MLG62,4,MLG62,9,525,30,0,370,311.2624894734472,0.5928809323303756
27,27,27,27,27,27,1-1608,8,1-1608,2,307,29,0,198,179.5134403128177,0.5847343332665071
15,15,15,15,15,15,1-1580,12,1-1580,18,400,25,0,251,215.80239150766283,0.5395059787691571
239,239,239,239,239,239,1-5002,5,1-5002,11,45,12,0,16,24.16270224750042,0.5369489388333426
47,47,47,47,47,47,1-0303,14,1-0303,15,212,78,0,46,112.9677689615637,0.5328668347243571
299,299,299,299,299,299,MLG31,16,MLG31,6,33,10,0,9,16.841520014218986,0.5103490913399693
358,358,358,358,358,358,1-8627,10,1-8627,6,25,9,0,4,12.040675561875105,0.4816270224750042
5,5,5,5,5,5,MLG57,9,MLG57,4,629,61,0,280,273.84728933125734,0.4353692994137637
28,28,28,28,28,28,1-7005,7,1-7005,14,285,40,0,109,122.85840906109661,0.43108213705647935
89,89,89,89,89,89,1-9831,3,1-9831,8,132,5,0,67,55.93131566140801,0.42372208834400005
30,30,30,30,30,30,1-10785,14,1-10785,15,279,34,0,107,115.33807128015906,0.4133981049468067
143,143,143,143,143,143,1-9286,20,1-9286,10,81,9,0,32,33.32540449500084,0.4114247468518622
43,43,43,43,43,43,MLG14,16,MLG14,6,232,56,0,50,94.00844452343881,0.40520881260102937
0,0,0,0,0,0,1-6098,5,1-6098,11,1327,135,0,507,520.4056274676695,0.3921670139168572
300,300,300,300,300,300,1-18709,20,1-18709,10,33,3,0,13,12.882195576094091,0.39036956291194214
83,83,83,83,83,83,MLG13,7,MLG13,14,140,14,0,53,54.28895119484514,0.3877782228203224
121,121,121,121,121,121,1-9333,15,1-9333,17,102,10,0,38,38.8864178378135,0.381239390566799
17,17,17,17,17,17,1-7004,11,1-7004,19,381,52,0,122,144.7406046371907,0.3798966000976134
154,154,154,154,154,154,1-9417,3,1-9417,8,76,3,0,34,28.84574227593839,0.3795492404728736
212,212,212,212,212,212,MLG32,22,MLG32,13,52,3,0,22,19.723715590313077,0.3793022228906361
61,61,61,61,61,61,1-6927,3,1-6927,8,179,4,0,84,67.8541867993772,0.3790736692702637
215,215,215,215,215,215,MLG40,13,MLG40,16,51,14,0,7,19.321182233281434,0.3788467104564987
451,451,451,451,451,451,1-11329,15,1-11329,5,14,3,0,3,5.280506671406329,0.3771790479575949
126,126,126,126,126,126,1-6693,5,1-6693,11,98,11,0,33,36.085573385469615,0.36822013658642466
9,9,9,9,9,9,1-3523,12,1-3523,18,543,76,0,163,199.90752914641052,0.3681538289989144
37,37,37,37,37,37,1-5775,16,1-5775,6,244,22,0,89,89.65503125172108,0.3674386526709881
329,329,329,329,329,329,1-5980,5,1-5980,11,29,3,0,10,10.601688904687762,0.3655754794719918
152,152,152,152,152,152,1-10038,17,1-10038,20,76,11,0,22,27.723715590313077,0.36478573145148785
80,80,80,80,80,80,1-0053,5,1-0053,11,142,12,0,52,51.528782304376364,0.36287874862236874
109,109,109,109,109,109,1-7441,22,1-7441,13,111,5,0,46,39.967768961563706,0.36006999064471806
403,403,403,403,403,403,72-12171,7,72-12171,14,19,3,0,5,6.800844452343881,0.35793918170230954
281,281,281,281,281,281,1-3312,3,1-3312,8,36,3,0,13,12.882195576094091,0.35783876600261366
122,122,122,122,122,122,1-9404,3,1-9404,8,100,5,0,40,35.40675561875105,0.3540675561875105
64,64,64,64,64,64,MLG29,5,MLG29,11,164,15,0,56,57.56945786625147,0.35103327967226505
85,85,85,85,85,85,1-1131,6,1-1131,12,138,38,0,13,47.88219557609409,0.34697243171082676
8,8,8,8,8,8,1-10468,3,1-10468,8,549,26,0,213,187.91597366984934,0.34228774803251244
332,332,332,332,332,332,P-16616,13,P-16616,16,28,5,0,6,9.561013342812657,0.3414647622433092
53,53,53,53,53,53,1-8341,7,1-8341,14,197,16,0,67,66.93131566140801,0.3397528713777056
165,165,165,165,165,165,MLG59,4,MLG59,9,71,21,0,4,24.040675561875105,0.33860106425176206
153,153,153,153,153,153,1-9516,7,1-9516,14,76,5,0,27,25.524560042656958,0.3358494742454863
82,82,82,82,82,82,1-8188,21,1-8188,3,140,47,0,0,47.0,0.3357142857142857
199,199,199,199,199,199,1-20167,5,1-20167,11,56,2,0,22,18.723715590313077,0.3343520641127335
77,77,77,77,77,77,1-9674,3,1-9674,8,144,4,0,58,48.08979564718902,0.3339569142165904
521,521,521,521,521,521,1-3551,15,1-3551,8,6,2,0,0,2.0,0.3333333333333333
63,63,63,63,63,63,1-3052,7,1-3052,14,166,11,0,58,55.08979564718902,0.3318662388384881
94,94,94,94,94,94,1-1005,5,1-1005,11,125,10,0,41,41.166924509219825,0.3293353960737586
267,267,267,267,267,267,1-5413,20,1-5413,10,39,6,0,9,12.841520014218986,0.32926974395433295
157,157,157,157,157,157,1-17733,3,1-17733,8,74,3,0,28,24.284728933125734,0.3281720126098072
14,14,14,14,14,14,1-1317,3,1-1317,8,414,20,0,152,135.545671351254,0.32740500326389854
24,24,24,24,24,24,1-3535,13,1-3535,16,315,74,0,36,101.36608005687594,0.3217970795456379
376,376,376,376,376,376,1-18487,22,1-18487,13,23,2,0,7,7.321182233281434,0.31831227101223625
65,65,65,65,65,65,1-4319,3,1-4319,8,163,7,0,59,51.8499645376578,0.31809794194882085
130,130,130,130,130,130,1-3139,7,1-3139,14,93,8,0,28,29.284728933125734,0.3148895584207068
57,57,57,57,57,57,MLG75,10,MLG75,5,185,33,0,33,58.085573385469615,0.3139760723538898
111,111,111,111,111,111,1-0272,11,1-0272,10,111,11,0,31,34.56523560453206,0.3113985189597483
75,75,75,75,75,75,1-2545,12,1-2545,18,145,14,0,40,44.40675561875105,0.3062534870258693
46,46,46,46,46,46,1-2282,17,1-2282,20,219,50,0,22,66.72371559031308,0.30467450041238847
195,195,195,195,195,195,1-9379,4,1-9379,9,58,16,0,2,17.520337780937552,0.30207478932650955
91,91,91,91,91,91,1-9270,22,1-9270,13,128,9,0,39,38.64658672828227,0.30192645881470526
168,168,168,168,168,168,MLG45,4,MLG45,9,70,18,0,4,21.040675561875105,0.30058107945535867
346,346,346,346,346,346,1-9805,17,1-9805,20,26,4,0,5,7.800844452343881,0.30003247893630314
70,70,70,70,70,70,1-1224,3,1-1224,8,151,5,0,53,45.28895119484514,0.2999268291049347
385,385,385,385,385,385,1-18615,9,1-18615,4,22,2,0,6,6.561013342812657,0.29822787921875715
54,54,54,54,54,54,1-1350,8,1-1350,2,195,36,0,29,58.04489782359451,0.29766614268510005
59,59,59,59,59,59,1-8573,15,1-8573,17,184,38,0,22,54.72371559031308,0.2974114977734406
20,20,20,20,20,20,1-8067,3,1-8067,8,322,11,0,111,95.37874684203416,0.29620728832929866
257,257,257,257,257,257,1-19286,10,1-19286,6,40,8,0,5,11.800844452343881,0.29502111130859704
319,319,319,319,319,319,1-18935,16,1-18935,16,30,5,0,5,8.800844452343881,0.29336148174479604
68,68,68,68,68,68,1-1015,22,1-1015,13,155,41,0,5,44.80084445234388,0.2890377061441541
368,368,368,368,368,368,1-6858,18,1-6858,21,23,2,0,6,6.561013342812657,0.28526144968750683
1,1,1,1,1,1,1-9227,7,1-9227,14,801,61,0,220,228.23715590313077,0.284940269541986
232,232,232,232,232,232,1-8095,22,1-8095,13,46,7,0,8,13.08135112375021,0.2843771983423959
359,359,359,359,359,359,1-7839,17,1-7839,20,24,3,0,5,6.800844452343881,0.28336851884766173
105,105,105,105,105,105,1-7042,17,1-7042,20,117,5,0,37,33.12624894734472,0.2831303328832882
117,117,117,117,117,117,1-7019,14,1-7019,15,107,9,0,28,30.284728933125734,0.2830348498422966
155,155,155,155,155,155,1-8157,15,1-8157,17,75,5,0,21,20.9635466998443,0.279513955997924
406,406,406,406,406,406,1-3265,22,1-3265,18,19,3,0,3,5.280506671406329,0.2779214037582278
404,404,404,404,404,404,1-20578,4,1-20578,9,19,3,0,3,5.280506671406329,0.2779214037582278
32,32,32,32,32,32,1-7874,7,1-7874,14,258,13,0,77,71.53300456609577,0.27725970762052626
482,482,482,482,482,482,1-9457,3,1-9457,8,11,0,0,4,3.040675561875105,0.276425051079555
74,74,74,74,74,74,1-8074,4,1-8074,9,145,34,0,8,40.08135112375021,0.2764231111982773
151,151,151,151,151,151,MLG38,4,MLG38,9,77,19,0,3,21.28050667140633,0.2763702165117705
160,160,160,160,160,160,1-5197,3,1-5197,8,72,3,0,22,19.723715590313077,0.27394049430990386
344,344,344,344,344,344,1-2103,18,1-2103,21,26,4,0,4,7.040675561875105,0.27079521391827327
266,266,266,266,266,266,1-9496,16,1-9496,8,39,6,0,6,10.561013342812657,0.27079521391827327
26,26,26,26,26,26,1-18558,12,1-18558,18,307,35,0,63,82.8906400995329,0.27000208501476514
174,174,174,174,174,174,MLG41,4,MLG41,9,66,14,0,5,17.80084445234388,0.26970976442945277
439,439,439,439,439,439,1-4682,18,1-4682,21,16,2,0,3,4.280506671406329,0.26753166696289554
260,260,260,260,260,260,1-4760,12,1-4760,18,40,3,0,10,10.601688904687762,0.26504222261719407
387,387,387,387,387,387,1-9436,5,1-9436,11,21,1,0,6,5.561013342812657,0.2648101591815551
264,264,264,264,264,264,1-8928,17,1-8928,20,39,5,0,7,10.321182233281434,0.26464569828926754
166,166,166,166,166,166,MLG58,22,MLG58,13,71,5,0,18,18.683040028437972,0.26314140885123904
23,23,23,23,23,23,1-7866,12,1-7866,18,318,25,0,77,83.53300456609577,0.2626824042958986
334,334,334,334,334,334,1-18994,11,1-18994,19,28,2,0,7,7.321182233281434,0.2614707940457655
22,22,22,22,22,22,MLG50,16,MLG50,6,319,45,0,50,83.00844452343881,0.26021455963460444
81,81,81,81,81,81,1-7682,20,1-7682,5,141,4,0,43,36.68726229015738,0.26019334957558427
297,297,297,297,297,297,1-9630,13,1-9630,16,33,4,0,6,8.561013342812657,0.2594246467518987
288,288,288,288,288,288,1-9761,22,1-9761,13,35,6,0,4,9.040675561875105,0.2583050160535744
263,263,263,263,263,263,1-6061,10,1-6061,11,40,5,0,7,10.321182233281434,0.25802955583203585
86,86,86,86,86,86,1-8910,7,1-8910,14,137,1,0,45,35.20760007109493,0.2569897815408389
100,100,100,100,100,100,1-5172,18,1-5172,21,120,4,0,35,30.605911166407168,0.2550492597200597
12,12,12,12,12,12,1-7024,14,1-7024,15,498,38,0,117,126.93976018484682,0.2548991168370418
550,550,550,550,550,550,1-3176,9,1-3176,4,3,0,0,1,0.7601688904687762,0.25338963015625876
548,548,548,548,548,548,1-5914,1,1-5914,1,3,0,0,1,0.7601688904687762,0.25338963015625876
518,518,518,518,518,518,1-4842,1,1-4842,1,6,0,0,2,1.5203377809375525,0.25338963015625876
445,445,445,445,445,445,1-5654,9,1-5654,4,15,0,0,5,3.800844452343881,0.25338963015625876
401,401,401,401,401,401,1-8100,10,1-8100,5,19,1,0,5,4.800844452343881,0.2526760238075727
430,430,430,430,430,430,1-8023,9,1-8023,4,16,1,0,4,4.040675561875105,0.25254222261719406
221,221,221,221,221,221,1-4355,12,1-4355,18,49,4,0,11,12.361857795156538,0.2522828121460518
487,487,487,487,487,487,1-4929,18,1-4929,21,10,1,0,2,2.5203377809375525,0.25203377809375527
490,490,490,490,490,490,1-8634,10,1-8634,5,10,1,0,2,2.5203377809375525,0.25203377809375527
243,243,243,243,243,243,1-19166,11,1-19166,19,45,6,0,7,11.321182233281434,0.25158182740625407
11,11,11,11,11,11,MLG56,8,MLG56,2,511,94,0,45,128.20760007109493,0.25089549916065546
429,429,429,429,429,429,1-9452,4,1-9452,4,16,4,0,0,4.0,0.25
163,163,163,163,163,163,1-6692,15,1-6692,17,71,16,0,2,17.520337780937552,0.24676532085827538
142,142,142,142,142,142,1-8084,5,1-8084,11,82,8,0,16,20.16270224750042,0.24588661277439536
98,98,98,98,98,98,1-5043,18,1-5043,21,123,8,0,29,30.04489782359451,0.24426746198044316
309,309,309,309,309,309,1-9185,10,1-9185,5,31,3,0,6,7.561013342812657,0.24390365621976315
339,339,339,339,339,339,1-9850,7,1-9850,14,27,2,0,6,6.561013342812657,0.24300049417824657
51,51,51,51,51,51,MLG65,4,MLG65,9,201,46,0,3,48.28050667140633,0.2402015257283897
275,275,275,275,275,275,1-4020,9,1-4020,4,37,2,0,9,8.841520014218986,0.23896000038429693
421,421,421,421,421,421,1-5282,15,1-5282,17,17,1,0,4,4.040675561875105,0.23768679775735913
181,181,181,181,181,181,MLG84,8,MLG84,2,63,5,0,13,14.882195576094091,0.2362253266046681
183,183,183,183,183,183,1-19915,18,1-19915,21,62,10,0,6,14.561013342812657,0.23485505391633318
141,141,141,141,141,141,1-8820,3,1-8820,8,83,2,0,23,19.483884480781853,0.23474559615399823
331,331,331,331,331,331,1-5981,12,1-5981,18,28,2,0,6,6.561013342812657,0.23432190510045206
179,179,179,179,179,179,1-7467,22,1-7467,13,64,2,0,17,14.922871137969196,0.23316986153076869
347,347,347,347,347,347,1-7204,10,1-7204,13,26,3,0,4,6.040675561875105,0.2323336754567348
39,39,39,39,39,39,1-9768,11,1-9768,19,241,33,0,30,55.80506671406329,0.23155629341934975
289,289,289,289,289,289,1-5549,20,1-5549,10,35,2,0,8,8.08135112375021,0.23089574639286314
