Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,18,13,MLG56,511,57,1,198,1062.5304669179022,2.0793159822268144
299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,18,13,MLG54,595,41,1,166,1045.6366540826857,1.75737252787006
464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,14,4,1-10060,36,17,0,7,17.195521557703614,0.47765337660287815
479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,10,14,1-9286,81,30,0,8,30.22345320880413,0.3731290519605448
149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,14,6,MLG58,71,24,0,16,24.44690641760826,0.34432262560011634
128,128,128,128,128,128,128,128,128,128,128,128,128,128,1-19286,19,10,1-19286,40,13,0,2,13.055863302201033,0.3263965825550258
259,259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,20,5,1-3596,223,65,0,36,66.00553943961859,0.29598896609694436
375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,15,10,MLG14,232,65,0,14,65.39104311540723,0.2818579444629622
423,423,423,423,423,423,423,423,423,423,423,423,423,423,1-7122,14,6,1-7122,197,53,0,25,53.69829127751291,0.2725801587691011
302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,17,12,MLG51,248,61,0,65,62.81555732153356,0.2532885375868289
382,382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,20,5,1-18558,307,76,0,50,77.39658255502582,0.2521061321010613
364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,10,5,1-7682,141,34,0,34,34.949676137417555,0.24787004352778408
73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,16,21,1-5355,53,13,0,2,13.055863302201033,0.24633704343775534
322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,4,18,1-0296,41,10,0,2,10.055863302201033,0.2452649585902691
153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,10,14,1-1350,195,47,0,23,47.642427975311875,0.24432014346313782
484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,15,10,MLG31,33,8,0,2,8.055863302201033,0.24411706976366765
282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,10,14,1-1608,307,71,0,88,73.45798529684544,0.23927682507115777
162,162,162,162,162,162,162,162,162,162,162,162,162,162,1-8067,12,4,1-8067,322,74,0,68,75.89935227483511,0.23571227414545065
355,355,355,355,355,355,355,355,355,355,355,355,355,355,1-9498,20,5,1-9498,64,14,0,7,14.195521557703614,0.22180502433911897
286,286,286,286,286,286,286,286,286,286,286,286,286,286,1-3587,3,20,1-3587,46,10,0,3,10.083794953301549,0.21921293376742498
415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,4,18,1-1957,47,10,0,7,10.195521557703614,0.2169259905894386
434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,4,18,MLG59,71,15,0,12,15.335179813206196,0.2159884480733267
332,332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,20,19,MLG78,80,17,0,7,17.195521557703614,0.21494401947129518
531,531,531,531,531,531,531,531,531,531,531,531,531,531,1-5891,14,6,1-5891,96,20,0,21,20.586564673110843,0.2144433820115713
560,560,560,560,560,560,560,560,560,560,560,560,560,560,1-0027,4,18,1-0027,29,6,0,4,6.111726604402065,0.21074919325524363
392,392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,18,13,1-9609,25,5,0,9,5.251384859904647,0.21005539439618587
106,106,106,106,106,106,106,106,106,106,106,106,106,106,MLG69,20,5,MLG69,576,114,0,179,118.99976554699242,0.20659681518575074
455,455,455,455,455,455,455,455,455,455,455,455,455,455,1-17790,17,12,1-17790,5,1,0,1,1.0279316511005163,0.20558633022010325
190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,18,13,1-2382,139,27,0,38,28.06140274181962,0.20188059526488936
418,418,418,418,418,418,418,418,418,418,418,418,418,418,1-6216,4,18,1-6216,45,8,0,38,9.06140274181962,0.20136450537376935
318,318,318,318,318,318,318,318,318,318,318,318,318,318,1-2324,13,9,1-2324,25,5,0,1,5.027931651100516,0.20111726604402066
50,50,50,50,50,50,50,50,50,50,50,50,50,50,1-8174,3,20,1-8174,45,9,0,0,9.0,0.2
535,535,535,535,535,535,535,535,535,535,535,535,535,535,1-5990,15,10,1-5990,5,1,0,0,1.0,0.2
309,309,309,309,309,309,309,309,309,309,309,309,309,309,1-3516,11,15,1-3516,156,29,0,43,30.2010609973222,0.1935965448546295
398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,7,1,1-0303,212,41,0,0,41.0,0.19339622641509435
266,266,266,266,266,266,266,266,266,266,266,266,266,266,1-2103,2,19,1-2103,26,5,0,1,5.027931651100516,0.1933819865807891
404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,17,12,1-4682,16,3,0,3,3.083794953301549,0.1927371845813468
