,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
372,1-6909,1,17,1-6909,36,3,0,1,3.612122654914856,0.1003367404143015
373,1-8826,18,1,1-8826,123,6,0,10,12.12122654914856,0.0985465573101508
374,1-6743,7,8,1-6743,58,2,0,6,5.672735929489136,0.0978057918877437
375,1-7866,15,17,1-7866,318,19,0,19,30.630330443382263,0.096321793847114
376,1-9887,23,21,1-9887,36,1,0,4,3.448490619659424,0.0957914061016506
377,1-9578,9,20,1-9578,42,4,0,0,4.0,0.0952380952380952
378,1-3639,15,17,1-3639,17,1,0,1,1.612122654914856,0.0948307444067562
379,1-1183,1,23,1-1183,45,3,0,2,4.224245309829712,0.0938721179962158
380,1-19598,8,24,1-19598,11,1,0,0,1.0,0.0909090909090909
381,1-5653,6,20,1-5653,11,1,0,0,1.0,0.0909090909090909
382,1-18615,20,24,1-18615,22,2,0,0,2.0,0.0909090909090909
383,1-9731,6,18,1-9731,11,1,0,0,1.0,0.0909090909090909
384,1-2400,3,11,1-2400,49,2,0,4,4.448490619659424,0.0907855228501923
385,1-9495,1,23,1-9495,18,1,0,1,1.612122654914856,0.089562369717492
386,1-0022,19,19,1-0022,18,1,0,1,1.612122654914856,0.089562369717492
387,MLG12,2,7,MLG12,146,10,0,5,13.06061327457428,0.0894562553053032
388,1-6918,22,2,1-6918,43,2,0,3,3.836367964744568,0.0892178596452225
389,MLG62,9,20,MLG62,525,45,0,3,46.83636796474457,0.0892121294566563
390,1-3587,3,11,1-3587,46,1,0,5,4.06061327457428,0.0882742016211799
391,1-5530,1,23,1-5530,7,0,0,1,0.612122654914856,0.0874460935592651
392,1-9447,2,3,1-9447,7,0,0,1,0.612122654914856,0.0874460935592651
393,1-8125,5,6,1-8125,21,0,0,3,1.836367964744568,0.0874460935592651
394,1-2596,7,8,1-2596,35,0,0,5,3.06061327457428,0.0874460935592651
395,1-2573,22,2,1-2573,37,2,0,2,3.224245309829712,0.0871417651305327
396,MLG39,10,24,MLG39,23,2,0,0,2.0,0.0869565217391304
397,1-8529,20,10,1-8529,56,3,0,3,4.836367964744568,0.086363713656153
398,1-1462,4,1,1-1462,192,11,0,9,16.509103894233704,0.0859849161158005
399,1-6642,13,5,1-6642,36,0,0,5,3.06061327457428,0.0850170354048411
400,1-2584,15,17,1-2584,36,0,0,5,3.06061327457428,0.0850170354048411
401,1-9185,13,5,1-9185,31,2,0,1,2.612122654914856,0.0842620211262856
402,MLG09,5,6,MLG09,125,5,0,9,10.509103894233704,0.0840728311538696
403,1-7991,2,13,1-7991,46,2,0,3,3.836367964744568,0.0833993035814036
404,1-8314,8,24,1-8314,36,3,0,0,3.0,0.0833333333333333
405,1-8928,1,23,1-8928,39,2,0,2,3.224245309829712,0.0826729566623003
406,MLG11,21,4,MLG11,87,1,0,10,7.12122654914856,0.0818531787258455
407,1-1850,23,21,1-1850,30,0,0,4,2.448490619659424,0.0816163539886474
408,1-19915,8,24,1-19915,62,5,0,0,5.0,0.0806451612903225
409,1-3139,4,1,1-3139,93,5,0,4,7.448490619659424,0.0800912969855852
410,1-8400,3,11,1-8400,33,2,0,1,2.612122654914856,0.0791552319671168
411,1-3052,4,1,1-3052,166,6,0,11,12.733349204063416,0.0767069229160446
412,MLG07,16,16,MLG07,90,2,0,8,6.896981239318848,0.0766331248813205
413,1-0405,17,15,1-0405,64,0,0,8,4.896981239318848,0.076515331864357
414,1-0303,8,24,1-0303,212,16,0,0,16.0,0.0754716981132075
415,1-9870,19,19,1-9870,27,2,0,0,2.0,0.074074074074074
416,MLG64,8,24,MLG64,245,18,0,0,18.0,0.073469387755102
417,1-18409,1,23,1-18409,22,1,0,1,1.612122654914856,0.0732783024961298
418,1-9518,9,20,1-9518,22,1,0,1,1.612122654914856,0.0732783024961298
419,MLG13,4,1,MLG13,140,4,0,10,10.12122654914856,0.0722944753510611
420,1-6787,11,16,1-6787,56,4,0,0,4.0,0.0714285714285714
421,MLG43,9,18,MLG43,14,1,0,0,1.0,0.0714285714285714
422,1-5981,8,24,1-5981,28,2,0,0,2.0,0.0714285714285714
423,1-7204,22,2,1-7204,26,0,0,3,1.836367964744568,0.0706295371055603
424,1-7122,2,5,1-7122,197,9,0,8,13.896981239318848,0.0705430519762378
425,1-10038,10,3,1-10038,76,4,0,2,5.224245309829712,0.0687400698661804
426,1-9345,16,16,1-9345,47,2,0,2,3.224245309829712,0.06860096403893
427,1-8113,13,5,1-8113,9,0,0,1,0.612122654914856,0.0680136283238728
428,1-2869,20,10,1-2869,9,0,0,1,0.612122654914856,0.0680136283238728
429,1-9444,20,10,1-9444,24,1,0,1,1.612122654914856,0.067171777288119
430,1-8767,13,5,1-8767,48,2,0,2,3.224245309829712,0.067171777288119
431,1-8544,11,14,1-8544,54,3,0,1,3.612122654914856,0.066891160276201
432,1-8906,22,2,1-8906,15,1,0,0,1.0,0.0666666666666666
433,1-9504,3,11,1-9504,30,2,0,0,2.0,0.0666666666666666
434,1-8094,15,17,1-8094,58,2,0,3,3.836367964744568,0.0661442752542166
435,1-6916,11,14,1-6916,43,1,0,3,2.836367964744568,0.0659620456917341
436,1-8267,3,11,1-8267,133,5,0,6,8.672735929489136,0.0652085408232265
437,MLG17,20,10,MLG17,153,2,0,13,9.957594513893127,0.0650823170842688
438,1-18203,13,5,1-18203,29,0,0,3,1.836367964744568,0.063323033267054
439,1-5877,8,24,1-5877,79,5,0,0,5.0,0.0632911392405063
440,1-9115,17,5,1-9115,16,1,0,0,1.0,0.0625
441,MLG35,8,24,MLG35,49,3,0,0,3.0,0.0612244897959183
442,1-6718,1,23,1-6718,20,0,0,2,1.224245309829712,0.0612122654914856
443,72-18936,17,15,72-18936,20,0,0,2,1.224245309829712,0.0612122654914856
444,1-5406,6,18,1-5406,10,0,0,1,0.612122654914856,0.0612122654914856
445,1-9902,23,21,1-9902,30,0,0,3,1.836367964744568,0.0612122654914856
446,1-6532,1,23,1-6532,27,1,0,1,1.612122654914856,0.059708246478328
447,1-1177,20,24,1-1177,17,1,0,0,1.0,0.0588235294117647
448,1-9516,4,1,1-9516,76,2,0,4,4.448490619659424,0.0585327713113082
449,1-8341,4,1,1-8341,197,7,0,7,11.284858584403992,0.0572835461137258
450,1-8398,5,6,1-8398,54,0,0,5,3.06061327457428,0.0566780236032274
451,1-9457,1,23,1-9457,11,0,0,1,0.612122654914856,0.0556475140831687
452,MLG31,1,23,MLG31,33,0,0,3,1.836367964744568,0.0556475140831687
453,1-5744,4,1,1-5744,18,1,0,0,1.0,0.0555555555555555
454,1-9614,17,15,1-9614,30,1,0,1,1.612122654914856,0.0537374218304952
455,1-6006,4,1,1-6006,57,0,0,5,3.06061327457428,0.0536949697293733
456,1-8157,2,24,1-8157,75,4,0,0,4.0,0.0533333333333333
457,1-3265,18,24,1-3265,19,1,0,0,1.0,0.0526315789473684
458,1-6543,7,8,1-6543,12,0,0,1,0.612122654914856,0.0510102212429046
459,1-6914,4,1,1-6914,73,3,0,1,3.612122654914856,0.0494811322591076
460,1-7842,12,9,1-7842,21,1,0,0,1.0,0.0476190476190476
461,1-9761,4,1,1-9761,35,1,0,1,1.612122654914856,0.0460606472832815
462,1-18735,2,3,1-18735,27,0,0,2,1.224245309829712,0.0453424188825819
463,1-8541,22,2,1-8541,232,8,0,4,10.448490619659424,0.045036597498532
464,1-6228,4,10,1-6228,48,2,0,0,2.0,0.0416666666666666
465,1-19222,4,1,1-19222,15,0,0,1,0.612122654914856,0.0408081769943237
466,1-5654,15,17,1-5654,15,0,0,1,0.612122654914856,0.0408081769943237
467,1-10071,12,9,1-10071,30,0,0,2,1.224245309829712,0.0408081769943237
468,1-18613,4,1,1-18613,25,1,0,0,1.0,0.04
469,1-2324,20,24,1-2324,25,1,0,0,1.0,0.04
470,1-9331,11,14,1-9331,25,1,0,0,1.0,0.04
471,72-0103,4,1,72-0103,71,1,0,3,2.836367964744568,0.0399488445738671
