Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,145,145,145,1-9491,8,1-9491,10,80,20,1,18,1035.3423289060593,12.94177911132574
93,93,93,93,93,93,93,93,93,93,MLG52,8,MLG52,10,125,7,1,9,1014.6711644530296,8.117369315624238
44,44,44,44,44,44,44,44,44,44,1-0008,4,1-0008,1,230,1,0,162,139.0809601545334,0.6046998267588408
212,212,212,212,212,212,212,212,212,212,MLG32,18,MLG32,13,52,18,0,14,29.93292248249054,0.5756331246632796
166,166,166,166,166,166,166,166,166,166,MLG58,18,MLG58,13,71,21,0,23,40.60408693552017,0.571888548387608
17,17,17,17,17,17,17,17,17,17,1-7004,13,1-7004,19,381,53,0,193,217.503859937191,0.5708762728010263
15,15,15,15,15,15,15,15,15,15,1-1580,14,1-1580,18,400,47,0,210,225.9938372373581,0.5649845930933952
191,191,191,191,191,191,191,191,191,191,MLG44,18,MLG44,13,59,12,0,25,33.308790147304535,0.5645557652085514
28,28,28,28,28,28,28,28,28,28,1-7005,11,1-7005,14,285,21,0,162,159.0809601545334,0.5581788075597662
25,25,25,25,25,25,25,25,25,25,1-18028,6,1-18028,4,309,13,0,186,171.53739869594574,0.5551372126082387
332,332,332,332,332,332,332,332,332,332,P-16616,16,P-16616,16,28,7,0,10,15.523516058921814,0.5544112878186362
62,62,62,62,62,62,62,62,62,62,1-6878,4,1-6878,1,167,22,0,82,91.89283168315887,0.550256477144664
104,104,104,104,104,104,104,104,104,104,1-9394,15,1-9394,17,117,14,0,59,64.2887447476387,0.5494764508345188
55,55,55,55,55,55,55,55,55,55,1-1462,11,1-1462,14,192,17,0,103,104.79221540689468,0.5457927885775765
290,290,290,290,290,290,290,290,290,290,1-3509,4,1-3509,1,35,3,0,18,18.342328906059265,0.5240665401731218
117,117,117,117,117,117,117,117,117,117,1-7019,4,1-7019,15,107,42,0,16,55.6376256942749,0.5199778102268683
124,124,124,124,124,124,124,124,124,124,1-0292,4,1-0292,1,99,29,0,25,50.308790147304535,0.5081695974475205
304,304,304,304,304,304,304,304,304,304,1-1592,18,1-1592,13,32,4,0,14,15.93292248249054,0.49790382757782936
63,63,63,63,63,63,63,63,63,63,1-3052,11,1-3052,14,166,9,0,86,82.3022381067276,0.49579661510076867
195,195,195,195,195,195,195,195,195,195,1-9379,19,1-9379,9,58,20,0,10,28.523516058921814,0.491784759636583
147,147,147,147,147,147,147,147,147,147,1-2423,4,1-2423,1,79,4,0,40,38.094064235687256,0.4822033447555349
10,10,10,10,10,10,10,10,10,10,MLG62,19,MLG62,9,525,24,0,265,249.87317556142807,0.47594890583129157
12,12,12,12,12,12,12,12,12,12,1-7024,17,1-7024,15,498,56,0,209,234.1414856314659,0.4701636257659958
4,4,4,4,4,4,4,4,4,4,MLG68,12,MLG68,5,642,36,0,302,293.4101849794388,0.457025210248347
228,228,228,228,228,228,228,228,228,228,MLG60,12,MLG60,5,47,12,0,11,21.375867664813995,0.45480569499604245
91,91,91,91,91,91,91,91,91,91,1-9270,18,1-9270,13,128,22,0,41,56.94641584157944,0.44489387376233935
7,7,7,7,7,7,7,7,7,7,MLG69,13,MLG69,19,576,42,0,245,250.82614344358444,0.43546205458955634
278,278,278,278,278,278,278,278,278,278,1-7845,7,1-7845,3,36,8,0,9,15.671164453029633,0.43531012369526756
404,404,404,404,404,404,404,404,404,404,1-20578,14,1-20578,9,19,4,0,5,8.261758029460907,0.4348293699716267
57,57,57,57,57,57,57,57,57,57,MLG75,12,MLG75,5,185,42,0,44,79.50347065925598,0.42974849005003235
165,165,165,165,165,165,165,165,165,165,MLG59,19,MLG59,9,71,16,0,17,30.489977300167084,0.4294363000023533
71,71,71,71,71,71,71,71,71,71,1-4417,4,1-4417,1,151,3,0,72,64.36931562423706,0.42628685843865605
224,224,224,224,224,224,224,224,224,224,1-9277,11,1-9277,14,48,2,0,21,19.89938372373581,0.41457049424449605
412,412,412,412,412,412,412,412,412,412,1-0055,5,1-0055,5,18,4,0,4,7.409406423568726,0.4116336901982625
47,47,47,47,47,47,47,47,47,47,1-0303,17,1-0303,15,212,17,0,82,86.89283168315887,0.4098718475620702
441,441,441,441,441,441,441,441,441,441,1-9997,9,1-9997,11,16,3,0,4,6.409406423568726,0.40058790147304535
429,429,429,429,429,429,429,429,429,429,1-9452,19,1-9452,4,16,3,0,4,6.409406423568726,0.40058790147304535
98,98,98,98,98,98,98,98,98,98,1-5043,2,1-5043,21,123,8,0,48,48.91287708282471,0.3976656673400383
100,100,100,100,100,100,100,100,100,100,1-5172,2,1-5172,21,120,4,0,51,47.46993190050125,0.39558276583751045
111,111,111,111,111,111,111,111,111,111,1-0272,8,1-0272,10,111,17,0,31,43.42289978265762,0.39119729533925784
168,168,168,168,168,168,168,168,168,168,MLG45,19,MLG45,9,70,18,0,11,27.375867664813995,0.39108382378305706
115,115,115,115,115,115,115,115,115,115,1-8421,2,1-8421,21,109,4,0,45,42.35582226514816,0.3885855253683318
159,159,159,159,159,159,159,159,159,159,1-6914,11,1-6914,14,73,6,0,26,28.161141753196716,0.38576906511228376
84,84,84,84,84,84,84,84,84,84,1-2382,8,1-2382,10,139,41,0,14,52.93292248249054,0.3808123919603636
