,block,slot
0,1,17
1,2,20
2,3,4
3,4,5
4,5,6
5,6,23
6,7,1
7,8,2
8,9,3
9,10,16
10,11,15
11,12,14
12,13,13
13,14,21
14,15,7
15,16,8
16,17,9
17,18,10
18,19,12
19,20,11
20,21,19
21,22,18
22,23,24
23,24,22
