Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,MLG32,3,MLG32,8,52,17,1,15,1018.4122639596462,19.5848512299932
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,MLG51,3,MLG51,8,248,50,2,68,2056.4022632837296,8.291944610015038
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1-10785,16,1-10785,17,279,21,2,42,2024.9543390870094,7.257900856942686
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,MLG49,23,MLG49,21,185,6,1,8,1006.7532074451447,5.4419092294332145
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,MLG63,16,MLG63,17,380,36,2,71,2042.6847160756588,5.375486094935944
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,1-1350,23,1-1350,21,195,9,1,22,1011.0713204741478,5.184981130636656
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,1-3596,18,1-3596,15,223,45,1,33,1048.1069807112217,4.700031303637766
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,1-9283,3,1-9283,8,235,75,1,43,1079.0484900176525,4.5916957022027765
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,MLG14,18,MLG14,15,232,47,1,16,1048.5064148902893,4.519424202113316
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1-9156,20,1-9156,12,268,31,1,35,1034.2952825725079,3.8593107558675666
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1-7024,20,1-7024,12,498,46,1,44,1050.1426409482956,2.108720162546778
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,MLG29,7,MLG29,18,164,68,0,38,71.5777353644371,0.436449605880714
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,1-6693,7,1-6693,18,98,35,0,10,35.94150930643082,0.36675009496357974
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1-1462,2,1-1462,9,192,65,0,19,66.78886768221855,0.34785868584488827
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,1-8267,2,1-8267,6,133,43,0,24,45.25962233543396,0.3402979122964959
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,1-8285,13,1-8285,2,72,23,0,15,24.412263959646225,0.3390592216617531
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,MLG41,13,MLG41,2,66,18,0,20,19.883018612861633,0.3012578577706308
239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-5002,10,1-5002,3,45,12,0,13,13.223962098360062,0.29386582440800135
220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,MLG35,10,MLG35,2,49,14,0,4,14.376603722572327,0.2934000759708638
326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,1-0027,7,1-0027,18,29,8,0,4,8.376603722572327,0.28884840422663194
545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,1-4926,4,1-4926,1,4,1,0,1,1.0941509306430817,0.2735377326607704
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1-2382,13,1-2382,6,139,34,0,19,35.78886768221855,0.25747386821739965
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1-6240,3,1-6240,8,698,170,0,102,179.60339492559433,0.25731145404812944
223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,1-6228,5,1-6228,23,48,11,0,8,11.753207445144653,0.2448584884405136
324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,1-5515,6,1-5515,7,29,6,0,11,7.035660237073898,0.24260897369220338
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG31,13,MLG31,2,33,7,0,10,7.941509306430817,0.2406517971645702
534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1-8379,4,1-8379,1,5,1,0,2,1.1883018612861633,0.23766037225723266
527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,1-17790,20,1-17790,12,5,1,0,2,1.1883018612861633,0.23766037225723266
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,1-9286,11,1-9286,5,81,17,0,22,19.071320474147797,0.2354484009154049
403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,72-12171,8,72-12171,20,19,4,0,5,4.470754653215408,0.2353028764850215
227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,1-1957,14,1-1957,14,47,10,0,11,11.035660237073898,0.23480128163987019
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,MLG55,14,MLG55,14,92,16,0,58,21.460753977298737,0.23326906497063843
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-9887,4,1-9887,1,36,8,0,4,8.376603722572327,0.2326834367381202
406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,1-3265,15,1-3265,13,19,4,0,4,4.376603722572327,0.23034756434591194
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,1-5981,6,1-5981,7,28,5,0,15,6.412263959646225,0.22900942713022232
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1-6561,15,1-6561,13,65,13,0,19,14.788867682218552,0.2275210412649008
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-6909,18,1-6909,15,36,8,0,1,8.094150930643082,0.2248375258511967
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-2701,6,1-2701,7,61,12,0,18,13.69471675157547,0.2245035533045159
332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,P-16616,18,P-16616,15,28,6,0,3,6.282452791929245,0.22437331399747304
