,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
0,1-9491,2,1-9491,10,80,13,1,16,1024.707751274109,12.80884689092636
1,MLG52,2,MLG52,10,125,8,1,18,1021.1712201833724,8.16936976146698
2,1-6858,8,1-6858,21,23,15,0,7,20.12214118242264,0.8748757035835929
3,MLG56,7,MLG56,2,511,119,0,317,350.9598221182823,0.6868098280201219
4,1-0292,6,1-0292,1,99,63,0,6,67.39040672779083,0.6807111790685942
5,1-9394,11,1-9394,17,117,14,0,86,76.92916309833527,0.657514214515686
6,P-16616,10,P-16616,16,28,13,0,5,16.658672273159027,0.594952581184251
7,MLG32,19,MLG32,13,52,18,0,17,30.43948572874069,0.5853747255527056
8,1-9379,5,1-9379,9,58,22,0,14,32.24428236484528,0.5559359028421599
9,1-3509,6,1-3509,1,35,6,0,18,19.171220183372498,0.5477491480963571
10,MLG69,17,MLG69,19,576,121,0,245,300.2749413847923,0.5213106621263756
11,1-0129,8,1-0129,21,142,33,0,55,73.2453950047493,0.5158126408785162
12,1-5002,13,1-5002,11,45,12,0,15,22.97601681947708,0.5105781515439352
13,1-9938,4,1-9938,8,55,9,0,25,27.29336136579513,0.4962429339235479
14,1-7807,18,1-7807,7,239,76,0,58,118.44059836864471,0.495567357190982
15,1-7005,15,1-7005,14,285,22,0,158,137.61404383182526,0.4828562941467553
16,MLG29,13,MLG29,11,164,41,0,52,79.05019164085388,0.4820133636637432
17,MLG40,10,MLG40,16,51,15,0,13,24.51254791021347,0.4806381943179111
18,MLG60,16,MLG60,5,47,13,0,13,22.51254791021347,0.4789903810683717
19,1-18709,2,1-18709,10,33,12,0,5,15.658672273159029,0.4745052203987584
20,1-1462,15,1-1462,14,192,17,0,101,90.90517991781236,0.473464478738606
21,1-9333,11,1-9333,17,102,10,0,52,48.05019164085388,0.4710803102044498
22,1-7004,17,1-7004,19,381,14,0,226,179.37198674678802,0.4707926161333019
23,1-6098,13,1-6098,11,1327,244,0,520,624.5019164085388,0.4706118435633299
24,1-4417,6,1-4417,1,151,7,0,86,69.92916309833527,0.4631070403863263
25,1-6693,13,1-6693,11,98,24,0,29,45.22029918432236,0.46143162432982
26,1-6561,8,1-6561,21,65,16,0,19,29.902954638004303,0.4600454559692969
27,1-6878,6,1-6878,1,167,45,0,43,76.46458154916763,0.457871745803399
28,1-8493,4,1-8493,21,38,2,0,21,17.366423547267914,0.4570111459807345
29,1-8627,16,1-8627,6,25,7,0,6,11.390406727790833,0.4556162691116333
30,1-8421,8,1-8421,21,109,13,0,50,49.58672273159027,0.4549240617577089
31,MLG65,5,MLG65,9,201,73,0,24,90.56162691116332,0.4505553577669817
32,1-7441,9,1-7441,13,111,15,0,47,49.391519367694855,0.4449686429522059
33,MLG59,5,MLG59,9,71,25,0,9,31.58561009168625,0.4448677477702288
34,MLG30,6,MLG30,1,208,30,0,85,92.19742864370346,0.4432568684793435
35,1-0303,9,1-0303,15,212,33,0,83,93.73395973443984,0.4421413195020747
36,1-3312,4,1-3312,8,36,7,0,12,15.780813455581663,0.4383559293217129
37,1-5913,6,1-5913,1,14,1,0,7,6.122141182422638,0.4372957987444741
38,1-2335,11,1-2335,17,145,29,0,47,63.391519367694855,0.437182892190999
39,1-4926,13,1-4926,11,4,1,0,1,1.7317344546318054,0.4329336136579513
40,1-1942,14,1-1942,12,34,3,0,16,14.707751274108888,0.4325809198267319
41,1-5043,8,1-5043,21,123,10,0,59,53.17233282327652,0.4322953888071262
42,1-9270,19,1-9270,13,128,33,0,30,54.95203363895416,0.4293127628043294
43,MLG45,5,MLG45,9,70,22,0,11,30.04907900094986,0.4292725571564266
44,1-8397,19,1-8397,21,51,13,0,12,21.780813455581665,0.4270747736388561
45,MLG41,5,MLG41,9,66,23,0,7,28.12214118242264,0.4260930482185248
46,1-5413,2,1-5413,10,39,7,0,13,16.51254791021347,0.4233986643644479
47,1-7744,6,1-7744,1,37,1,0,20,15.634689092636108,0.4225591646658407
48,1-6181,6,1-6181,1,659,68,0,286,277.27605402469635,0.4207527375185073
49,1-4747,8,1-4747,21,25,1,0,13,10.51254791021347,0.4205019164085388
50,1-9609,6,1-9609,1,25,1,0,13,10.51254791021347,0.4205019164085388
51,1-9416,18,1-9416,7,13,4,0,2,5.463468909263611,0.4202668391741239
52,1-0033,3,1-0033,6,10,2,0,3,4.195203363895416,0.4195203363895416
53,1-6692,11,1-6692,17,71,10,0,27,29.756830275058743,0.4191102855642077
54,MLG46,2,MLG46,10,17,2,0,7,7.122141182422638,0.4189494813189787
55,1-1350,7,1-1350,2,195,60,0,29,81.22029918432236,0.4165143547913967
56,1-3104,15,1-3104,14,16,3,0,5,6.658672273159027,0.4161670170724392
57,1-19547,18,1-19547,7,66,15,0,17,27.43948572874069,0.4157497837687983
58,1-9752,6,1-9752,1,22,4,0,7,9.122141182422638,0.4146427810192108
59,1-5355,8,1-5355,21,53,5,0,23,21.829892456531525,0.4118847633307835
60,1-8544,13,1-8544,11,54,1,0,29,22.22029918432236,0.4114870219318955
61,1-3052,15,1-3052,14,166,9,0,81,68.27049082517624,0.4112680170191339
62,1-9946,8,1-9946,21,12,2,0,4,4.926937818527222,0.4105781515439351
63,1-7204,19,1-7204,13,26,7,0,5,10.658672273159029,0.4099489335830395
64,1-5980,17,1-5980,11,29,6,0,8,11.853875637054443,0.4087543323122222
65,1-2324,16,1-2324,5,25,5,0,7,10.122141182422638,0.4048856472969055
66,1-1005,13,1-1005,11,125,16,0,47,50.391519367694855,0.4031321549415588
67,72-12171,15,72-12171,14,19,4,0,5,7.658672273159027,0.4030880143767909
68,1-4929,8,1-4929,21,10,4,0,0,4.0,0.4
69,1-8379,8,1-8379,21,5,2,0,0,2.0,0.4
70,1-9855,3,1-9855,6,8,1,0,3,3.1952033638954163,0.399400420486927
71,1-4098,6,1-4098,1,16,2,0,6,6.3904067277908325,0.399400420486927
72,MLG75,16,MLG75,5,185,46,0,38,73.8059092760086,0.3989508609513978
73,MLG15,17,MLG15,9,105,11,0,42,41.73284709453583,0.3974556866146269
74,1-18487,14,1-18487,13,23,4,0,7,9.122141182422638,0.3966148340183755
75,1-0003,3,1-0003,6,17,6,0,1,6.731734454631805,0.3959843796842238
76,1-1131,14,1-1131,12,138,39,0,21,54.36642354726792,0.3939595909222312
77,1-7019,9,1-7019,15,107,9,0,45,41.92805045843125,0.3918509388638434
78,1-3584,12,1-3584,21,26,5,0,7,10.122141182422638,0.3893131224008707
79,1-3089,3,1-3089,6,16,4,0,3,6.195203363895416,0.3872002102434635
80,1-18234,6,1-18234,1,43,2,0,20,16.63468909263611,0.3868532347124676
81,1-9436,13,1-9436,11,21,3,0,7,8.122141182422638,0.3867686277344113
82,1-8450,10,1-8450,16,52,4,0,22,20.09815800189972,0.3865030384980715
83,1-7467,19,1-7467,13,64,10,0,20,24.63468909263611,0.3849170170724392
84,1-0053,13,1-0053,11,142,26,0,39,54.53764373064041,0.3840679135960592
85,1-6061,13,1-6061,11,40,5,0,14,15.244282364845276,0.3811070591211319
86,1-1015,19,1-1015,13,155,40,0,26,59.02509582042694,0.3808070698092061
87,1-7614,12,1-7614,18,72,23,0,6,27.39040672779084,0.3804223156637615
88,MLG38,5,MLG38,9,77,18,0,15,28.97601681947708,0.3763119067464556
89,MLG35,8,MLG35,21,49,14,0,6,18.39040672779084,0.3753144230161394
90,1-8503,18,1-8503,7,16,6,0,0,6.0,0.375
91,1-1827,20,1-1827,3,24,9,0,0,9.0,0.375
92,1-8551,15,1-8551,14,38,4,0,14,14.244282364845276,0.3748495359169809
93,1-8188,20,1-8188,3,140,48,0,6,52.39040672779083,0.3742171909127916
94,1-6296,6,1-6296,1,254,19,0,103,94.36864882707596,0.371530113492425
95,1-9794,11,1-9794,17,46,9,0,11,17.04907900094986,0.3706321521945622
96,1-4682,8,1-4682,21,16,3,0,4,5.926937818527222,0.3704336136579513
97,1-2382,2,1-2382,10,139,30,0,29,51.22029918432236,0.3684913610382903
98,MLG39,2,MLG39,10,23,7,0,2,8.46346890926361,0.3679769090984178
99,1-18558,12,1-18558,18,307,91,0,30,112.95203363895416,0.3679219336773751
100,1-19568,6,1-19568,1,2,0,0,1,0.7317344546318054,0.3658672273159027
101,MLG73,6,MLG73,1,10,0,0,5,3.658672273159027,0.3658672273159027
102,1-4842,6,1-4842,1,6,0,0,3,2.1952033638954163,0.3658672273159027
103,1-8093,13,1-8093,11,4,0,0,2,1.4634689092636108,0.3658672273159027
104,1-10060,4,1-10060,8,36,0,0,18,13.171220183372498,0.3658672273159027
105,1-2423,6,1-2423,1,79,15,0,19,28.902954638004303,0.3658601852911937
106,1-3265,12,1-3265,18,19,4,0,4,6.926937818527222,0.3645756746593274
107,1-9971,9,1-9971,15,15,4,0,2,5.463468909263611,0.364231260617574
108,1-17733,4,1-17733,8,74,5,0,30,26.952033638954163,0.3642166707966778
109,1-5981,12,1-5981,18,28,8,0,3,10.195203363895416,0.3641144058534077
110,1-9277,15,1-9277,14,48,2,0,21,17.366423547267914,0.3618004905680815
111,1-9553,8,1-9553,21,23,1,0,10,8.317344546318054,0.3616236759268719
112,1-8646,10,1-8646,16,20,5,0,3,7.195203363895416,0.3597601681947708
113,1-9156,11,1-9156,17,268,36,0,82,96.00222527980804,0.3582172585067464
