Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
199,199,MLG39,13,11,MLG39,23,5,0,4,8.977076768875122,0.3903076856032662
145,145,MLG06,2,11,MLG06,18,5,0,2,6.988538384437561,0.3882521324687534
14,14,1-6098,13,14,1-6098,1327,113,0,403,513.6904844641685,0.38710661979213906
183,183,1-9496,2,11,1-9496,39,10,0,5,14.971345961093903,0.3838806656690744
339,339,1-3523,14,10,1-3523,543,71,0,138,208.2091485261917,0.3834422624791744
179,179,1-4052,15,18,1-4052,13,2,0,3,4.9828075766563416,0.38329289051202625
319,319,1-3584,14,10,1-3584,26,3,0,7,9.959884345531464,0.3830724748281332
302,302,MLG51,11,18,MLG51,248,12,0,83,94.52434295415878,0.3811465441699951
443,443,1-3447,4,5,1-3447,110,7,0,35,41.79942172765732,0.3799947429787029
192,192,1-9770,6,8,1-9770,50,17,0,2,18.98853838443756,0.37977076768875123
389,389,1-0278,7,6,1-0278,79,28,0,2,29.98853838443756,0.37960175170174126
184,184,1-8074,1,9,1-8074,145,51,0,4,54.97707676887512,0.3791522535784491
459,459,1-2545,7,6,1-2545,145,29,0,26,54.85099899768829,0.37828275170819514
161,161,MLG41,1,9,MLG41,66,9,0,16,24.90830707550049,0.3773985920530377
230,230,1-3089,12,12,1-3089,16,6,0,0,6.0,0.375
147,147,1-17657,6,8,1-17657,8,2,0,1,2.9942691922187805,0.37428364902734756
451,451,1-4098,2,11,1-4098,16,4,0,2,5.988538384437561,0.37428364902734756
221,221,1-8023,11,18,1-8023,16,2,0,4,5.977076768875122,0.37356729805469513
272,272,1-1570,17,7,1-1570,142,28,0,25,52.85672980546951,0.37223049158781346
411,411,MLG15,15,13,MLG15,105,14,0,25,38.85672980546951,0.37006409338542395
329,329,1-1317,8,20,1-1317,414,22,0,131,152.24926418066025,0.36775184584700543
382,382,1-18558,10,16,1-18558,307,41,0,71,111.59311264753342,0.36349548093659095
208,208,1-10468,8,20,1-10468,549,30,0,170,199.0257626771927,0.3625241578819539
332,332,MLG78,10,16,MLG78,80,18,0,11,28.936961114406586,0.36171201393008234
205,205,1-8018,18,19,1-8018,58,16,0,5,20.971345961093903,0.361574930363688
331,331,MLG75,15,13,MLG75,185,48,0,19,66.89111465215683,0.36157359271436124
499,499,1-8627,5,23,1-8627,25,9,0,0,9.0,0.36
371,371,1-1580,14,10,1-1580,400,69,0,73,141.58165103197098,0.35395412757992745
482,482,1-4390,15,13,1-4390,45,3,0,13,15.925499498844147,0.3538999888632033
256,256,1-9277,4,5,1-9277,48,9,0,8,16.954153537750244,0.35321153203646344
200,200,1-4634,1,9,1-4634,48,8,0,9,16.948422729969025,0.35309214020768803
504,504,1-5425,19,17,1-5425,17,4,0,2,5.988538384437561,0.35226696379044475
480,480,1-1005,13,14,1-1005,125,7,0,37,43.78796011209488,0.350303680896759
240,240,MLG33,13,14,MLG33,20,5,0,2,6.988538384437561,0.3494269192218781
338,338,1-6296,20,22,1-6296,254,19,0,70,88.59884345531464,0.3488143443122623
296,296,1-9404,8,20,1-9404,100,5,0,30,34.828075766563416,0.34828075766563416
426,426,1-4355,7,6,1-4355,49,15,0,2,16.98853838443756,0.34670486498852165
435,435,1-9610,12,12,1-9610,49,3,0,14,16.919768691062927,0.34530140185842706
369,369,1-6594,1,9,1-6594,70,23,0,1,23.99426919221878,0.342775274174554
461,461,1-9651,7,6,1-9651,38,13,0,0,13.0,0.34210526315789475
343,343,1-4319,8,20,1-4319,163,6,0,50,55.713459610939026,0.34180036571128236
322,322,1-0296,10,6,1-0296,41,12,0,2,13.988538384437561,0.3411838630350625
102,102,1-3564,17,7,1-3564,41,7,0,7,13.959884345531464,0.3404849840373528
352,352,MLG63,7,6,MLG63,380,98,0,31,128.8223449587822,0.3390061709441637
267,267,1-6181,20,22,1-6181,659,52,0,172,223.01430106163025,0.3384132034319124
278,278,1-10762,16,1,1-10762,6,2,0,0,2.0,0.3333333333333333
496,496,1-3176,16,1,1-3176,3,1,0,0,1.0,0.3333333333333333
479,479,1-9286,16,1,1-9286,81,27,0,0,27.0,0.3333333333333333
464,464,1-10060,2,11,1-10060,36,10,0,2,11.988538384437561,0.33301495512326557
477,477,1-9055,15,13,1-9055,12,3,0,1,3.9942691922187805,0.3328557660182317
540,540,1-5413,9,15,1-5413,39,7,0,6,12.965615153312683,0.3324516705977611
436,436,1-5161,1,9,1-5161,12,2,0,2,3.988538384437561,0.33237819870313007
525,525,1-3175,10,16,1-3175,6,1,0,1,1.9942691922187805,0.33237819870313007
68,68,1-7845,6,8,1-7845,36,5,0,7,11.959884345531464,0.3322190095980962
536,536,1-9971,6,18,1-9971,15,1,0,4,4.977076768875122,0.33180511792500816
176,176,1-8042,14,10,1-8042,52,5,0,12,16.931230306625366,0.3256005828197186
300,300,1-4020,9,15,1-4020,37,10,0,2,11.988538384437561,0.3240145509307449
315,315,1-1769,8,20,1-1769,89,0,0,29,28.833806574344635,0.3239753547679172
58,58,1-17733,8,20,1-17733,74,5,0,19,23.89111465215683,0.32285290070482203
437,437,1-6980,19,17,1-6980,128,2,0,39,40.77649849653244,0.3185663945041597
392,392,1-9609,20,22,1-9609,25,1,0,7,7.959884345531464,0.31839537382125854
423,423,1-7122,12,12,1-7122,197,6,0,57,62.67334395647049,0.3181388018094949
368,368,1-5197,8,20,1-5197,72,3,0,20,22.88538384437561,0.3178525533941057
206,206,1-9752,20,22,1-9752,22,1,0,6,6.965615153312683,0.31661887060512195
105,105,1-1258,17,7,1-1258,435,20,0,118,137.3237646818161,0.3156868153604968
91,91,72-12171,14,10,72-12171,19,4,0,2,5.988538384437561,0.3151862307598716
311,311,1-20578,18,19,1-20578,19,3,0,3,5.9828075766563416,0.3148846092977022
271,271,1-7897,12,12,1-7897,95,7,0,23,29.868191421031952,0.31440201495823106
347,347,1-8188,6,8,1-8188,140,10,0,34,43.80515253543854,0.31289394668170384
537,537,1-4494,16,1,1-4494,16,5,0,0,5.0,0.3125
366,366,1-5163,4,5,1-5163,16,1,0,4,4.977076768875122,0.31106729805469513
314,314,1-3139,4,5,1-3139,93,4,0,25,28.856729805469513,0.31028741726311304
202,202,1-8988,1,9,1-8988,29,7,0,2,8.988538384437561,0.3099495994633642
560,560,1-0027,1,13,1-0027,29,5,0,4,8.977076768875122,0.30955437134052144
190,190,1-2382,18,19,1-2382,139,39,0,4,42.97707676887512,0.30918760265377787
236,236,1-7024,6,8,1-7024,498,58,0,96,153.44984245300293,0.30813221376105004
224,224,1-9227,4,5,1-9227,801,31,0,217,246.75641471147537,0.3080604428357995
13,13,1-9805,15,13,1-9805,26,7,0,1,7.9942691922187805,0.3074718920084146
330,330,1-4531,4,5,1-4531,94,7,0,22,28.87392222881317,0.30716938541290606
218,218,1-9416,2,11,1-9416,13,2,0,2,3.988538384437561,0.3068106449567355
266,266,1-2103,14,10,1-2103,26,2,0,6,7.965615153312683,0.3063698135889493
413,413,1-8314,1,9,1-8314,36,5,0,6,10.965615153312683,0.30460042092535233
293,293,1-8066,12,12,1-8066,86,10,0,16,25.90830707550049,0.3012593845988429
354,354,1-9417,8,20,1-9417,76,0,0,23,22.868191421031952,0.3008972555398941
483,483,1-9491,5,23,1-9491,80,24,0,0,24.0,0.3
397,397,1-9808,20,22,1-9808,74,7,0,15,21.914037883281708,0.2961356470713744
515,515,1-6531,7,6,1-6531,27,6,0,2,7.988538384437561,0.29587179201620595
144,144,1-7744,9,7,1-7744,37,1,0,10,10.942691922187805,0.2957484303294001
