Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,9,1,MLG56,511,54,1,46,1061.2563010156155,2.0768225068798736
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,9,1,MLG54,595,56,1,17,1058.6816764622927,1.779296935230744
373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,1-6918,6,12,1-6918,43,48,0,2,48.31549134850502,1.1236160778722097
374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,11,11,1-6919,43,44,0,5,44.78872837126255,1.041598334215408
238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,1-9855,11,11,1-9855,8,6,0,1,6.15774567425251,0.7697182092815638
469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,1-8578,2,14,1-8578,11,7,0,2,7.31549134850502,0.6650446680459109
409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,1-9645,20,17,1-9645,69,36,0,55,44.676012083888054,0.6474784359983776
541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,1-5424,18,13,1-5424,5,3,0,1,3.15774567425251,0.631549134850502
261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,1-1942,19,4,1-1942,34,19,0,13,21.05069376528263,0.6191380519200774
218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,1-9416,12,7,1-9416,13,7,0,4,7.63098269701004,0.5869986690007724
