Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
425,425,425,425,425,425,425,1-0003,12,1-0003,11,17,2,0,5,4.627607583999634,0.2722122108235079
55,55,55,55,55,55,55,1-1462,18,1-1462,1,192,19,0,63,52.107855558395386,0.2713950810333093
246,246,246,246,246,246,246,1-6538,12,1-6538,11,44,3,0,17,11.933865785598755,0.2712242223999717
376,376,376,376,376,376,376,1-18487,8,1-18487,15,23,2,0,8,6.204172134399414,0.269746614539105
418,418,418,418,418,418,418,1-17835,7,1-17835,16,17,3,0,3,4.57656455039978,0.2692096794352812
354,354,354,354,354,354,354,1-7530,3,1-7530,13,25,2,0,9,6.729693651199341,0.26918774604797363
47,47,47,47,47,47,47,1-0303,20,1-0303,20,212,0,0,107,56.23080229759216,0.2652396334792083
214,214,214,214,214,214,214,1-8450,11,1-8450,12,52,9,0,9,13.72969365119934,0.26403257021537196
280,280,280,280,280,280,280,1-8314,8,1-8314,15,36,0,0,18,9.459387302398682,0.2627607583999634
539,539,539,539,539,539,539,1-21192,18,1-21192,1,4,0,0,2,1.0510430335998535,0.2627607583999634
551,551,551,551,551,551,551,1-19567,22,1-19567,10,2,0,0,1,0.5255215167999268,0.2627607583999634
502,502,502,502,502,502,502,72-11994,22,72-11994,10,8,0,0,4,2.102086067199707,0.2627607583999634
556,556,556,556,556,556,556,1-9455,20,1-9455,20,2,0,0,1,0.5255215167999268,0.2627607583999634
552,552,552,552,552,552,552,1-19568,18,1-19568,1,2,0,0,1,0.5255215167999268,0.2627607583999634
541,541,541,541,541,541,541,1-8532,22,1-8532,10,4,0,0,2,1.0510430335998535,0.2627607583999634
78,78,78,78,78,78,78,1-1570,9,1-1570,14,142,26,0,21,37.03595185279846,0.26081656234365114
470,470,470,470,470,470,470,1-9055,18,1-9055,1,12,1,0,4,3.102086067199707,0.25850717226664227
503,503,503,503,503,503,503,1-5531,18,1-5531,1,8,1,0,2,2.0510430335998535,0.2563803791999817
454,454,454,454,454,454,454,1-5913,15,1-5913,4,14,2,0,3,3.5765645503997803,0.25546889645712717
57,57,57,57,57,57,57,MLG75,2,MLG75,9,185,47,0,0,47.0,0.25405405405405407
157,157,157,157,157,157,157,1-17733,13,1-17733,6,74,13,0,11,18.780736684799194,0.2537937389837729
439,439,439,439,439,439,439,1-4682,7,1-4682,16,16,3,0,2,4.0510430335998535,0.25319018959999084
38,38,38,38,38,38,38,1-4649,10,1-4649,13,244,26,0,68,61.73546314239502,0.25301419320653695
448,448,448,448,448,448,448,MLG42,12,MLG42,11,14,3,0,1,3.5255215167999268,0.25182296548570904
389,389,389,389,389,389,389,1-7842,20,1-7842,20,21,0,0,10,5.255215167999268,0.25024834133329843
221,221,221,221,221,221,221,1-4355,16,1-4355,3,49,7,0,10,12.255215167999268,0.25010643199998506
332,332,332,332,332,332,332,P-16616,6,P-16616,17,28,7,0,0,7.0,0.25
545,545,545,545,545,545,545,1-4926,6,1-4926,19,4,1,0,0,1.0,0.25
216,216,216,216,216,216,216,1-8397,15,1-8397,4,51,8,0,9,12.72969365119934,0.2496018362980263
122,122,122,122,122,122,122,1-9404,13,1-9404,6,100,18,0,13,24.831779718399048,0.24831779718399047
29,29,29,29,29,29,29,1-3534,3,1-3534,8,279,23,0,88,69.24589347839355,0.24819316658922422
190,190,190,190,190,190,190,1-7819,18,1-7819,1,59,3,0,22,14.561473369598389,0.24680463338302353
309,309,309,309,309,309,309,1-9185,12,1-9185,11,31,5,0,5,7.627607583999634,0.24605185754837527
275,275,275,275,275,275,275,1-4020,12,1-4020,11,37,7,0,4,9.102086067199707,0.24600232614053263
143,143,143,143,143,143,143,1-9286,12,1-9286,11,81,12,0,15,19.8828227519989,0.245466947555542
387,387,387,387,387,387,387,1-9436,15,1-9436,4,21,2,0,6,5.1531291007995605,0.24538710003807432
329,329,329,329,329,329,329,1-5980,15,1-5980,4,29,5,0,4,7.102086067199707,0.24489951955861058
233,233,233,233,233,233,233,1-3587,10,1-3587,13,46,6,0,10,11.255215167999268,0.24467859060867972
350,350,350,350,350,350,350,1-9609,1,1-9609,12,25,4,0,4,6.102086067199707,0.2440834426879883
102,102,102,102,102,102,102,1-17907,3,1-17907,8,119,4,0,47,28.699511289596558,0.24117236377812235
63,63,63,63,63,63,63,1-3052,18,1-3052,1,166,16,0,45,39.648468255996704,0.23884619431323315
345,345,345,345,345,345,345,1-3584,1,1-3584,17,26,3,0,6,6.1531291007995605,0.23665881156921387
400,400,400,400,400,400,400,1-8646,14,1-8646,5,20,0,0,9,4.729693651199341,0.23648468255996705
91,91,91,91,91,91,91,1-9270,9,1-9270,14,128,23,0,13,29.831779718399048,0.23306077904999256
359,359,359,359,359,359,359,1-7839,3,1-7839,8,24,4,0,3,5.57656455039978,0.2323568562666575
326,326,326,326,326,326,326,1-0027,1,1-0027,7,29,2,0,9,6.729693651199341,0.2320584017654945
238,238,238,238,238,238,238,1-4390,18,1-4390,1,45,2,0,16,10.408344268798828,0.23129653930664062
231,231,231,231,231,231,231,1-7991,8,1-7991,15,46,9,0,3,10.57656455039978,0.2299253163130387
93,93,93,93,93,93,93,MLG52,11,MLG52,12,125,16,0,24,28.612516403198242,0.22890013122558595
393,393,393,393,393,393,393,1-6718,12,1-6718,11,20,3,0,3,4.57656455039978,0.22882822751998902
369,369,369,369,369,369,369,MLG39,20,MLG39,20,23,0,0,10,5.255215167999268,0.22848761599996817
412,412,412,412,412,412,412,1-0055,7,1-0055,16,18,2,0,4,4.102086067199707,0.22789367039998373
434,434,434,434,434,434,434,1-4149,18,1-4149,1,16,1,0,5,3.627607583999634,0.2267254739999771
169,169,169,169,169,169,169,1-7268,12,1-7268,11,70,9,0,13,15.831779718399048,0.22616828169141498
4,4,4,4,4,4,4,MLG68,6,MLG68,17,642,105,0,76,144.93963527679443,0.22576267177070783
451,451,451,451,451,451,451,1-11329,22,1-11329,10,14,0,0,6,3.1531291007995605,0.22522350719996861
457,457,457,457,457,457,457,1-11330,18,1-11330,1,14,0,0,6,3.1531291007995605,0.22522350719996861
458,458,458,458,458,458,458,1-9667,20,1-9667,20,14,0,0,6,3.1531291007995605,0.22522350719996861
108,108,108,108,108,108,108,1-8328,3,1-8328,8,114,2,0,45,25.648468255996704,0.2249865636490939
337,337,337,337,337,337,337,1-6532,12,1-6532,9,27,5,0,2,6.0510430335998535,0.22411270494814273
48,48,48,48,48,48,48,MLG30,5,MLG30,18,208,18,0,54,46.378161907196045,0.22297193224613482
290,290,290,290,290,290,290,1-3509,5,1-3509,18,35,2,0,11,7.780736684799194,0.22230676242283412
270,270,270,270,270,270,270,1-9651,20,1-9651,20,38,0,0,16,8.408344268798828,0.22127221759996915
46,46,46,46,46,46,46,1-2282,15,1-2282,4,219,30,0,35,48.39325308799744,0.22097375839268235
154,154,154,154,154,154,154,1-9417,13,1-9417,6,76,11,0,11,16.780736684799194,0.22079916690525256
11,11,11,11,11,11,11,MLG56,10,MLG56,13,511,54,0,111,112.33288836479187,0.2198295271326651
473,473,473,473,473,473,473,1-5161,20,1-5161,20,12,0,0,5,2.627607583999634,0.21896729866663614
257,257,257,257,257,257,257,1-19286,14,1-19286,5,40,4,0,9,8.72969365119934,0.21824234127998351
512,512,512,512,512,512,512,1-5799,9,1-5799,14,7,1,0,1,1.5255215167999268,0.2179316452571324
151,151,151,151,151,151,151,MLG38,15,MLG38,4,77,11,0,11,16.780736684799194,0.2179316452571324
331,331,331,331,331,331,331,1-5981,17,1-5981,2,28,4,0,4,6.102086067199707,0.2179316452571324
127,127,127,127,127,127,127,1-5891,6,1-5891,17,96,13,0,15,20.8828227519989,0.2175294036666552
89,89,89,89,89,89,89,1-9831,14,1-9831,5,132,7,0,41,28.546382188796997,0.21626047112724997
232,232,232,232,232,232,232,1-8095,18,1-8095,1,46,1,0,17,9.933865785598755,0.21595360403475555
297,297,297,297,297,297,297,1-9630,9,1-9630,14,33,5,0,4,7.102086067199707,0.21521472930908203
243,243,243,243,243,243,243,1-19166,10,1-19166,13,45,6,0,7,9.678650617599487,0.21508112483554417
478,478,478,478,478,478,478,1-20012,12,1-20012,11,12,1,0,3,2.5765645503997803,0.21471371253331503
450,450,450,450,450,450,450,1-11206,9,1-11206,14,14,3,0,0,3.0,0.21428571428571427
417,417,417,417,417,417,417,1-5425,14,1-5425,5,17,1,0,5,3.627607583999634,0.21338868141174316
403,403,403,403,403,403,403,72-12171,6,72-12171,17,19,3,0,2,4.0510430335998535,0.21321279124209755
276,276,276,276,276,276,276,1-2573,18,1-2573,1,37,0,0,15,7.882822751998901,0.21304926356753787
160,160,160,160,160,160,160,1-5197,13,1-5197,6,72,9,0,12,15.306258201599121,0.21258691946665445
