Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,1-6006,10,12,1-6006,57,42,0,14,54.13673138618469,0.9497672173014858
233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,MLG07,12,17,MLG07,90,2,0,96,85.22330093383789,0.9469255659315321
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1-5167,11,8,1-5167,24,22,0,0,22.0,0.9166666666666666
424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,1-4700,17,13,1-4700,31,5,0,27,28.406553387641907,0.9163404318594164
377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,1-7213,3,22,1-7213,23,0,0,23,19.938915848731995,0.866909384727478
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1-18202,11,8,1-18202,23,0,0,22,19.072006464004517,0.8292176723480225
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,MLG72,1,18,MLG72,9,3,0,5,7.33454692363739,0.8149496581819322
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1-3519,18,7,1-3519,27,22,0,0,22.0,0.8148148148148148
495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,MLG08,19,19,MLG08,107,11,0,87,86.42111647129059,0.8076739857129962
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,15,5,72-12171,19,9,0,7,15.068365693092346,0.7930718785838077
409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,1-9645,7,11,1-9645,69,46,0,10,54.66909384727478,0.7923057079315186
278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,1-10762,21,10,1-10762,6,2,0,3,4.600728154182434,0.7667880256970724
474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,1-8400,18,7,1-8400,33,3,0,25,24.67273461818695,0.747658624793544
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,9,3,1-3217,5,2,0,2,3.733818769454956,0.7467637538909913
287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,1-9836,14,2,1-9836,5,2,0,2,3.733818769454956,0.7467637538909913
341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,1-0031,18,7,1-0031,13,7,0,3,9.600728154182434,0.7385175503217257
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1-8222,6,15,1-8222,12,1,0,9,8.802184462547302,0.7335153718789419
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1-18004,19,19,1-18004,12,7,0,2,8.733818769454956,0.727818230787913
346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,1,18,MLG32,52,25,0,14,37.13673138618469,0.7141679112727826
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,1-10696,8,14,1-10696,24,6,0,12,16.402912616729736,0.683454692363739
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,18,7,1-4926,4,1,0,2,2.733818769454956,0.683454692363739
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,20,4,1-1224,151,7,0,110,102.36003232002258,0.6778810087418714
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,11,8,1-2545,145,35,0,72,97.41747570037842,0.6718446600026098
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1-7722,4,24,1-7722,60,0,0,46,39.87783169746399,0.6646305282910665
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,22,6,MLG29,164,50,0,68,108.9498381614685,0.6643282814723689
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,19,19,1-6858,23,8,0,8,14.935275077819824,0.6493597859921663
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,8,14,1-9283,235,82,0,81,152.21966016292572,0.6477432347358542
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,1,18,1-3206,45,17,0,14,29.136731386184692,0.6474829196929932
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,1-1833,14,2,1-1833,124,9,0,81,79.21966016292572,0.6388682271203687
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,17,13,1-18709,33,12,0,10,20.66909384727478,0.6263361771901449
