Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,1-10951,18,5,1-10951,1,1,0,0,1.0,1.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1-3521,7,12,1-3521,22,22,0,0,22.0,1.0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1-5167,1,13,1-5167,24,21,0,0,21.0,0.875
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,9,1,1-10060,36,24,0,4,24.137758314609528,0.6704932865169313
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,1,13,1-6858,23,14,0,5,14.17219789326191,0.6161825170983439
254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,1-8379,1,13,1-8379,5,3,0,0,3.0,0.6
495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,MLG08,20,15,MLG08,107,63,0,5,63.17219789326191,0.5903943728342235
307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,1-5530,10,11,1-5530,7,4,0,1,4.034439578652382,0.5763485112360546
458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,1-7182,1,13,1-7182,22,12,0,2,12.068879157304764,0.5485854162411257
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,20,15,P-16616,28,15,0,4,15.137758314609528,0.5406342255217689
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,1-9110,2,7,1-9110,29,15,0,0,15.0,0.5172413793103449
492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,1-6028,14,3,1-6028,2,1,0,1,1.034439578652382,0.517219789326191
306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,1-18377,1,13,1-18377,14,7,0,2,7.068879157304764,0.5049199398074832
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,10,11,1-4926,4,2,0,0,2.0,0.5
490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,1-3551,14,3,1-3551,6,3,0,0,3.0,0.5
491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,MLG09,17,16,MLG09,125,60,0,29,60.998747780919075,0.4879899822473526
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1-18423,5,20,1-18423,47,22,0,1,22.034439578652382,0.46881786337558257
503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,1-9076,21,9,1-9076,9,4,0,0,4.0,0.4444444444444444
509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1-18935,21,9,1-18935,30,13,0,6,13.206637471914291,0.4402212490638097
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,1,13,72-12171,19,8,0,10,8.344395786523819,0.4391787256065168
544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,1-5799,16,17,1-5799,7,3,0,1,3.034439578652382,0.4334913683789117
438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,MLG10,1,13,MLG10,60,24,0,44,25.515341460704803,0.4252556910117467
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,1-4929,1,13,1-4929,10,4,0,1,4.034439578652382,0.4034439578652382
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,2,7,1-9630,33,13,0,8,13.275516629219055,0.4022883827036077
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,1-8488,2,7,1-8488,23,9,0,6,9.206637471914291,0.400288585735404
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1-8566,1,13,1-8566,5,2,0,0,2.0,0.4
287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,1-9836,2,7,1-9836,5,2,0,0,2.0,0.4
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,16,17,1-3217,5,2,0,0,2.0,0.4
211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,1-5406,1,13,1-5406,10,4,0,0,4.0,0.4
395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,1-6787,17,16,1-6787,56,22,0,11,22.3788353651762,0.3996220600924322
215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,1-19839,8,8,1-19839,13,5,0,5,5.1721978932619095,0.39786137640476227
281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,1-9995,12,18,1-9995,24,9,0,13,9.447714522480965,0.3936547717700402
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,8,8,1-5002,45,17,0,13,17.447714522480965,0.3877269893884659
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,1-4052,2,7,1-4052,13,5,0,1,5.034439578652382,0.38726458297326016
319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,1-3584,8,8,1-3584,26,10,0,1,10.034439578652382,0.38593998379432237
341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,1-0031,7,12,1-0031,13,5,0,0,5.0,0.38461538461538464
473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,21,9,1-9452,16,6,0,2,6.068879157304764,0.37930494733154774
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,6,2,MLG51,248,91,0,23,91.79211030900478,0.37012947705243865
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,2,7,1-7530,25,9,0,5,9.17219789326191,0.36688791573047635
310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,1-4855,18,5,1-4855,22,8,0,2,8.068879157304764,0.3667672344229438
228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,1-17835,1,13,1-17835,17,6,0,4,6.137758314609528,0.36104460674173694
448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,1-3106,14,3,1-3106,34,12,0,7,12.241077050566673,0.36003167795784335
301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,1-1177,11,14,1-1177,17,6,0,2,6.068879157304764,0.3569928916061626
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,18,5,1-8544,54,19,0,4,19.137758314609528,0.3544029317520283
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,11,14,1-5355,53,18,0,15,18.51659367978573,0.3493696920714288
377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,1-7213,18,5,1-7213,23,8,0,0,8.0,0.34782608695652173
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,1,13,1-9491,80,27,0,21,27.72323115170002,0.34654038939625026
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,18,5,MLG65,201,68,0,45,69.54978103935719,0.3460188111410805
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,MLG06,2,7,MLG06,18,6,0,3,6.103318735957146,0.3390732631087303
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,1-6543,9,1,1-6543,12,4,0,0,4.0,0.3333333333333333
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,1-9850,5,20,1-9850,27,9,0,0,9.0,0.3333333333333333
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1-9892,14,3,1-9892,22,7,0,4,7.137758314609528,0.3244435597549785
337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,1-18613,2,7,1-18613,25,8,0,2,8.068879157304764,0.32275516629219053
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,6,2,1-4682,16,5,0,4,5.137758314609528,0.3211098946630955
548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,1-3087,6,2,1-3087,26,8,0,10,8.344395786523819,0.32093829948168534
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1-5549,7,12,1-5549,35,11,0,3,11.103318735957146,0.31723767817020415
457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,1-8503,15,6,1-8503,16,5,0,1,5.034439578652382,0.31465247366577387
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,2,7,MLG75,185,57,0,29,57.998747780919075,0.31350674476172474
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,2,7,1-7845,36,11,0,6,11.206637471914291,0.3112954853309525
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,72-12387,3,21,72-12387,71,22,0,1,22.034439578652382,0.3103442194176392
442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,MLG11,7,12,MLG11,87,26,0,26,26.89542904496193,0.3091428625857693
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,1-18498,7,12,1-18498,13,4,0,0,4.0,0.3076923076923077
547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,MLG67,15,6,MLG67,27,8,0,7,8.241077050566673,0.30522507594691384
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,21,9,MLG59,71,21,0,11,21.3788353651762,0.3011103572560028
