Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,2,21,1-1183,45,2,0,53,41.431773483753204,0.9207060774167378
467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,1-13247,8,6,1-13247,29,1,0,29,22.57587605714798,0.7784784847292406
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,14,3,1-7866,318,240,0,5,243.71997863054276,0.7664150271400716
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,4,9,1-9277,48,26,0,10,33.43995726108551,0.6966657762726148
432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1-6914,4,11,1-6914,73,41,0,10,48.43995726108551,0.6635610583710344
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,12,23,1-1989,46,1,0,39,30.01583331823349,0.6525181156137715
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,17,13,1-7058,80,10,0,53,49.431773483753204,0.617897168546915
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,18,12,MLG65,201,49,0,100,123.3995726108551,0.6139282219445528
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,11,11,MLG52,125,8,0,89,74.21561962366104,0.5937249569892883
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,17,13,1-1258,435,116,0,182,251.4072221517563,0.5779476371304743
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,18,12,1-20578,19,7,0,5,10.719978630542755,0.5642094016075134
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1-7140,20,4,1-7140,397,106,0,154,220.57534182071686,0.5556053950144001
309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,1-3516,3,6,1-3516,156,15,0,96,86.4235897064209,0.5539973699129545
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,17,13,1-0129,142,50,0,37,77.52784186601639,0.5459707173663126
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,7,14,MLG40,51,20,0,9,26.69596153497696,0.5234502261760188
485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,1-5980,13,8,1-5980,29,6,0,12,14.927948713302612,0.5147568521828487
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,16,10,1-4494,16,6,0,3,8.231987178325653,0.5144991986453533
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,13,8,MLG45,70,17,0,25,35.599893152713776,0.5085699021816253
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,4,15,1-8910,137,6,0,85,69.23963671922684,0.505398808169539
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,4,15,1-3447,110,7,0,65,55.35972219705582,0.5032702017914165
447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,1-7152,3,6,1-7152,109,33,0,29,54.57587605714798,0.5006961106160365
465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,1-5913,16,2,1-5913,14,7,0,0,7.0,0.5
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,18,9,1-9630,33,12,0,6,16.463974356651306,0.4989083138379184
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,20,4,1-9752,22,4,0,9,10.69596153497696,0.48618006977168
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,16,2,1-9283,235,63,0,68,113.59170937538147,0.48336897606545304
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,16,2,1-9286,81,14,0,33,38.551858961582184,0.47594887606891584
313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,1-7521,7,2,1-7521,10,4,0,1,4.743995726108551,0.4743995726108551
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1-3083,18,12,1-3083,78,32,0,6,36.463974356651306,0.4674868507262988
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,14,3,1-1204,39,16,0,3,18.231987178325653,0.4674868507262988
442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,MLG11,18,1,MLG11,87,4,0,49,40.455790579319,0.4650090871186092
209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,1-9938,15,9,1-9938,55,18,0,10,25.43995726108551,0.462544677474282
504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,1-5425,19,10,1-5425,17,4,0,5,7.719978630542755,0.4541163900319268
398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,1-0303,6,7,1-0303,212,88,0,11,96.18395298719406,0.4536978914490286
510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,1-3206,11,11,1-3206,45,3,0,23,20.111901700496674,0.4469311488999261
359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,1-4417,20,4,1-4417,151,6,0,82,67.00764954090118,0.4437592684827893
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,7,14,MLG44,59,23,0,4,25.975982904434204,0.4402708966853255
338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,1-6296,20,4,1-6296,254,46,0,87,110.72762817144394,0.43593554398206275
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,15,9,MLG68,642,66,0,279,273.57480758428574,0.426128983776146
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,17,13,1-1570,142,34,0,35,60.039850413799286,0.422815847984502
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,16,2,1-1350,195,52,0,40,81.75982904434204,0.41928117458636943
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,19,10,1-6980,128,9,0,60,53.63974356651306,0.4190604966133833
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,4,15,1-3139,93,4,0,47,38.9677991271019,0.41900859276453656
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,MLG12,14,3,MLG12,146,20,0,54,60.175769209861755,0.4121628028072723
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1-8267,3,6,1-8267,133,4,0,68,54.59170937538147,0.4104639802660261
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,15,12,MLG42,14,5,0,1,5.743995726108551,0.4102854090077536
324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,1-6734,17,13,1-6734,44,12,0,8,17.951965808868408,0.40799922292882745
285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,1-18615,6,11,1-18615,22,3,0,8,8.951965808868408,0.40690753676674585
379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,1-4640,4,15,1-4640,87,7,0,38,35.27183759212494,0.4054234205991372
360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,1-6611,3,6,1-6611,89,7,0,39,36.01583331823349,0.4046722844745336
366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,1-5163,4,15,1-5163,16,2,0,6,6.463974356651306,0.40399839729070663
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,5,20,1-3217,5,2,0,0,2.0,0.4
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,6,7,1-6974,207,78,0,6,82.4639743566513,0.3983766877132913
251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,16,2,1-7268,70,13,0,20,27.87991452217102,0.3982844931738717
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,16,2,1-8427,189,41,0,46,75.22380340099335,0.3980095418041976
288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,1-8590,6,7,1-8590,24,8,0,2,9.487991452217102,0.3953329771757126
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,13,8,1-5002,45,5,0,17,17.647927343845367,0.39217616319656373
544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,1-5799,1,12,1-5799,7,2,0,1,2.743995726108551,0.3919993894440787
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,12,21,1-3535,315,30,0,125,122.99946576356888,0.39047449448752025
292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,13,14,1-9997,16,4,0,3,6.231987178325653,0.3894991986453533
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,4,15,1-9227,801,25,0,384,310.6943588256836,0.3878830946637748
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,16,12,1-0055,18,4,0,4,6.975982904434204,0.3875546058019002
241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,1-19448,15,9,1-19448,45,10,0,10,17.43995726108551,0.3875546058019002
339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,1-3523,14,3,1-3523,543,153,0,75,208.79967945814133,0.384529796423833
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,1-2573,4,15,1-2573,37,0,0,19,14.13591879606247,0.3820518593530397
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,17,13,1-5043,123,12,0,47,46.9677991271019,0.38185202542359264
223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,1-0205,4,15,1-0205,34,7,0,8,12.951965808868408,0.38094017084907084
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,3,6,1-7530,25,2,0,10,9.43995726108551,0.3775982904434204
414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,1-8285,16,2,1-8285,72,19,0,11,27.18395298719406,0.37755490259991753
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,8,17,1-2294,75,0,0,38,28.27183759212494,0.37695783456166587
426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,1-4355,7,14,1-4355,49,14,0,6,18.463974356651306,0.37681580319696545
221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,1-8023,11,11,1-8023,16,3,0,4,5.975982904434204,0.37349893152713776
