Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
212,212,212,212,212,MLG32,4,MLG32,8,52,15,1,16,1027.6969949752092,19.763403749523256
34,34,34,34,34,MLG51,4,MLG51,8,248,23,2,65,2074.5815420867875,8.365248153575756
30,30,30,30,30,1-10785,11,1-10785,17,279,44,2,67,2097.1686664586887,7.516733571536519
58,58,58,58,58,MLG49,23,MLG49,21,185,29,1,13,1039.3163084173575,5.617925991445175
18,18,18,18,18,MLG63,11,MLG63,17,380,57,2,29,2080.0133033925667,5.473719219454123
54,54,54,54,54,1-1350,23,1-1350,21,195,23,1,9,1030.1420596735552,5.282779793197719
45,45,45,45,45,1-3596,24,1-3596,15,223,19,1,22,1036.4583680909127,4.64779537260499
43,43,43,43,43,MLG14,24,MLG14,15,232,14,1,24,1033.0454924628139,4.452782295098336
41,41,41,41,41,1-9283,4,1-9283,8,235,16,1,35,1043.7746765082702,4.441594368120299
31,31,31,31,31,1-9156,9,1-9156,12,268,42,1,24,1061.0454924628139,3.959124971876171
12,12,12,12,12,1-7024,9,1-7024,12,498,73,1,34,1099.9811143223196,2.208797418317911
44,44,44,44,44,1-0008,15,1-0008,1,230,0,0,200,158.71243719011545,0.6900540747396324
28,28,28,28,28,1-7005,17,1-7005,4,285,31,0,172,167.4926959834993,0.5876936701175414
25,25,25,25,25,1-18028,13,1-18028,19,309,26,0,184,172.01544221490622,0.5566842790126415
64,64,64,64,64,MLG29,12,MLG29,18,164,44,0,50,83.67810929752886,0.5102323737654199
295,295,295,295,295,1-1942,3,1-1942,23,34,5,0,15,16.90343278925866,0.4971597879193723
37,37,37,37,37,1-5775,13,1-5775,19,244,29,0,108,114.70471608266234,0.4701012954207473
91,91,91,91,91,1-9270,8,1-9270,13,128,23,0,43,57.12317399587482,0.44627479684277205
163,163,163,163,163,1-6692,10,1-6692,16,71,8,0,29,31.01330339256674,0.43680709003615126
176,176,176,176,176,1-6561,8,1-6561,13,65,9,0,24,28.045492462813854,0.4314691148125208
79,79,79,79,79,1-0129,8,1-0129,13,142,28,0,41,60.53604962397367,0.4263102086195329
126,126,126,126,126,1-6693,12,1-6693,18,98,24,0,20,39.871243719011545,0.40684942570419946
129,129,129,129,129,1-4531,17,1-4531,4,94,12,0,33,38.18755213636905,0.4062505546422239
165,165,165,165,165,MLG59,21,MLG59,12,71,20,0,11,28.72918404545635,0.40463639500642745
78,78,78,78,78,1-1570,8,1-1570,13,142,18,0,49,56.884547111578286,0.4005954021942133
57,57,57,57,57,MLG75,3,MLG75,23,185,32,0,53,74.0587958553806,0.4003178154344897
11,11,11,11,11,MLG56,18,MLG56,5,511,119,0,107,203.91115389671177,0.39904335400530677
77,77,77,77,77,1-9674,6,1-9674,10,144,21,0,45,56.71029836777598,0.3938215164428887
132,132,132,132,132,MLG55,19,MLG55,14,92,14,0,28,36.21974120661616,0.3936928392023496
174,174,174,174,174,MLG41,20,MLG41,2,66,9,0,21,25.664805904962122,0.38886069552972913
151,151,151,151,151,MLG38,20,MLG38,2,77,8,0,27,29.426179020665586,0.3821581690995531
228,228,228,228,228,MLG60,3,MLG60,23,47,13,0,6,17.761373115703464,0.37790155565326516
89,89,89,89,89,1-9831,6,1-9831,10,132,21,0,36,49.56823869422078,0.3755169598047029
224,224,224,224,224,1-9277,21,1-9277,4,48,2,0,20,17.871243719011545,0.3723175774794072
168,168,168,168,168,MLG45,3,MLG45,23,70,8,0,22,25.4583680909127,0.36369097272732426
88,88,88,88,88,1-8267,5,1-8267,6,133,42,0,8,48.34849748760462,0.3635225375007866
