Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
30,30,30,30,30,1-10785,10,1-10785,17,279,41,2,65,2073.8065425157547,7.432998360271522
58,58,58,58,58,MLG49,22,MLG49,21,185,11,1,31,1026.6461971998215,5.549438903782819
18,18,18,18,18,MLG63,10,MLG63,17,380,58,2,23,2069.60846889019,5.446338076026816
54,54,54,54,54,1-1350,22,1-1350,21,195,11,1,12,1017.056592464447,5.21567483315101
45,45,45,45,45,1-3596,24,1-3596,15,223,0,1,35,1017.6650613546371,4.563520454505099
41,41,41,41,41,1-9283,17,1-9283,8,235,18,1,47,1041.7216538190842,4.432858101357805
43,43,43,43,43,MLG14,24,MLG14,15,232,0,1,14,1007.0660245418549,4.340801829921788
34,34,34,34,34,MLG51,17,MLG51,8,248,9,1,73,1045.844270825386,4.217113995263653
31,31,31,31,31,1-9156,12,1-9156,12,268,44,1,24,1056.113184928894,3.940720839286918
12,12,12,12,12,1-7024,12,1-7024,12,498,91,1,38,1110.179209470749,2.2292755210256003
239,239,239,239,239,1-5002,2,1-5002,3,45,20,0,1,20.50471603870392,0.4556603564156426
212,212,212,212,212,MLG32,6,MLG32,8,52,13,0,19,22.58960473537445,0.4344154756802779
64,64,64,64,64,MLG29,9,MLG29,18,164,49,0,43,70.7027896642685,0.43111457112358836
191,191,191,191,191,MLG44,6,MLG44,22,59,14,0,19,23.58960473537445,0.3998238090741432
176,176,176,176,176,1-6561,13,1-6561,13,65,10,0,31,25.646197199821472,0.3945568799972534
28,28,28,28,28,1-7005,3,1-7005,4,285,39,0,141,110.1649614572525,0.38654372441141227
228,228,228,228,228,MLG60,7,MLG60,23,47,15,0,6,18.02829623222351,0.38358077089837256
295,295,295,295,295,1-1942,7,1-1942,23,34,6,0,13,12.56130850315094,0.3694502500926747
91,91,91,91,91,1-9270,13,1-9270,13,128,20,0,53,46.74995005130768,0.36523398477584124
55,55,55,55,55,1-1462,16,1-1462,9,192,51,0,36,69.16977739334106,0.3602592572569847
168,168,168,168,168,MLG45,7,MLG45,23,70,15,0,20,25.09432077407837,0.3584902967725481
126,126,126,126,126,1-6693,9,1-6693,18,98,23,0,24,35.11318492889404,0.358297805396878
211,211,211,211,211,1-8042,22,1-8042,2,52,8,0,21,18.599036812782288,0.35767378486119783
101,101,101,101,101,1-18371,11,1-18371,16,120,8,0,69,42.82540667057037,0.35687838892141976
235,235,235,235,235,1-1989,6,1-1989,22,46,7,0,18,16.084888696670532,0.34967149340588116
166,166,166,166,166,MLG58,6,MLG58,11,71,21,0,7,24.53301227092743,0.3455353840975694
88,88,88,88,88,1-8267,16,1-8267,6,133,43,0,5,45.52358019351959,0.34228255784601197
11,11,11,11,11,MLG56,4,MLG56,5,511,134,0,77,172.86313498020172,0.3382840214876746
63,63,63,63,63,1-3052,7,1-3052,23,166,19,0,73,55.84427082538605,0.3364112700324461
468,468,468,468,468,1-9946,8,1-9946,12,12,2,0,4,4.018864154815674,0.33490534623463947
40,40,40,40,40,1-7807,14,1-7807,11,239,69,0,20,79.09432077407837,0.33093858064467935
112,112,112,112,112,1-3447,3,1-3447,4,110,7,0,58,36.27353024482727,0.3297593658620661
79,79,79,79,79,1-0129,13,1-0129,13,142,23,0,47,46.72165381908417,0.329025731120311
165,165,165,165,165,MLG59,20,MLG59,12,71,19,0,8,23.037728309631348,0.32447504661452603
163,163,163,163,163,1-6692,11,1-6692,16,71,7,0,31,22.646197199821472,0.3189605239411475
299,299,299,299,299,MLG31,2,MLG31,2,33,8,0,5,10.523580193519592,0.3188963695005937
401,401,401,401,401,1-8100,13,1-8100,13,19,2,0,8,6.037728309631348,0.31777517419112356
310,310,310,310,310,1-10071,20,1-10071,6,30,9,0,1,9.504716038703918,0.3168238679567973
143,143,143,143,143,1-9286,4,1-9286,5,81,24,0,3,25.514148116111755,0.31498948291495993
77,77,77,77,77,1-9674,15,1-9674,10,144,22,0,46,45.21693778038025,0.3140065123637517
323,323,323,323,323,1-13247,22,1-13247,21,29,0,0,18,9.084888696670532,0.3132720240231218
238,238,238,238,238,1-4390,3,1-4390,4,45,5,0,18,14.084888696670532,0.3129975265926785
432,432,432,432,432,1-3089,2,1-3089,3,16,5,0,0,5.0,0.3125
89,89,89,89,89,1-9831,15,1-9831,10,132,22,0,38,41.1792094707489,0.31196370811173413
9,9,9,9,9,1-3523,5,1-3523,7,543,102,0,133,169.12723314762115,0.3114682010085104
20,20,20,20,20,1-8067,15,1-8067,10,322,70,0,60,100.28296232223511,0.31143777118706556
150,150,150,150,150,1-3083,5,1-3083,7,78,9,0,30,24.141481161117554,0.3095061687322763
