Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,1-4847,7,10,1-4847,2,2,0,1,2.15965336561203,1.079826682806015
401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,1-7204,4,20,1-7204,26,27,0,2,27.31930673122406,1.0507425665855408
377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,1-7213,6,9,1-7213,23,20,0,9,21.43688029050827,0.9320382735003596
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,7,10,1-1390,98,78,0,11,79.75618702173233,0.8138386430789013
207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,1-7058,17,12,1-7058,80,53,0,59,62.41954857110977,0.7802443571388722
233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,MLG07,3,21,MLG07,90,65,0,8,66.27722692489624,0.7364136324988471
511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,1-9697,6,9,1-9697,20,13,0,5,13.79826682806015,0.6899133414030075
496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,1-3176,7,10,1-3176,3,2,0,0,2.0,0.6666666666666666
564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,1-9034,8,6,1-9034,3,2,0,0,2.0,0.6666666666666666
274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,1-0033,3,21,1-0033,10,6,0,4,6.63861346244812,0.663861346244812
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,19,11,1-8910,137,86,0,7,87.11757355928421,0.6358946975130234
544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,1-5799,15,8,1-5799,7,4,0,0,4.0,0.5714285714285714
491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,MLG09,4,20,MLG09,125,66,0,27,70.31064087152481,0.5624851269721984
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,6,9,1-10060,36,18,0,12,19.91584038734436,0.5532177885373434
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1-9946,6,9,1-9946,12,5,0,9,6.43688029050827,0.5364066908756892
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,7,10,1-9379,58,28,0,14,30.23514711856842,0.5212956399753176
461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,1-9651,15,8,1-9651,38,18,0,7,19.11757355928421,0.503094041033795
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1-18423,17,12,1-18423,47,23,0,4,23.63861346244812,0.5029492226052792
238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,1-9855,9,1,1-9855,8,4,0,0,4.0,0.5
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,1-19222,2,19,1-19222,15,7,0,3,7.47896009683609,0.49859733978907267
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1-18202,9,1,1-18202,23,11,0,0,11.0,0.4782608695652174
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,2,19,1-0055,18,8,0,3,8.47896009683609,0.4710533387131161
481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,1-10038,17,12,1-10038,76,35,0,4,35.63861346244812,0.4689291245058963
480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1-1005,21,13,1-1005,125,48,0,46,55.34405481815338,0.44275243854522706
551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,1-9838,17,12,1-9838,3,1,0,2,1.31930673122406,0.43976891040802
363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,20,14,1-10785,279,120,0,13,122.07549375295639,0.4375465725912415
313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,1-7521,8,6,1-7521,10,4,0,2,4.31930673122406,0.431930673122406
455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,1-17790,2,19,1-17790,5,2,0,1,2.15965336561203,0.431930673122406
264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,P-0009,17,12,P-0009,7,3,0,0,3.0,0.42857142857142855
259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,1-3596,7,10,1-3596,223,92,0,22,95.51237404346466,0.4283066100603796
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,6,9,1-0003,17,6,0,8,7.27722692489624,0.42807217205272
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1-1207,3,21,1-1207,66,26,0,9,27.43688029050827,0.4157103074319435
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,17,12,MLG59,71,26,0,22,29.51237404346466,0.415667240048798
239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-7042,15,8,1-7042,117,43,0,32,48.10890769958496,0.41118724529559797
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,7,10,1-6227,52,16,0,33,21.26856106519699,0.40901078971532673
217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,15,8,1-9630,33,13,0,3,13.47896009683609,0.4084533362677603
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,14,7,1-7682,141,55,0,13,57.07549375295639,0.40479073583657016
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,7,10,1-2382,139,54,0,14,56.23514711856842,0.40456940373070804
428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,1-2701,15,8,1-2701,61,21,0,23,24.67202740907669,0.4044594657225687
535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,1-5990,10,2,1-5990,5,2,0,0,2.0,0.4
220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,MLG73,13,23,MLG73,10,4,0,0,4.0,0.4
213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,1-18563,12,22,1-18563,8,3,0,1,3.15965336561203,0.39495667070150375
417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,1-10451,1,24,1-10451,46,17,0,5,17.79826682806015,0.38691884408826416
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,20,14,1-6980,128,41,0,52,49.30197501182556,0.3851716797798872
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,72-12387,21,13,72-12387,71,25,0,12,26.91584038734436,0.3790963434837234
248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,1-2400,20,14,1-2400,49,18,0,0,18.0,0.3673469387755102
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,15,8,MLG51,248,85,0,38,91.06682789325714,0.36720495118248847
362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,1-1462,19,11,1-1462,192,61,0,51,69.14232164621353,0.3601162585740288
312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,14,7,1-3108,18,6,0,3,6.47896009683609,0.359942227602005
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,16,5,MLG50,319,101,0,78,113.45296251773834,0.355651920118302
201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,1-9902,16,5,1-9902,30,10,0,4,10.63861346244812,0.35462044874827064
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1-7536,20,14,1-7536,17,6,0,0,6.0,0.35294117647058826
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,6,9,1-4682,16,4,0,10,5.5965336561203,0.34978335350751877
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,18,15,1-6878,167,47,0,71,58.33538895845413,0.3493137063380487
