Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,MLG40,3,MLG40,3,51,7,1,14,1020.4430029392242,20.00868633214165
168,MLG45,13,MLG45,5,70,14,1,13,1026.4827884435654,14.664039834908076
9,1-3523,3,1-3523,3,543,43,1,171,1207.1966787576675,2.223198303421119
8,1-10468,13,1-10468,5,549,37,1,168,1198.316035270691,2.182725018707998
97,1-1833,21,1-1833,4,124,0,0,101,96.98166406154633,0.7821101940447285
67,1-3516,17,1-3516,8,156,17,0,95,108.22037708759308,0.6937203659461095
211,1-8042,14,1-8042,19,52,9,0,28,35.886005878448486,0.6901154976624709
266,1-9496,12,1-9496,5,39,13,0,14,26.443002939224243,0.6780257163903652
256,1-0296,3,1-0296,3,41,9,0,19,27.244075417518616,0.6644896443297224
22,MLG50,9,MLG50,15,319,117,0,98,211.1010205745697,0.6617586851867389
143,1-9286,8,1-9286,11,81,23,0,28,49.886005878448486,0.6158766157833147
4,MLG68,4,MLG68,17,642,105,0,299,392.1041342020035,0.6107541031183855
15,1-1580,2,1-1580,2,400,32,0,200,224.0428991317749,0.5601072478294372
114,1-7152,17,1-7152,8,109,1,0,62,60.53329873085022,0.555351364503213
124,1-0292,19,1-0292,18,99,3,0,54,54.851582765579224,0.5540563915715073
142,1-8084,5,1-8084,7,82,27,0,19,45.244075417518616,0.5517570172868124
19,1-7863,10,1-7863,14,351,16,0,181,189.7988237142563,0.5407373894993056
91,1-9270,10,1-9270,14,128,23,0,48,69.09029579162598,0.5397679358720779
93,MLG52,6,MLG52,12,125,23,0,46,67.16986680030823,0.5373589344024658
51,MLG65,21,MLG65,4,201,0,0,112,107.54402351379395,0.5350448931034525
71,1-4417,19,1-4417,18,151,8,0,75,80.01608717441559,0.5299078620822224
147,1-2423,4,1-2423,12,79,35,0,7,41.72150146961212,0.5281202717672421
216,1-8397,21,1-8397,4,51,0,0,28,26.886005878448486,0.5271765858519311
242,1-3206,2,1-3206,13,45,15,0,9,23.64193046092987,0.5253762324651082
20,1-8067,12,1-8067,6,322,69,0,104,168.86230754852295,0.5244171041879595
146,MLG78,9,MLG78,15,80,14,0,29,41.84622037410736,0.523077754676342
54,1-1350,8,1-1350,11,195,76,0,26,100.96557688713074,0.517772189164773
78,1-1570,10,1-1570,14,142,25,0,50,73.01072478294373,0.5141600336827022
74,1-8074,7,1-8074,10,145,39,0,37,74.52793633937836,0.5139857678577817
56,1-8427,8,1-8427,11,189,13,0,87,96.53866112232208,0.510786566784773
31,1-9156,7,1-9156,10,268,56,0,84,136.65801763534546,0.509917976251289
38,1-4649,11,1-4649,13,244,54,0,73,124.09565818309784,0.508588763045483
358,1-8627,8,1-8627,11,25,5,0,8,12.681715965270996,0.5072686386108398
70,1-1224,23,1-1224,16,151,0,0,79,75.85694515705109,0.5023638752122589
64,MLG29,5,MLG29,7,164,41,0,43,82.2892233133316,0.5017635567886073
76,1-2335,7,1-2335,10,145,13,0,62,72.53329873085022,0.5002296464196567
332,P-16616,14,P-16616,17,28,14,0,0,14.0,0.5
435,1-4494,8,1-4494,12,16,7,0,1,7.9602144956588745,0.49751340597867966
111,1-0272,17,1-0272,8,111,9,0,48,55.09029579162598,0.4963089710957295
163,1-6692,7,1-6692,12,71,11,0,25,35.00536239147186,0.493033273119322
29,1-3534,17,1-3534,8,279,24,0,115,134.42466700077057,0.4818088422966687
41,1-9283,8,1-9283,11,235,20,0,97,113.14080607891083,0.4814502386336631
239,1-5002,5,1-5002,7,45,7,0,15,21.403217434883118,0.47562705410851375
23,1-7866,3,1-7866,3,318,12,0,145,151.2311018705368,0.4755695027375371
121,1-9333,15,1-9333,20,102,10,0,40,48.40857982635498,0.4745939198662253
245,1-1183,7,1-1183,10,45,4,0,18,21.28386092185974,0.4729746871524387
127,1-5891,8,1-5891,17,96,23,0,23,45.084933400154114,0.469634722918272
27,1-1608,8,1-1608,11,307,92,0,54,143.85158276557922,0.4685719308325056
137,1-6611,17,1-6611,8,89,6,0,37,41.52793633937836,0.4666060262851501
25,1-18028,11,1-18028,13,309,69,0,78,143.8967306613922,0.4656852124964149
406,1-3265,3,1-3265,3,19,4,0,5,8.801072478294373,0.46321434096286174
403,72-12171,14,72-12171,17,19,4,0,5,8.801072478294373,0.46321434096286174
132,MLG55,15,MLG55,20,92,8,0,36,42.56772184371948,0.46269262873608136
104,1-9394,7,1-9394,10,117,9,0,47,54.1300812959671,0.4626502674868983
30,1-10785,10,1-10785,14,279,27,0,106,128.7827365398407,0.46158686931842546
47,1-0303,15,1-0303,20,212,14,0,87,97.53866112232208,0.4600880241618966
268,1-8493,9,1-8493,15,38,4,0,14,17.443002939224243,0.45902639313748006
423,MLG46,10,MLG46,14,17,3,0,5,7.801072478294373,0.4588866163702572
101,1-18371,7,1-18371,10,120,31,0,25,55.00536239147186,0.4583780199289322
165,MLG59,13,MLG59,5,71,15,0,18,32.28386092185974,0.4547022665050668
244,1-19448,7,1-19448,10,45,6,0,15,20.403217434883118,0.4534048318862915
312,1-1850,15,1-1850,20,30,1,0,13,13.482788443565369,0.44942628145217894
145,1-9491,15,1-9491,20,80,9,0,28,35.886005878448486,0.4485750734806061
191,MLG44,14,MLG44,19,59,13,0,14,26.443002939224243,0.44818649049532616
365,1-8590,3,1-8590,3,24,3,0,8,10.681715965270996,0.4450714985529582
228,MLG60,2,MLG60,2,47,16,0,5,20.801072478294373,0.442576010176476
231,1-7991,9,1-7991,15,46,4,0,17,20.323646426200867,0.44181840056958405
140,1-8066,4,1-8066,17,86,32,0,6,37.76128697395325,0.43908473225527034
161,1-8285,8,1-8285,11,72,22,0,10,31.602144956588745,0.43891867995262146
175,1-19547,17,1-19547,8,66,3,0,27,28.925791382789612,0.4382695664059032
262,1-8172,7,1-8172,10,40,4,0,14,17.443002939224243,0.4360750734806061
414,MLG06,9,MLG06,15,18,3,0,5,7.801072478294373,0.4333929154607985
230,1-9345,8,1-9345,11,47,5,0,16,20.363431930541992,0.43326450916046794
126,1-6693,5,1-6693,7,98,5,0,39,42.448365330696106,0.4331465850071031
277,1-10060,15,1-10060,20,36,5,0,11,15.56235945224762,0.4322877625624339
45,1-3596,21,1-3596,4,223,0,0,100,96.02144956588745,0.43058945993671505
441,1-9997,5,1-9997,7,16,4,0,3,6.8806434869766235,0.43004021793603897
351,1-2324,8,1-2324,11,25,4,0,7,10.721501469612122,0.42886005878448485
82,1-8188,15,1-8188,20,140,10,0,52,59.931153774261475,0.42807966981615336
81,1-7682,8,1-7682,11,141,20,0,42,60.32900881767273,0.4278653107636364
438,1-5163,7,1-5163,10,16,2,0,5,6.801072478294373,0.4250670298933983
233,1-3587,11,1-3587,13,46,6,0,14,19.443002939224243,0.42267397693965747
62,1-6878,19,1-6878,18,167,11,0,62,70.53329873085022,0.42235508222066
431,1-8503,15,1-8503,20,16,0,0,7,6.721501469612122,0.4200938418507576
512,1-5799,10,1-5799,14,7,1,0,2,2.920428991317749,0.4172041416168213
33,1-6296,19,1-6296,18,254,20,0,89,105.45909011363983,0.41519326816393637
290,1-3509,19,1-3509,18,35,2,0,13,14.482788443565369,0.41379395553043913
257,1-19286,13,1-19286,5,40,5,0,12,16.522573947906494,0.41306434869766234
449,MLG43,21,MLG43,4,14,0,0,6,5.761286973953247,0.41152049813951763
455,1-18377,17,1-18377,8,14,0,0,6,5.761286973953247,0.41152049813951763
109,1-7441,10,1-7441,14,111,10,0,37,45.52793633937836,0.41016158864304825
35,1-7496,17,1-7496,8,246,12,0,92,100.33973360061646,0.40788509593746525
59,1-8573,13,1-8573,5,184,2,0,76,74.97630167007446,0.4074799003808395
14,1-1317,12,1-1317,6,414,104,0,66,167.37415671348572,0.404285402689579
425,1-0003,8,1-0003,11,17,3,0,4,6.840857982635498,0.4024034107432646
208,1-5355,10,1-5355,14,53,3,0,19,21.244075417518616,0.40083161165129466
169,1-7268,8,1-7268,11,70,5,0,24,28.04514789581299,0.40064496994018556
275,1-4020,8,1-4020,11,37,9,0,6,14.761286973953247,0.3989537019987364
323,1-13247,17,1-13247,8,29,1,0,11,11.56235945224762,0.39870205007750414
122,1-9404,12,1-9404,6,100,11,0,30,39.806434869766235,0.39806434869766233
394,1-9697,10,1-9697,20,20,7,0,1,7.9602144956588745,0.39801072478294375
265,1-1204,7,1-1204,10,39,3,0,13,15.482788443565369,0.3969945754760351
66,MLG48,12,MLG48,6,159,39,0,25,63.00536239147186,0.39626014082686706
343,MLG67,15,MLG67,20,27,3,0,8,10.681715965270996,0.3956191098248517
202,1-6787,21,1-6787,4,56,0,0,23,22.084933400154114,0.39437381071703775
7,MLG69,11,MLG69,13,576,129,0,102,226.9418785572052,0.39399631693959236
95,1-5626,10,1-5626,14,125,5,0,46,49.16986680030823,0.39335893440246583
378,1-9518,15,1-9518,20,22,0,0,9,8.64193046092987,0.39281502095135773
160,1-5197,12,1-5197,6,72,8,0,21,28.164504408836365,0.3911736723449495
80,1-0053,5,1-0053,7,142,16,0,41,55.368794322013855,0.38992108677474546
48,MLG30,19,MLG30,18,208,10,0,74,81.05587267875671,0.38969169557094574
356,1-18613,14,1-18613,19,25,3,0,7,9.721501469612122,0.3888600587844849
442,1-5803,7,1-5803,10,15,1,0,5,5.801072478294373,0.38673816521962484
106,1-9963,10,1-9963,14,116,16,0,30,44.806434869766235,0.3862623695669503
376,1-18487,14,1-18487,15,23,5,0,4,8.840857982635498,0.38438512967980426
68,1-1015,17,1-1015,8,155,1,0,61,59.573084235191345,0.38434247893671836
534,1-8379,15,1-8379,20,5,0,0,2,1.920428991317749,0.3840857982635498
399,1-19813,10,1-19813,14,20,0,0,8,7.681715965270996,0.3840857982635498
212,MLG32,14,MLG32,19,52,16,0,4,19.840857982635498,0.3815549612045288
371,1-6035,10,1-6035,14,23,3,0,6,8.761286973953247,0.3809255206066629
410,1-3108,11,1-3108,13,18,3,0,4,6.840857982635498,0.3800476657019721
217,1-9770,7,1-9770,10,50,16,0,3,18.880643486976624,0.37761286973953245
214,1-8450,6,1-8450,12,52,6,0,14,19.443002939224243,0.37390390267738927
50,1-7964,19,1-7964,18,202,14,0,64,75.45372772216797,0.37353330555528697
102,1-17907,17,1-17907,8,119,6,0,40,44.40857982635498,0.3731813430786133
85,1-1131,6,1-1131,12,138,35,0,17,51.32364642620087,0.3719104813492816
295,1-1942,1,1-1942,1,34,4,0,9,12.64193046092987,0.3718214841449962
11,MLG56,11,MLG56,13,511,98,0,94,188.2601625919342,0.3684151909822587
133,MLG53,9,MLG53,15,91,17,0,17,33.32364642620087,0.3661939167714381
329,1-5980,21,1-5980,4,29,0,0,11,10.56235945224762,0.3642192914568145
94,1-1005,5,1-1005,7,125,6,0,41,45.368794322013855,0.36295035457611086
3,1-6181,19,1-6181,18,659,46,0,201,239.00311362743378,0.3626754379778965
77,1-9674,12,1-9674,6,144,7,0,47,52.1300812959671,0.362014453444216
258,1-17758,13,1-17758,5,40,1,0,14,14.443002939224243,0.3610750734806061
433,1-20641,17,1-20641,8,16,0,0,6,5.761286973953247,0.36008043587207794
506,1-17657,8,1-17657,11,8,0,0,3,2.8806434869766235,0.36008043587207794
504,1-9861,15,1-9861,20,8,0,0,3,2.8806434869766235,0.36008043587207794
176,1-6561,10,1-6561,14,65,9,0,15,23.403217434883118,0.3600494989982018
115,1-8421,10,1-8421,14,109,21,0,19,39.244075417518616,0.3600373891515469
136,1-1769,13,1-1769,5,89,4,0,29,31.84622037410736,0.357822700832667
354,1-7530,11,1-7530,13,25,7,0,2,8.920428991317749,0.35681715965270994
100,1-5172,10,1-5172,14,120,5,0,39,42.448365330696106,0.35373637775580086
180,1-10539,15,1-10539,20,63,5,0,18,22.28386092185974,0.3537120781247578
300,1-18709,3,1-18709,3,33,3,0,9,11.64193046092987,0.3527857715433294
352,1-2297,9,1-2297,15,25,4,0,5,8.801072478294373,0.3520428991317749
227,1-1957,7,1-1957,10,47,5,0,12,16.522573947906494,0.351544126551202
450,1-11206,10,1-11206,14,14,3,0,2,4.920428991317749,0.3514592136655535
243,1-19166,11,1-19166,13,45,11,0,5,15.801072478294373,0.35113494396209716
58,MLG49,15,MLG49,20,185,11,0,56,64.77201175689697,0.35011898246971335
177,1-9498,10,1-9498,14,64,5,0,18,22.28386092185974,0.34818532690405846
218,1-9610,18,1-9610,10,49,17,0,0,17.0,0.3469387755102041
43,MLG14,2,MLG14,2,232,58,0,23,80.08493340015411,0.34519367844894017
458,1-9667,15,1-9667,20,14,0,0,5,4.801072478294373,0.34293374844959806
