Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,MLG40,3,MLG40,3,51,8,1,14,1013.3406183123589,19.869423888477623
168,MLG45,8,MLG45,5,70,15,1,13,1019.9591455757618,14.570844936796597
9,1-3523,3,1-3523,3,543,63,1,132,1113.354401230812,2.0503764295226743
8,1-10468,8,1-10468,5,549,30,1,160,1091.0356378555298,1.9873144587532419
266,1-9496,7,1-9496,5,39,13,0,14,18.340618312358856,0.47027226441945785
147,1-2423,21,1-2423,12,79,34,0,3,35.14441820979118,0.444866053288496
150,1-3083,3,1-3083,3,78,28,0,14,33.340618312358856,0.42744382451742124
435,1-4494,18,1-4494,12,16,6,0,2,6.762945473194122,0.42268409207463264
57,MLG75,19,MLG75,9,185,60,0,40,75.25890946388245,0.4068049160209862
88,1-8267,14,1-8267,8,133,48,0,11,52.19620010256767,0.3924526323501329
211,1-8042,9,1-8042,19,52,9,0,28,19.681236624717712,0.3784853197061099
217,1-9770,17,1-9770,10,50,17,0,5,18.907363682985306,0.37814727365970613
85,1-1131,16,1-1131,12,138,35,0,44,51.78480041027069,0.3752521768860195
278,1-7845,19,1-7845,20,36,9,0,11,13.196200102567673,0.3665611139602131
38,1-4649,6,1-4649,13,244,61,0,73,88.84750977158546,0.36412913840813715
326,1-0027,15,1-0027,7,29,9,0,4,10.525890946388245,0.3629617567720084
34,MLG51,20,MLG51,16,248,61,0,74,89.22898250818253,0.35979428430718763
54,1-1350,18,1-1350,11,195,63,0,17,69.48503652215004,0.35633352062641044
300,1-18709,15,1-18709,3,33,10,0,4,11.525890946388245,0.3492694226178256
242,1-3206,2,1-3206,13,45,12,0,9,15.43325462937355,0.34296121398607887
25,1-18028,6,1-18028,13,309,69,0,96,105.62138271331787,0.3418167725350093
20,1-8067,7,1-8067,6,322,69,0,99,106.76580092310905,0.33157081032021446
368,1-6858,8,1-6858,5,23,3,0,12,7.577672839164734,0.3294640364854232
22,MLG50,4,MLG50,15,319,66,0,101,104.52874639630318,0.32767632099154603
195,1-9379,19,1-9379,9,58,14,0,13,18.959145575761795,0.3268818202717551
101,1-18371,17,1-18371,10,120,30,0,23,38.77387294173241,0.32311560784777005
91,1-9270,5,1-9270,14,128,26,0,39,40.877436727285385,0.31935497443191707
78,1-1570,5,1-1570,14,142,25,0,53,45.21805503964424,0.3184370073214383
66,MLG48,7,MLG48,6,159,41,0,25,50.53681841492653,0.31784162525111026
212,MLG32,9,MLG32,19,52,15,0,4,16.525890946388245,0.31780559512285084
445,1-5654,9,1-5654,19,15,4,0,2,4.762945473194122,0.31752969821294147
191,MLG44,9,MLG44,19,59,13,0,15,18.722091048955917,0.3173235771009478
14,1-1317,7,1-1317,6,414,108,0,61,131.26983693242073,0.31707690080294865
93,MLG52,16,MLG52,12,125,22,0,45,39.16627314686775,0.31333018517494204
354,1-7530,6,1-7530,13,25,7,0,2,7.762945473194122,0.31051781892776487
239,1-5002,15,1-5002,7,45,12,0,5,13.907363682985306,0.30905252628856233
31,1-9156,17,1-9156,10,268,56,0,70,82.70309156179428,0.30859362523057565
308,1-4700,14,1-4700,8,31,1,0,22,9.392400205135345,0.30298065177855954
256,1-0296,3,1-0296,3,41,10,0,6,12.288836419582367,0.2997277175507894
17,1-7004,14,1-7004,8,381,22,0,237,112.4090385735035,0.2950368466496155
165,MLG59,8,MLG59,5,71,14,0,18,20.8665092587471,0.29389449660207184
7,MLG69,6,MLG69,13,576,129,0,103,168.2916918694973,0.2921730761623217
439,1-4682,16,1-4682,16,16,2,0,7,4.670309156179428,0.29189432226121426
74,1-8074,17,1-8074,10,145,33,0,24,42.15534567832947,0.2907265219195136
80,1-0053,15,1-0053,7,142,32,0,23,40.77387294173241,0.28713995029389017
70,1-1224,20,1-1224,16,151,11,0,84,43.04370987415314,0.28505768128578235
345,1-3584,15,1-3584,17,26,7,0,1,7.381472736597061,0.28390279756142545
404,1-20578,21,1-20578,5,19,5,0,1,5.381472736597061,0.283235407189319
161,1-8285,18,1-8285,11,72,18,0,6,20.288836419582367,0.2817893947164218
26,1-18558,21,1-18558,17,307,78,0,22,86.39240020513535,0.2814084697235679
169,1-7268,18,1-7268,11,70,9,0,28,19.681236624717712,0.28116052321025303
267,1-5413,20,1-5413,16,39,6,0,13,10.959145575761795,0.2810037327118409
325,1-9338,4,1-9338,15,29,7,0,3,8.144418209791183,0.28084200723417874
236,1-9794,17,1-9794,10,46,9,0,10,12.814727365970612,0.2785810296950133
297,1-9630,5,1-9630,14,33,8,0,3,9.144418209791183,0.27710358211488434
249,1-6916,6,1-6916,1,43,10,0,5,11.907363682985306,0.27691543448803035
163,1-6692,17,1-6692,12,71,10,0,25,19.53681841492653,0.275166456548261
208,1-5355,5,1-5355,14,53,3,0,30,14.444182097911835,0.2725317376964497
272,1-19229,3,1-19229,3,38,8,0,6,10.288836419582367,0.2707588531469044
296,1-0205,12,1-0205,1,34,0,0,24,9.155345678329468,0.26927487289204316
373,1-8488,16,1-8488,9,23,5,0,3,6.1444182097911835,0.267148617817008
108,1-8328,14,1-8328,8,114,19,0,30,30.444182097911835,0.2670542289290512
11,MLG56,6,MLG56,13,511,94,0,110,135.96200102567673,0.26607045210504254
5,MLG57,20,MLG57,16,629,98,0,180,166.665092587471,0.2649683506955024
146,MLG78,4,MLG78,15,80,12,0,24,21.155345678329468,0.26444182097911834
64,MLG29,15,MLG29,7,164,34,0,24,43.15534567832947,0.2631423516971309
299,MLG31,6,MLG31,19,33,6,0,7,8.670309156179428,0.2627366410963463
440,1-2034,14,1-2034,8,16,0,0,11,4.196200102567673,0.26226250641047955
358,1-8627,18,1-8627,11,25,5,0,4,6.525890946388245,0.2610356378555298
424,1-1177,17,1-1177,10,17,1,0,9,4.43325462937355,0.2607796840807971
348,1-3087,10,1-3087,20,26,1,0,15,6.722091048955917,0.2585419634213814
94,1-1005,15,1-1005,7,125,21,0,29,32.062709361314774,0.25650167489051817
548,1-5914,5,1-5914,14,3,0,0,2,0.7629454731941223,0.2543151577313741
40,1-7807,14,1-7807,8,239,38,0,59,60.50689145922661,0.253166909871241
143,1-9286,18,1-9286,11,81,17,0,9,20.43325462937355,0.2522624028317722
514,P-0009,14,P-0009,8,7,1,0,2,1.7629454731941223,0.25184935331344604
512,1-5799,5,1-5799,14,7,1,0,2,1.7629454731941223,0.25184935331344604
410,1-3108,6,1-3108,13,18,3,0,4,4.525890946388245,0.25143838591045803
332,P-16616,21,P-16616,17,28,7,0,0,7.0,0.25
501,1-18563,8,1-18563,5,8,2,0,0,2.0,0.25
166,MLG58,16,MLG58,12,71,10,0,20,17.629454731941223,0.24830217932311582
359,1-7839,14,1-7839,8,24,1,0,13,5.959145575761795,0.24829773232340813
218,1-9610,19,1-9610,10,49,11,0,3,12.144418209791183,0.24784526958757516
214,1-8450,16,1-8450,12,52,6,0,18,12.8665092587471,0.24743287036052117
103,1-3362,14,1-3362,8,117,11,0,47,28.929218620061874,0.24725827880394766
233,1-3587,6,1-3587,13,46,6,0,14,11.340618312358856,0.2465351807034534
115,1-8421,5,1-8421,14,109,21,0,15,26.722091048955917,0.24515679861427447
384,1-0358,19,1-0358,9,22,5,0,1,5.381472736597061,0.24461239711804825
473,1-5161,10,1-5161,20,12,1,0,5,2.907363682985306,0.24228030691544214
357,1-9650,20,1-9650,16,25,3,0,8,6.051781892776489,0.24207127571105957
450,1-11206,5,1-11206,14,14,3,0,1,3.381472736597061,0.2415337668997901
0,1-6098,15,1-6098,7,1327,239,0,206,317.5833837389946,0.23932432836397483
277,1-10060,10,1-10060,20,36,4,0,12,8.577672839164734,0.23826868997679818
184,1-2701,3,1-2701,19,61,9,0,14,14.340618312358856,0.23509210348129272
27,1-1608,18,1-1608,11,307,46,0,68,71.94014608860016,0.23433272341563569
126,1-6693,15,1-6693,7,98,15,0,20,22.629454731941223,0.23091280338715534
518,1-4842,19,1-4842,9,6,1,0,1,1.3814727365970612,0.2302454560995102
