Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,15,10,1-3535,315,82,8,47,8085.248318061233,25.667454977972167
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,19,24,MLG44,59,2,1,0,1002.0,16.983050847457626
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,6,24,MLG41,66,3,1,0,1003.0,15.196969696969697
483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,9,14,1-9491,80,24,1,4,1024.276452600956,12.80345565751195
350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,10,8,1-2282,219,71,2,51,2074.5247706621885,9.47271584777255
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,14,6,MLG52,125,17,1,23,1018.5896024554968,8.148716819643974
381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,1-2335,6,24,1-2335,145,5,1,0,1005.0,6.931034482758621
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1-6098,15,10,1-6098,1327,303,8,222,8318.343119353056,6.268532870650382
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,16,24,MLG49,185,8,1,0,1008.0,5.448648648648649
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,8,12,MLG14,232,26,1,54,1029.7321101129055,4.438500474624592
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,1-9768,16,6,1-9768,241,25,1,31,1027.1425076574087,4.262002106462277
390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,MLG64,14,23,MLG64,245,4,1,17,1005.1749235540628,4.102754790016583
189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,1-9156,14,23,1-9156,268,17,1,25,1018.7278287559748,3.8012232416267717
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,10,8,MLG54,595,103,2,27,2104.8660550564528,3.53759000849824
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,9,14,1-1608,307,57,1,177,1069.2330275923014,3.482843738085672
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,16,6,MLG50,319,47,1,47,1050.2483180612326,3.2923144766809798
352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,MLG63,7,3,MLG63,380,36,1,65,1040.4923547655344,2.7381377756987746
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,7,3,1-1580,400,56,1,23,1057.5896024554968,2.643974006138742
