Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,20,11,MLG45,70,25,1,19,1037.3711951971054,14.819588502815792
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1-6240,20,11,1-6240,698,69,1,175,1182.9452189207077,1.6947639239551686
322,322,322,322,322,322,322,322,322,322,322,322,322,322,1-0296,18,12,1-0296,41,8,0,31,28.184581637382507,0.6874288204239636
131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,18,12,1-9283,235,95,0,72,141.8803186416626,0.6037460367730323
470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,2,10,1-1204,39,4,0,30,23.53346610069275,0.6034222077100705
124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,20,11,1-8427,189,45,0,99,109.46043813228607,0.579155757313683
387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,20,11,1-10539,63,9,0,42,36.34685254096985,0.5769341673169818
483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,20,11,1-9491,80,25,0,30,44.53346610069275,0.5566683262586594
399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,15,14,MLG60,47,21,0,7,25.557808756828308,0.5437831650389001
239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-7042,3,9,1-7042,117,22,0,63,63.02027881145477,0.5386348616363655
166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,14,6,MLG40,51,21,0,8,26.208924293518066,0.5139004763434915
123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,1,15,MLG55,92,21,0,40,47.04462146759033,0.5113545811694601
