Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,18,6,MLG56,511,83,1,120,1177.9587392807007,2.3052030122909994
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,18,6,MLG54,595,34,1,103,1115.5062512159348,1.874800422211655
511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,1-9697,6,8,1-9697,20,7,0,22,24.409102201461792,1.2204551100730896
409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,1-9645,5,19,1-9645,69,1,0,82,65.88847184181213,0.95490538901177
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1-5167,7,17,1-5167,24,22,0,1,22.791322827339172,0.9496384511391321
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,12,4,1-6858,23,12,0,12,21.49587392807007,0.934603214263916
496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,1-3176,18,6,1-3176,3,1,0,2,2.5826456546783447,0.8608818848927816
425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,1-6006,10,11,1-6006,57,36,0,15,47.869842410087585,0.8398217966682032
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,19,7,1-8544,54,19,0,32,44.322330474853516,0.8207838976824725
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1-3519,14,16,1-3519,27,22,0,0,22.0,0.8148148148148148
465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,1-5913,8,2,1-5913,14,9,0,3,11.373968482017517,0.8124263201441083
201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,1-9902,18,6,1-9902,30,14,0,11,22.704551100730896,0.7568183700243633
490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,1-3551,18,6,1-3551,6,2,0,3,4.373968482017517,0.7289947470029196
474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,1-8400,7,17,1-8400,33,16,0,10,23.913228273391724,0.7246432810118704
467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,1-13247,3,24,1-13247,29,21,0,0,21.0,0.7241379310344828
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,1-4929,19,7,1-4929,10,4,0,4,7.1652913093566895,0.716529130935669
444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,1-3217,16,9,1-3217,5,1,0,3,3.373968482017517,0.6747936964035034
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,1-8646,19,7,1-8646,20,10,0,4,13.16529130935669,0.6582645654678345
537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,1-4494,16,9,1-4494,16,7,0,4,10.16529130935669,0.6353307068347931
451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,1-4098,14,16,1-4098,16,10,0,0,10.0,0.625
431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,1-7614,12,4,1-7614,72,39,0,7,44.53925979137421,0.6186008304357529
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,1-18423,9,15,1-18423,47,2,0,34,28.90497612953186,0.6149994921176991
238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,1-9855,18,6,1-9855,8,4,0,1,4.791322827339172,0.5989153534173965
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,1-2573,16,9,1-2573,37,15,0,9,22.12190544605255,0.5978893363797987
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,1-4052,16,9,1-4052,13,3,0,6,7.747936964035034,0.595995151079618
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,18,6,1-2382,139,43,0,50,82.56614136695862,0.5940010170284793
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,2,21,1-4926,4,0,0,3,2.373968482017517,0.5934921205043793
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,1-1833,8,2,1-1833,124,8,0,82,72.88847184181213,0.5878102567888075
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,10,11,1-8627,25,4,0,13,14.28719675540924,0.5714878702163696
477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,1-9055,18,6,1-9055,12,2,0,6,6.747936964035034,0.5623280803362528
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,1-8074,16,9,1-8074,145,44,0,47,81.1921728849411,0.5599460198961456
405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,1-3104,16,9,1-3104,16,5,0,5,8.956614136695862,0.5597883835434914
251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,10,11,1-7268,70,22,0,21,38.61777937412262,0.5516825624874659
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,12,4,1-1224,151,4,0,100,83.13228273391724,0.5505449187676639
387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,10,11,1-10539,63,15,0,24,33.99174785614014,0.5395515532720656
401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,1-7204,14,16,1-7204,26,14,0,0,14.0,0.5384615384615384
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,1-8488,17,5,1-8488,23,10,0,3,12.373968482017517,0.5379986296529355
516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,1-5036,19,7,1-5036,14,5,0,3,7.373968482017517,0.5267120344298226
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,15,12,1-3312,36,15,0,5,18.956614136695862,0.5265726149082184
411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,MLG15,2,21,MLG15,105,3,0,66,55.227306604385376,0.525974348613194
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,8,2,72-12171,19,6,0,5,9.956614136695862,0.5240323229839927
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,17,5,1-4682,16,6,0,3,8.373968482017517,0.5233730301260948
438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,MLG10,18,6,MLG10,60,10,0,27,31.365716338157654,0.5227619389692942
416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,1-18203,5,19,1-18203,29,4,0,14,15.078519582748413,0.5199489511292557
455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,1-17790,17,5,1-17790,5,1,0,2,2.5826456546783447,0.516529130935669
254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,1-8379,18,6,1-8379,5,1,0,2,2.5826456546783447,0.516529130935669
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,1-8328,18,6,1-8328,114,35,0,30,58.73968482017517,0.5152603931594313
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,20,10,1-5981,28,12,0,3,14.373968482017517,0.5133560172149113
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,20,10,P-16616,28,12,0,3,14.373968482017517,0.5133560172149113
273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,1-3589,9,15,1-3589,27,9,0,6,13.747936964035034,0.509182850519816
534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1-9457,15,12,1-9457,11,4,0,2,5.582645654678345,0.507513241334395
312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,10,11,1-3108,18,2,0,9,9.121905446052551,0.5067725247806973
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,MLG12,7,17,MLG12,146,1,0,92,73.80170011520386,0.5054910966794784
460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,1-7993,5,19,1-7993,24,1,0,14,12.078519582748413,0.5032716492811838
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,10,11,1-0003,17,3,0,7,8.539259791374207,0.5023093994926003
514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,1-11206,14,16,1-11206,14,7,0,0,7.0,0.5
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,14,16,1-9770,50,25,0,0,25.0,0.5
186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,72-11994,2,21,72-11994,8,4,0,0,4.0,0.5
479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,1-9286,10,11,1-9286,81,11,0,37,40.27894461154938,0.49727092113023924
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,10,11,MLG42,14,3,0,5,6.956614136695862,0.49690100976399015
306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,1-18377,6,8,1-18377,14,3,0,5,6.956614136695862,0.49690100976399015
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,16,9,1-5355,53,20,0,8,26.33058261871338,0.4968034456361015
392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,1-9609,18,6,1-9609,25,2,0,13,12.28719675540924,0.49148787021636964
269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,1-7839,6,8,1-7839,24,11,0,1,11.791322827339172,0.49130511780579883
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1-7964,6,8,1-7964,202,66,0,40,97.6529130935669,0.4834302628394401
310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,1-4855,10,11,1-4855,22,5,0,7,10.539259791374207,0.4790572632442821
421,421,421,421,421,421,421,421,421,421,421,421,421,421,421,1-8398,18,6,1-8398,54,21,0,6,25.747936964035034,0.4768136474821303
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1-8095,1,23,1-8095,46,9,0,16,21.661165237426758,0.4708948964657991
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,9,15,1-9227,801,84,0,369,375.9981232881546,0.4694108904970719
168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,1-9655,15,12,1-9655,27,11,0,2,12.582645654678345,0.466023913136235
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,16,9,MLG41,66,14,0,21,30.61777937412262,0.46390574809276697
536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,1-9971,10,11,1-9971,15,3,0,5,6.956614136695862,0.46377427577972413
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1-7140,13,13,1-7140,397,11,0,215,181.13440787792206,0.45625795435244854
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,13,13,1-6878,167,3,0,92,75.80170011520386,0.45390239589942427
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1-5214,16,9,1-5214,40,11,0,9,18.12190544605255,0.45304763615131377
265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,1-11330,18,6,1-11330,14,0,0,8,6.330582618713379,0.4521844727652414
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,8,2,1-6692,71,17,0,19,32.035133719444275,0.45119906647104613
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,10,11,1-7682,141,9,0,69,63.60127508640289,0.451072872953212
