,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
455,1-1608,20,24,1-1608,307,6,0,17,13.56881132721901,0.0441980824990847
456,1-7964,15,1,1-7964,202,0,0,20,8.904483914375305,0.0440816035365114
457,1-8125,7,16,1-8125,21,0,0,2,0.8904483914375305,0.0424023043541681
458,1-5167,21,7,1-5167,24,1,0,0,1.0,0.0416666666666666
459,MLG10,20,24,MLG10,60,2,0,1,2.4452241957187653,0.0407537365953127
460,1-8576,15,1,1-8576,55,0,0,5,2.2261209785938263,0.0404749268835241
461,1-9752,15,1,1-9752,22,0,0,2,0.8904483914375305,0.0404749268835241
462,1-2423,15,1,1-2423,79,0,0,7,3.116569370031357,0.0394502451902703
463,1-8493,17,11,1-8493,38,1,0,1,1.4452241957187653,0.0380322156768096
464,1-0405,2,22,1-0405,64,1,0,3,2.335672587156296,0.0364948841743171
465,1-9610,20,24,1-9610,49,0,0,4,1.780896782875061,0.0363448323035726
466,1-1207,7,16,1-1207,66,0,0,5,2.2261209785938263,0.03372910573627
467,1-9739,13,8,1-9739,31,1,0,0,1.0,0.032258064516129
468,1-7995,11,6,1-7995,14,0,0,1,0.4452241957187652,0.031801728265626
469,1-8988,10,1,1-8988,29,0,0,2,0.8904483914375305,0.0307051169461217
470,1-19222,16,9,1-19222,15,0,0,1,0.4452241957187652,0.0296816130479176
471,1-5163,6,20,1-5163,16,0,0,1,0.4452241957187652,0.0278265122324228
472,1-6006,20,24,1-6006,57,1,0,1,1.4452241957187653,0.0253548104512064
473,1-5744,9,14,1-5744,18,0,0,1,0.4452241957187652,0.0247346775399314
474,1-6919,3,18,1-6919,43,1,0,0,1.0,0.0232558139534883
475,1-8172,20,24,1-8172,40,0,0,2,0.8904483914375305,0.0222612097859382
476,1-7721,2,22,1-7721,20,0,0,1,0.4452241957187652,0.0222612097859382
477,1-9137,1,23,1-9137,111,2,0,0,2.0,0.018018018018018
478,1-9870,16,9,1-9870,27,0,0,1,0.4452241957187652,0.0164897850266209
479,1-9996,14,13,1-9996,28,0,0,1,0.4452241957187652,0.015900864132813
480,1-7722,9,18,1-7722,60,0,0,2,0.8904483914375305,0.0148408065239588
481,1-9185,20,24,1-9185,31,0,0,1,0.4452241957187652,0.0143620708296375
482,1-2104,12,5,1-2104,36,0,0,1,0.4452241957187652,0.0123673387699657
483,MLG09,1,23,MLG09,125,1,0,1,1.4452241957187653,0.0115617935657501
484,1-9496,16,11,1-9496,39,0,0,1,0.4452241957187652,0.0114160050184298
485,1-9578,15,1,1-9578,42,0,0,1,0.4452241957187652,0.010600576088542
486,1-10451,2,5,1-10451,46,0,0,1,0.4452241957187652,0.0096787868634514
487,1-2670,5,19,1-2670,104,1,0,0,1.0,0.0096153846153846
488,1-8767,21,7,1-8767,48,0,0,1,0.4452241957187652,0.0092755040774742
489,1-8622,15,1,1-8622,54,0,0,1,0.4452241957187652,0.0082448925133104
490,1-9646,11,6,1-9646,105,0,0,1,0.4452241957187652,0.0042402304354168
491,1-18603,16,9,1-18603,19,0,0,0,0.0,0.0
492,1-3519,3,18,1-3519,27,0,0,0,0.0,0.0
493,MLG46,6,20,MLG46,17,0,0,0,0.0,0.0
