Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
45,45,45,45,45,45,45,45,45,45,45,45,45,1-3596,3,10,1-3596,223,33,0,87,53.398767694830894,0.2394563573759233
80,80,80,80,80,80,80,80,80,80,80,80,80,1-0053,6,13,1-0053,142,29,0,19,33.45490328967571,0.23559791049067402
385,385,385,385,385,385,385,385,385,385,385,385,385,1-18615,16,3,1-18615,22,3,0,9,5.110217347741127,0.23228260671550577
431,431,431,431,431,431,431,431,431,431,431,431,431,1-8503,10,5,1-8503,16,3,0,3,3.7034057825803757,0.23146286141127348
345,345,345,345,345,345,345,345,345,345,345,345,345,1-3584,19,14,1-3584,26,2,0,17,5.9859661012887955,0.23022946543418443
132,132,132,132,132,132,132,132,132,132,132,132,132,MLG55,20,19,MLG55,92,20,0,5,21.172342970967293,0.23013416272790535
236,236,236,236,236,236,236,236,236,236,236,236,236,1-9794,20,19,1-9794,46,10,0,2,10.468937188386917,0.2275855910518895
256,256,256,256,256,256,256,256,256,256,256,256,256,1-0296,2,5,1-0296,41,6,0,14,9.28256031870842,0.22640391021240047
129,129,129,129,129,129,129,129,129,129,129,129,129,1-4531,14,8,1-4531,94,12,0,39,21.144275173544884,0.22493909759090303
37,37,37,37,37,37,37,37,37,37,37,37,37,1-5775,12,2,1-5775,244,38,0,70,54.4128015935421,0.22300328521943483
179,179,179,179,179,179,179,179,179,179,179,179,179,1-7467,12,2,1-7467,64,14,0,1,14.234468594193459,0.2224135717842728
169,169,169,169,169,169,169,169,169,169,169,169,169,1-7268,16,21,1-7268,70,9,0,28,15.56512063741684,0.222358866248812
449,449,449,449,449,449,449,449,449,449,449,449,449,MLG43,21,18,MLG43,14,1,0,9,3.110217347741127,0.22215838198150908
161,161,161,161,161,161,161,161,161,161,161,161,161,1-8285,16,3,1-8285,72,12,0,17,15.985966101288795,0.22202730696234438
100,100,100,100,100,100,100,100,100,100,100,100,100,1-5172,2,5,1-5172,120,16,0,45,26.551086738705635,0.2212590561558803
30,30,30,30,30,30,30,30,30,30,30,30,30,1-10785,1,6,1-10785,279,27,0,148,61.70135194063187,0.2211517990703651
124,124,124,124,124,124,124,124,124,124,124,124,124,1-0292,21,18,1-0292,99,20,0,7,21.64128015935421,0.21859878948842637
