Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,145,145,145,145,145,145,1-9491,12,1-9491,10,80,20,1,18,1035.7748683691025,12.947185854613782
93,93,93,93,93,93,93,93,93,93,93,93,93,MLG52,12,MLG52,10,125,7,1,10,1015.7638157606125,8.1261105260849
368,368,368,368,368,368,368,368,368,368,368,368,368,1-6858,8,1-6858,21,23,10,0,14,22.269342064857483,0.9682322636894558
203,203,203,203,203,203,203,203,203,203,203,203,203,1-9938,3,1-9938,8,55,3,0,35,33.67335516214371,0.6122428211298856
17,17,17,17,17,17,17,17,17,17,17,17,17,1-7004,17,1-7004,19,381,53,0,199,227.3999336361885,0.5968502195175551
28,28,28,28,28,28,28,28,28,28,28,28,28,1-7005,15,1-7005,14,285,21,0,164,164.7265784740448,0.5779879946457712
15,15,15,15,15,15,15,15,15,15,15,15,15,1-1580,18,1-1580,18,400,47,0,210,231.04013097286224,0.5776003274321556
332,332,332,332,332,332,332,332,332,332,332,332,332,P-16616,20,P-16616,16,28,7,0,10,15.763815760612488,0.5629934200218746
104,104,104,104,104,104,104,104,104,104,104,104,104,1-9394,19,1-9394,17,117,14,0,59,65.70651298761368,0.5615941280992622
55,55,55,55,55,55,55,55,55,55,55,55,55,1-1462,15,1-1462,14,192,16,0,102,105.39092075824738,0.5489110456158718
63,63,63,63,63,63,63,63,63,63,63,63,63,1-3052,15,1-3052,14,166,10,0,86,85.3688155412674,0.514269973140165
195,195,195,195,195,195,195,195,195,195,195,195,195,1-9379,4,1-9379,9,58,21,0,10,29.763815760612488,0.5131692372519394
299,299,299,299,299,299,299,299,299,299,299,299,299,MLG31,6,MLG31,6,33,12,0,5,16.381907880306244,0.49642145091837103
358,358,358,358,358,358,358,358,358,358,358,358,358,1-8627,6,1-8627,6,25,3,0,10,11.763815760612488,0.4705526304244995
4,4,4,4,4,4,4,4,4,4,4,4,4,MLG68,16,MLG68,5,642,37,0,302,301.66723597049713,0.46988666039018245
215,215,215,215,215,215,215,215,215,215,215,215,215,MLG40,20,MLG40,16,51,15,0,10,23.763815760612488,0.4659571717767155
228,228,228,228,228,228,228,228,228,228,228,228,228,MLG60,16,MLG60,5,47,12,0,11,21.640197336673737,0.4604297305675263
160,160,160,160,160,160,160,160,160,160,160,160,160,1-5197,3,1-5197,8,72,3,0,34,32.79697358608246,0.45551352202892303
165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,4,MLG59,9,71,24,0,9,31.88743418455124,0.44911879133170757
412,412,412,412,412,412,412,412,412,412,412,412,412,1-0055,16,1-0055,5,18,1,0,8,8.01105260848999,0.4450584782494439
