,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
0,1-9491,16,1-9491,10,80,17,1,22,1038.378121495247,12.979726518690589
1,MLG52,16,MLG52,10,125,11,1,33,1043.0671822428703,8.344537457942963
2,1-6878,9,1-6878,1,167,45,0,105,147.03194350004196,0.8804307994014489
3,1-0008,9,1-0008,1,230,3,0,194,191.516162276268,0.8326789664185565
4,1-18028,11,1-18028,4,309,16,0,243,252.13106924295425,0.8159581528898195
5,1-0292,9,1-0292,1,99,44,0,34,77.03891503810883,0.7781708589707962
6,1-1608,10,1-1608,2,307,32,0,206,232.17695581913,0.7562767290525405
7,MLG56,10,MLG56,2,511,130,0,248,370.98973321914673,0.726007305712616
8,1-7682,8,1-7682,5,141,65,0,29,93.18025106191637,0.6608528444107543
9,1-0278,3,1-0278,19,79,6,0,46,50.69970858097077,0.6417684630502628
10,1-9277,16,1-9277,14,48,14,0,17,30.519457519054413,0.6358220316469669
11,1-9394,14,1-9394,17,117,15,0,60,73.30396771430969,0.6265296385838435
12,1-2423,9,1-2423,1,79,8,0,39,45.8975790143013,0.580982012839257
13,1-7268,16,1-7268,4,70,28,0,13,40.63252633810043,0.5804646619728633
14,MLG57,11,MLG57,4,629,178,0,192,364.572696685791,0.579606830979
15,1-9286,16,1-9286,10,81,7,0,41,46.84104460477829,0.5782845012935591
16,1-3052,7,1-3052,14,166,7,0,89,93.48421877622604,0.5631579444350967
17,1-9516,7,1-9516,14,76,4,0,39,41.8975790143013,0.5512839343987013
18,1-7019,12,1-7019,15,107,15,0,45,58.72797578573227,0.5488595867825445
19,1-5043,18,1-5043,21,123,8,0,61,67.27570050954819,0.5469569147117739
20,MLG45,2,MLG45,9,70,20,0,18,37.49119031429291,0.5355884330613273
21,MLG29,5,MLG29,11,164,36,0,53,87.50183814764023,0.5335477935831722
22,MLG59,2,MLG59,9,71,24,0,14,37.60425913333893,0.5296374525822384
23,MLG69,3,MLG69,19,576,39,0,271,302.3395875096321,0.5248951172042224
24,MLG13,7,MLG13,14,140,7,0,68,73.07783007621765,0.5219845005444118
25,1-5980,5,1-5980,11,29,9,0,6,14.83039677143097,0.5113929921183092
26,1-0303,12,1-0303,15,212,22,0,88,107.51248598098756,0.5071343678348469
27,1-7005,7,1-7005,14,285,17,0,131,144.29699617624283,0.506305249741203
28,1-5002,5,1-5002,11,45,11,0,12,22.66079354286194,0.5035731898413764
29,1-3535,13,1-3535,16,315,32,0,119,147.6362026333809,0.4686863575662885
30,MLG40,13,MLG40,16,51,15,0,9,23.74559515714645,0.4655999050420873
31,1-3139,7,1-3139,14,93,7,0,37,42.95411342382431,0.4618721873529495
32,MLG68,8,MLG68,5,642,82,0,220,295.7812149524689,0.4607184033527552
33,P-16616,13,P-16616,16,28,7,0,6,12.83039677143097,0.4582284561225346
