Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
191,191,191,191,191,191,191,191,191,191,MLG44,21,22,MLG44,59,5,1,8,1012.1049580574036,17.15432132300684
168,168,168,168,168,168,168,168,168,168,MLG45,7,12,MLG45,70,26,1,8,1033.1049580574036,14.758642257962908
84,84,84,84,84,84,84,84,84,84,1-2382,21,22,1-2382,139,20,1,12,1030.6574370861053,7.414801705655434
6,6,6,6,6,6,6,6,6,6,MLG54,7,12,MLG54,595,53,1,399,1407.3597831130028,2.365310559853786
75,75,75,75,75,75,75,75,75,75,1-2545,4,9,1-2545,145,39,0,87,116.26641887426376,0.8018373715466467
10,10,10,10,10,10,10,10,10,10,MLG62,12,14,MLG62,525,47,0,370,375.60431015491486,0.7154367812474569
295,295,295,295,295,295,295,295,295,295,1-1942,14,12,1-1942,34,13,0,10,21.881197571754456,0.6435646344633663
64,64,64,64,64,64,64,64,64,64,MLG29,6,10,MLG29,164,54,0,56,103.73470640182495,0.6325286975721034
203,203,203,203,203,203,203,203,203,203,1-9938,11,15,1-9938,55,6,0,32,34.41983222961426,0.625815131447532
7,7,7,7,7,7,7,7,7,7,MLG69,3,8,MLG69,576,31,0,354,345.3943940401077,0.5996430452085204
145,145,145,145,145,145,145,145,145,145,1-9491,18,19,1-9491,80,24,0,26,47.091113686561584,0.5886389210820198
51,51,51,51,51,51,51,51,51,51,MLG65,3,8,MLG65,201,41,0,84,115.60205960273743,0.5751346248892409
78,78,78,78,78,78,78,78,78,78,1-1570,18,19,1-1570,142,8,0,82,80.82582008838654,0.5691959161153981
123,123,123,123,123,123,123,123,123,123,1-11350,3,8,1-11350,100,7,0,53,54.070347130298615,0.5407034713029861
111,111,111,111,111,111,111,111,111,111,1-0272,5,13,1-0272,111,11,0,55,59.846586644649506,0.5391584382400857
242,242,242,242,242,242,242,242,242,242,1-3206,8,11,1-3206,45,7,0,19,23.874275386333466,0.5305394530296326
55,55,55,55,55,55,55,55,55,55,1-1462,14,6,1-1462,192,12,0,99,99.92385596036911,0.5204367497935891
41,41,41,41,41,41,41,41,41,41,1-9283,3,8,1-9283,235,21,0,113,121.35753256082535,0.5164150321737249
176,176,176,176,176,176,176,176,176,176,1-6561,18,19,1-6561,65,5,0,31,32.53171247243881,0.5004878841913664
143,143,143,143,143,143,143,143,143,143,1-9286,16,4,1-9286,81,13,0,31,40.53171247243881,0.5003915120054174
121,121,121,121,121,121,121,121,121,121,1-9333,20,21,1-9333,102,24,0,29,49.75547295808792,0.48779875449105803
93,93,93,93,93,93,93,93,93,93,MLG52,8,11,MLG52,125,11,0,56,60.73470640182495,0.4858776512145996
60,60,60,60,60,60,60,60,60,60,1-3068,5,13,1-3068,180,26,0,69,87.28026324510574,0.48489035136169856
332,332,332,332,332,332,332,332,332,332,P-16616,2,2,P-16616,28,10,0,4,13.552479028701782,0.4840171081679208
36,36,36,36,36,36,36,36,36,36,MLG64,13,7,MLG64,245,77,0,45,116.96538907289505,0.477409751317939
28,28,28,28,28,28,28,28,28,28,1-7005,14,6,1-7005,285,33,0,114,134.2456523180008,0.47103737655438876
81,81,81,81,81,81,81,81,81,81,1-7682,18,19,1-7682,141,13,0,60,66.28718543052673,0.4701218824860052
34,34,34,34,34,34,34,34,34,34,MLG51,8,11,MLG51,248,53,0,70,115.16838300228119,0.4643886411382306
11,11,11,11,11,11,11,11,11,11,MLG56,8,11,MLG56,511,65,0,190,233.74275386333466,0.45742221891063534
129,129,129,129,129,129,129,129,129,129,1-4531,14,6,1-4531,94,12,0,34,42.19607174396515,0.4488943802549484
17,17,17,17,17,17,17,17,17,17,1-7004,5,13,1-7004,381,73,0,110,170.693173289299,0.4480135781871365
406,406,406,406,406,406,406,406,406,406,1-3265,17,3,1-3265,19,4,0,5,8.440598785877228,0.4442420413619594
160,160,160,160,160,160,160,160,160,160,1-5197,11,15,1-5197,72,3,0,32,31.419832229614258,0.4363865587446425
45,45,45,45,45,45,45,45,45,45,1-3596,3,8,1-3596,223,32,0,73,96.83274227380753,0.4342275438287333
122,122,122,122,122,122,122,122,122,122,1-9404,11,15,1-9404,100,5,0,43,43.18914955854416,0.4318914955854416
8,8,8,8,8,8,8,8,8,8,1-10468,11,15,1-10468,549,63,0,196,237.07147240638733,0.4318241756036199
299,299,299,299,299,299,299,299,299,299,MLG31,13,7,MLG31,33,8,0,7,14.216838300228119,0.4308132818250945
256,256,256,256,256,256,256,256,256,256,1-0296,2,2,1-0296,41,6,0,13,17.545556843280792,0.4279404108117266
358,358,358,358,358,358,358,358,358,358,1-8627,5,13,1-8627,25,8,0,3,10.664359271526337,0.4265743708610535
35,35,35,35,35,35,35,35,35,35,1-7496,5,13,1-7496,246,54,0,56,103.73470640182495,0.42168579838140224
61,61,61,61,61,61,61,61,61,61,1-6927,11,15,1-6927,179,13,0,70,75.16838300228119,0.41993510057140326
154,154,154,154,154,154,154,154,154,154,1-9417,11,15,1-9417,76,7,0,28,31.867353200912476,0.4193072789593747
148,148,148,148,148,148,148,148,148,148,1-0278,18,19,1-0278,79,6,0,30,32.64359271526337,0.41321003437042236
58,58,58,58,58,58,58,58,58,58,MLG49,20,21,MLG49,185,24,0,59,76.39906567335129,0.4129679225586556
156,156,156,156,156,156,156,156,156,156,1-2294,8,11,1-2294,75,19,0,13,30.545556843280792,0.4072740912437439
228,228,228,228,228,228,228,228,228,228,MLG60,4,9,MLG60,47,10,0,10,18.881197571754456,0.40172760790966927
260,260,260,260,260,260,260,260,260,260,1-4760,17,3,1-4760,40,6,0,11,15.769317328929901,0.39423293322324754
166,166,166,166,166,166,166,166,166,166,MLG58,12,14,MLG58,71,19,0,10,27.881197571754456,0.3926929235458374
403,403,403,403,403,403,403,403,403,403,72-12171,19,20,72-12171,19,3,0,5,7.440598785877228,0.3916104624145909
125,125,125,125,125,125,125,125,125,125,1-1390,7,12,1-1390,98,17,0,24,38.31487417221069,0.3909681037980683
91,91,91,91,91,91,91,91,91,91,1-9270,19,20,1-9270,128,24,0,29,49.75547295808792,0.3887146324850619
63,63,63,63,63,63,63,63,63,63,1-3052,14,6,1-3052,166,13,0,58,64.51094591617584,0.3886201561215412
437,437,437,437,437,437,437,437,437,437,1-4098,9,17,1-4098,16,0,0,7,6.216838300228119,0.38855239376425743
266,266,266,266,266,266,266,266,266,266,1-9496,11,15,1-9496,39,0,0,17,15.098035871982574,0.38712912492263013
54,54,54,54,54,54,54,54,54,54,1-1350,18,19,1-1350,195,23,0,59,75.39906567335129,0.3866618752479553
49,49,49,49,49,49,49,49,49,49,1-6974,7,12,1-6974,207,35,0,50,79.40598785877228,0.3836038060810255
20,20,20,20,20,20,20,20,20,20,1-8067,11,15,1-8067,322,27,0,108,122.91693377494812,0.3817296079967333
57,57,57,57,57,57,57,57,57,57,MLG75,4,9,MLG75,185,42,0,32,70.41983222961426,0.3806477417816987
512,512,512,512,512,512,512,512,512,512,1-5799,18,19,1-5799,7,0,0,3,2.6643592715263367,0.38062275307519094
281,281,281,281,281,281,281,281,281,281,1-3312,11,15,1-3312,36,3,0,12,13.657437086105347,0.3793732523918152
158,158,158,158,158,158,158,158,158,158,1-9808,9,17,1-9808,74,3,0,28,27.867353200912476,0.3765858540663848
43,43,43,43,43,43,43,43,43,43,MLG14,12,14,MLG14,232,66,0,24,87.3148741722107,0.37635721625952884
65,65,65,65,65,65,65,65,65,65,1-4319,11,15,1-4319,163,15,0,52,61.18222737312317,0.37535108817866975
502,502,502,502,502,502,502,502,502,502,72-11994,9,17,72-11994,8,3,0,0,3.0,0.375
86,86,86,86,86,86,86,86,86,86,1-8910,19,20,1-8910,137,18,0,37,50.860431015491486,0.37124402201088674
442,442,442,442,442,442,442,442,442,442,1-5803,17,3,1-5803,15,2,0,4,5.552479028701782,0.37016526858011883
477,477,477,477,477,477,477,477,477,477,1-8222,9,17,1-8222,12,0,0,5,4.440598785877228,0.3700498988231023
5,5,5,5,5,5,5,5,5,5,MLG57,16,4,MLG57,629,61,0,193,232.407113134861,0.36948666635113037
385,385,385,385,385,385,385,385,385,385,1-18615,16,4,1-18615,22,1,0,8,8.104958057403564,0.36840718442743475
67,67,67,67,67,67,67,67,67,67,1-3516,5,13,1-3516,156,19,0,43,57.18914955854416,0.36659711255477023
9,9,9,9,9,9,9,9,9,9,1-3523,17,3,1-3523,543,73,0,141,198.22488576173782,0.3650550382352446
157,157,157,157,157,157,157,157,157,157,1-17733,11,15,1-17733,74,3,0,27,26.97923344373703,0.3645842357261761
102,102,102,102,102,102,102,102,102,102,1-17907,5,13,1-17907,119,14,0,33,43.3079519867897,0.36393236963688824
98,98,98,98,98,98,98,98,98,98,1-5043,19,20,1-5043,123,17,0,31,44.53171247243881,0.3620464428653562
147,147,147,147,147,147,147,147,147,147,1-2423,9,17,1-2423,79,1,0,31,28.531712472438812,0.3611609173726432
503,503,503,503,503,503,503,503,503,503,1-5531,10,18,1-5531,8,2,0,1,2.8881197571754456,0.3610149696469307
510,510,510,510,510,510,510,510,510,510,1-10444,18,19,1-10444,8,2,0,1,2.8881197571754456,0.3610149696469307
161,161,161,161,161,161,161,161,161,161,1-8285,16,4,1-8285,72,10,0,18,25.98615562915802,0.3609188281827503
331,331,331,331,331,331,331,331,331,331,1-5981,3,8,1-5981,28,3,0,8,10.104958057403564,0.36089135919298443
352,352,352,352,352,352,352,352,352,352,1-2297,11,15,1-2297,25,1,0,9,8.99307781457901,0.3597231125831604
238,238,238,238,238,238,238,238,238,238,1-4390,14,6,1-4390,45,9,0,8,16.104958057403564,0.35788795683119035
103,103,103,103,103,103,103,103,103,103,1-3362,5,13,1-3362,117,15,0,30,41.64359271526337,0.35592814286549884
77,77,77,77,77,77,77,77,77,77,1-9674,11,15,1-9674,144,13,0,43,51.18914955854416,0.35548020526766777
32,32,32,32,32,32,32,32,32,32,1-7874,14,6,1-7874,258,26,0,73,90.83274227380753,0.3520648925341377
31,31,31,31,31,31,31,31,31,31,1-9156,15,5,1-9156,268,64,0,34,94.19607174396515,0.351477879641661
3,3,3,3,3,3,3,3,3,3,1-6181,9,17,1-6181,659,30,0,227,231.60318487882614,0.3514464110452597
354,354,354,354,354,354,354,354,354,354,1-7530,2,2,1-7530,25,7,0,2,8.776239514350891,0.3510495805740356
126,126,126,126,126,126,126,126,126,126,1-6693,6,10,1-6693,98,5,0,33,34.3079519867897,0.3500811427223439
29,29,29,29,29,29,29,29,29,29,1-3534,10,18,1-3534,279,62,0,40,97.52479028701782,0.34955121966673053
451,451,451,451,451,451,451,451,451,451,1-11329,8,12,1-11329,14,4,0,1,4.888119757175446,0.34915141122681753
368,368,368,368,368,368,368,368,368,368,1-6858,11,15,1-6858,23,0,0,9,7.99307781457901,0.34752512237300043
504,504,504,504,504,504,504,504,504,504,1-9861,3,8,1-9861,8,1,0,2,2.776239514350891,0.3470299392938614
23,23,23,23,23,23,23,23,23,23,1-7866,17,3,1-7866,318,31,0,89,110.04265838861465,0.3460460955616813
53,53,53,53,53,53,53,53,53,53,1-8341,14,6,1-8341,197,14,0,60,67.28718543052673,0.3415593169062271
334,334,334,334,334,334,334,334,334,334,1-18994,8,18,1-18994,28,6,0,4,9.552479028701782,0.3411599653107779
40,40,40,40,40,40,40,40,40,40,1-7807,5,13,1-7807,239,30,0,58,81.51094591617584,0.34104998291286964
440,440,440,440,440,440,440,440,440,440,1-2034,6,10,1-2034,16,1,0,5,5.440598785877228,0.34003742411732674
221,221,221,221,221,221,221,221,221,221,1-4355,3,8,1-4355,49,6,0,12,16.657437086105347,0.339947695634803
257,257,257,257,257,257,257,257,257,257,1-19286,12,14,1-19286,40,10,0,4,13.552479028701782,0.33881197571754457
33,33,33,33,33,33,33,33,33,33,1-6296,9,17,1-6296,254,7,0,89,86.04265838861465,0.3387506235772231
46,46,46,46,46,46,46,46,46,46,1-2282,13,7,1-2282,219,56,0,20,73.76239514350891,0.3368145896963877
269,269,269,269,269,269,269,269,269,269,1-8551,14,6,1-8551,38,3,0,11,12.769317328929901,0.3360346665507869
0,0,0,0,0,0,0,0,0,0,1-6098,6,10,1-6098,1327,137,0,344,442.51319646835327,0.3334688745051645
215,215,215,215,215,215,215,215,215,215,MLG40,15,5,MLG40,51,9,0,9,16.99307781457901,0.33319760420743155
116,116,116,116,116,116,116,116,116,116,MLG08,3,14,MLG08,107,31,0,5,35.44059878587723,0.33122054940072176
216,216,216,216,216,216,216,216,216,216,1-8397,19,20,1-8397,51,7,0,11,16.7693173289299,0.32881014370450784
426,426,426,426,426,426,426,426,426,426,1-3639,17,3,1-3639,17,2,0,4,5.552479028701782,0.32661641345304604
150,150,150,150,150,150,150,150,150,150,1-3083,17,4,1-3083,78,5,0,23,25.426754415035248,0.32598403096199036
458,458,458,458,458,458,458,458,458,458,1-9667,16,4,1-9667,14,1,0,4,4.552479028701782,0.32517707347869873
473,473,473,473,473,473,473,473,473,473,1-5161,3,9,1-5161,12,3,0,1,3.8881197571754456,0.3240099797646205
376,376,376,376,376,376,376,376,376,376,1-18487,19,20,1-18487,23,3,0,5,7.440598785877228,0.3235042950381403
48,48,48,48,48,48,48,48,48,48,MLG30,9,17,MLG30,208,14,0,60,67.28718543052673,0.3234960838006093
484,484,484,484,484,484,484,484,484,484,1-9731,16,4,1-9731,11,0,0,4,3.5524790287017822,0.3229526389728893
217,217,217,217,217,217,217,217,217,217,1-9770,15,5,1-9770,50,9,0,8,16.104958057403564,0.3220991611480713
272,272,272,272,272,272,272,272,272,272,1-19229,15,5,1-19229,38,6,0,7,12.216838300228119,0.32149574474284526
153,153,153,153,153,153,153,153,153,153,1-9516,14,6,1-9516,76,4,0,23,24.426754415035248,0.3214046633557269
296,296,296,296,296,296,296,296,296,296,1-0205,14,6,1-0205,34,2,0,10,10.881197571754456,0.32003522269866047
138,138,138,138,138,138,138,138,138,138,1-4640,7,12,1-4640,87,10,0,20,27.76239514350891,0.31910799015527486
100,100,100,100,100,100,100,100,100,100,1-5172,2,2,1-5172,120,16,0,25,38.20299392938614,0.3183582827448845
1,1,1,1,1,1,1,1,1,1,1-9227,14,6,1-9227,801,64,0,215,254.9457477927208,0.31828432932923945
26,26,26,26,26,26,26,26,26,26,1-18558,17,3,1-18558,307,47,0,56,96.73470640182495,0.3150967635238598
468,468,468,468,468,468,468,468,468,468,1-9946,16,4,1-9946,12,2,0,2,3.776239514350891,0.3146866261959076
373,373,373,373,373,373,373,373,373,373,1-8488,21,22,1-8488,23,1,0,7,7.216838300228119,0.3137755782707878
422,422,422,422,422,422,422,422,422,422,1-7536,18,19,1-7536,17,0,0,6,5.328718543052673,0.3134540319442749
