Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,1-9491,21,1-9491,10,80,4,1,6,1009.5446699857712,12.61930837482214
93,MLG52,21,MLG52,10,125,4,1,6,1009.5446699857712,8.076357359886169
124,1-0292,15,1-0292,1,99,62,0,7,68.46878165006638,0.6916038550511755
368,1-6858,17,1-6858,21,23,10,0,6,15.54466998577118,0.6758552167726599
299,MLG31,8,MLG31,6,33,11,0,12,22.08933997154236,0.6693739385315867
290,1-3509,15,1-3509,1,35,6,0,18,22.634009957313538,0.6466859987803868
47,1-0303,11,1-0303,15,212,79,0,61,135.370811522007,0.6385415637830518
40,1-7807,7,1-7807,7,239,43,0,117,151.121064722538,0.6323057101361422
126,1-6693,3,1-6693,11,98,21,0,44,61.66091322898865,0.6291929921325372
104,1-9394,10,1-9394,17,117,59,0,14,71.93756330013275,0.614850968377203
239,1-5002,3,1-5002,11,45,11,0,18,27.634009957313538,0.6140891101625231
22,MLG50,8,MLG50,6,319,98,0,104,194.10761308670044,0.6084878153188101
228,MLG60,6,MLG60,5,47,16,0,13,28.013451635837555,0.5960308858688842
215,MLG40,12,MLG40,16,51,22,0,9,30.31700497865677,0.5944510780128778
109,1-7441,11,1-7441,13,111,50,0,17,65.70989829301834,0.5919810657028679
281,1-3312,16,1-3312,8,36,12,0,10,21.241116642951965,0.5900310178597769
268,1-8493,17,1-8493,21,38,2,0,22,22.330456614494324,0.5876435951182717
71,1-4417,15,1-4417,1,151,7,0,85,85.5494914650917,0.5665529236098789
11,MLG56,16,MLG56,2,511,140,0,156,284.16141963005066,0.5560888838161461
332,P-16616,12,P-16616,16,28,10,0,6,15.54466998577118,0.5551667852061135
75,1-2545,2,1-2545,18,145,62,0,20,80.48223328590393,0.555049884730372
17,1-7004,9,1-7004,19,381,72,0,144,205.0720796585083,0.5382469282375546
195,1-9379,14,1-9379,9,58,21,0,11,31.165228307247162,0.5373315225387442
212,MLG32,19,MLG32,13,52,14,0,15,27.861674964427948,0.5358014416236144
62,1-6878,15,1-6878,1,167,45,0,48,89.35735988616943,0.5350740112944278
427,1-3104,5,1-3104,14,16,3,0,6,8.54466998577118,0.5340418741106987
454,1-5913,15,1-5913,1,14,1,0,7,7.468781650066376,0.5334844035761697
98,1-5043,17,1-5043,21,123,10,0,60,65.44669985771179,0.532086990713104
48,MLG30,15,MLG30,1,208,29,0,88,110.3218264579773,0.5303933964325831
0,1-6098,3,1-6098,11,1327,229,0,513,703.0692837834358,0.5298186011932448
3,1-6181,15,1-6181,1,659,76,0,295,348.612940967083,0.5290029453218255
222,1-8705,6,1-8705,5,48,17,0,9,25.31700497865677,0.527437603722016
159,1-6914,5,1-6914,14,73,6,0,35,38.34390825033188,0.525259017127834
350,1-9609,15,1-9609,1,25,2,0,12,13.089339971542358,0.5235735988616943
61,1-6927,13,1-6927,8,179,16,0,84,93.62537980079651,0.5230468145295895
277,1-10060,13,1-10060,8,36,1,0,19,18.558121621608734,0.5155033783780204
14,1-1317,13,1-1317,8,414,73,0,150,211.61674964427948,0.5111515691890809
216,1-8397,17,1-8397,21,51,1,0,27,25.951014935970306,0.5088434301170648
154,1-9417,13,1-9417,8,76,9,0,32,38.57157325744629,0.5075207007558722
115,1-8421,17,1-8421,21,109,8,0,51,55.12969487905502,0.5057770172390369
234,1-10451,19,1-10451,13,46,0,0,25,23.102791607379913,0.5022346001604329
357,1-9650,13,1-9650,8,25,7,0,6,12.54466998577118,0.5017867994308471
326,1-0027,3,1-0027,11,29,9,0,6,14.54466998577118,0.5015403443369372
288,1-9761,19,1-9761,13,35,11,0,7,17.468781650066376,0.4991080471447536
467,1-0031,1,1-0031,4,13,0,0,7,6.468781650066376,0.4975985884666443
263,1-6061,3,1-6061,11,40,6,0,15,19.861674964427948,0.4965418741106987
203,1-9938,13,1-9938,8,55,6,0,23,27.25456827878952,0.4955376050689004
295,1-1942,4,1-1942,12,34,2,0,16,16.785786628723145,0.4936996067271513
127,1-5891,1,1-5891,4,96,39,0,9,47.31700497865677,0.4928854685276747
64,MLG29,3,MLG29,11,164,41,0,43,80.73680156469345,0.4922975705164235
229,1-18423,13,1-18423,8,47,11,0,13,23.013451635837555,0.4896479071454799
174,MLG41,14,MLG41,9,66,23,0,10,32.241116642951965,0.48850176731745404
51,MLG65,14,MLG65,9,201,73,0,26,97.02690327167511,0.48272091179937865
243,1-19166,9,1-19166,19,45,6,0,17,21.70989829301834,0.48244218428929647
545,1-4926,3,1-4926,11,4,1,0,1,1.9241116642951965,0.48102791607379913
381,1-9752,15,1-9752,1,22,5,0,6,10.54466998577118,0.47930318117141724
79,1-0129,17,1-0129,21,142,17,0,55,67.82614153623581,0.47764888405799866
250,1-18234,15,1-18234,1,43,2,0,20,20.48223328590393,0.47633100664892863
468,1-9946,17,1-9946,21,12,2,0,4,5.696446657180786,0.47470388809839886
100,1-5172,17,1-5172,21,120,6,0,55,56.82614153623581,0.47355117946863173
168,MLG45,14,MLG45,9,70,21,0,13,33.013451635837555,0.4716207376548222
437,1-4098,15,1-4098,1,16,2,0,6,7.544669985771179,0.4715418741106987
334,1-18994,9,1-18994,19,28,3,0,11,13.165228307247162,0.4701867252588272
65,1-4319,13,1-4319,8,163,20,0,61,76.37081152200699,0.46853258602458275
130,1-3139,5,1-3139,14,93,11,0,35,43.34390825033188,0.4660635295734611
403,72-12171,16,72-12171,14,19,7,0,2,8.848223328590393,0.4656959646626523
33,1-6296,15,1-6296,1,254,20,0,106,117.95583641529083,0.4643930567531135
285,1-9887,15,1-9887,1,36,1,0,17,16.70989829301834,0.4641638414727317
552,1-19568,15,1-19568,1,2,0,0,1,0.9241116642951965,0.46205583214759827
538,1-5929,5,1-5929,14,4,0,0,2,1.848223328590393,0.46205583214759827
492,MLG73,15,MLG73,1,10,0,0,5,4.620558321475983,0.46205583214759827
542,1-8093,3,1-8093,11,4,0,0,2,1.848223328590393,0.46205583214759827
428,1-9606,17,1-9606,21,16,0,0,8,7.392893314361572,0.46205583214759827
518,1-4842,15,1-4842,1,6,0,0,3,2.7723349928855896,0.46205583214759827
376,1-18487,19,1-18487,13,23,6,0,5,10.620558321475983,0.46176340528156445
20,1-8067,13,1-8067,8,322,89,0,64,148.14314651489258,0.46007188358662293
420,1-8678,8,1-8678,6,17,5,0,3,7.77233499288559,0.4571961760520935
343,MLG67,11,MLG67,15,27,4,0,9,12.317004978656769,0.4561853695798803
157,1-17733,13,1-17733,8,74,6,0,30,33.723349928855896,0.45572094498453913
356,1-18613,1,1-18613,4,25,4,0,8,11.392893314361572,0.4557157325744629
197,1-6006,17,1-6006,21,57,13,0,14,25.93756330013275,0.45504497017776757
387,1-9436,3,1-9436,11,21,3,0,7,9.468781650066376,0.450894364288875
85,1-1131,4,1-1131,12,138,39,0,25,62.10279160737991,0.45002022903898486
30,1-10785,11,1-10785,15,279,33,0,100,125.41116642951965,0.4495023886362712
54,1-1350,16,1-1350,2,195,60,0,29,86.7992382645607,0.44512429879261894
80,1-0053,3,1-0053,11,142,27,0,39,63.040354907512665,0.44394616132051173
160,1-5197,13,1-5197,8,72,7,0,27,31.951014935970306,0.4437640963329209
122,1-9404,13,1-9404,8,100,11,0,36,44.268019914627075,0.44268019914627077
266,1-9496,13,1-9496,8,39,8,0,10,17.241116642951965,0.44207991392184526
21,MLG02,15,MLG02,1,320,17,0,134,140.83096301555634,0.44009675942361354
103,1-3362,7,1-3362,7,117,20,0,34,51.41979658603668,0.43948544090629643
13,1-1258,11,1-1258,15,435,27,0,177,190.5677645802498,0.438086815127011
359,1-7839,18,1-7839,20,24,4,0,7,10.468781650066376,0.43619923541943234
7,MLG69,9,MLG69,19,576,115,0,147,250.8444146513939,0.43549377543644774
422,1-7536,5,1-7536,14,17,0,0,8,7.392893314361572,0.4348760773153866
43,MLG14,8,MLG14,6,232,58,0,46,100.50913655757904,0.4332290368861166
24,1-3535,12,1-3535,16,315,118,0,19,135.55812162160873,0.43034324324320233
451,1-11329,6,1-11329,5,14,6,0,0,6.0,0.42857142857142855
441,1-9997,12,1-9997,11,16,5,0,2,6.848223328590393,0.42801395803689957
129,1-4531,17,1-4531,21,94,18,0,24,40.17867994308472,0.42743276535196506
463,1-20467,3,1-20467,11,13,0,0,6,5.544669985771179,0.42651307582855225
123,1-11350,2,1-11350,18,100,38,0,5,42.62055832147598,0.4262055832147598
82,1-8188,20,1-8188,3,140,50,0,10,59.241116642951965,0.4231508331639426
8,1-10468,13,1-10468,8,549,53,0,194,232.27766287326813,0.42309228210067057
219,1-2400,7,1-2400,7,49,5,0,17,20.70989829301834,0.42265098557180286
63,1-3052,5,1-3052,14,166,9,0,66,69.99136984348297,0.4216347580932709
39,1-9768,9,1-9768,19,241,11,0,98,101.56294310092926,0.4214230004187936
221,1-4355,2,1-4355,18,49,15,0,6,20.54466998577118,0.41927897930145264
412,1-0055,6,1-0055,5,18,2,0,6,7.544669985771179,0.4191483325428433
165,MLG59,14,MLG59,9,71,24,0,6,29.54466998577118,0.4161221124756504
121,1-9333,10,1-9333,17,102,33,0,10,42.241116642951965,0.41412859453874473
