Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
526,526,526,526,1-5002,14,4,1-5002,45,21,0,6,23.44748282432556,0.5210551738739013
345,345,345,345,1-1131,15,11,1-1131,138,42,0,73,71.777707695961,0.5201283166373986
104,104,104,104,1-8267,10,12,1-8267,133,54,0,29,65.82950031757355,0.4949586490043124
464,464,464,464,1-10060,17,2,1-10060,36,10,0,18,17.342448472976685,0.4817346798049079
166,166,166,166,MLG40,1,8,MLG40,51,20,0,6,22.44748282432556,0.44014672204559924
130,130,130,130,1-1833,1,8,1-1833,124,31,0,52,52.21151781082153,0.42106062750662526
260,260,260,260,1-0129,12,5,1-0129,142,31,0,63,56.698569655418396,0.3992857017987211
141,141,141,141,MLG45,6,13,MLG45,70,16,0,26,26.605758905410767,0.38008227007729667
427,427,427,427,1-9379,18,6,1-9379,58,19,0,7,21.855396628379822,0.37681718324792796
302,302,302,302,MLG51,22,16,MLG51,248,68,0,60,92.47482824325562,0.37288237194861135
94,94,94,94,1-3083,17,3,1-3083,78,7,0,50,27.395690202713013,0.35122679747067964
371,371,371,371,1-1580,14,4,1-1580,400,32,0,265,140.09715807437897,0.3502428951859474
346,346,346,346,MLG32,1,8,MLG32,52,12,0,15,18.118707060813904,0.3484366742464212
331,331,331,331,MLG75,18,6,MLG75,185,50,0,30,62.23741412162781,0.33641845471150167
428,428,428,428,1-2701,17,3,1-2701,61,7,0,33,20.46115553379059,0.33542877924246867
278,278,278,278,1-10762,8,2,1-10762,6,2,0,0,2.0,0.3333333333333333
539,539,539,539,1-9436,14,4,1-9436,21,7,0,0,7.0,0.3333333333333333
522,522,522,522,1-5282,15,11,1-5282,17,4,0,4,5.631655216217041,0.3312738362480612
387,387,387,387,1-10539,16,14,1-10539,63,18,0,7,20.855396628379822,0.33103804172031465
533,533,533,533,1-7530,10,12,1-7530,25,7,0,3,8.22374141216278,0.32894965648651125
392,392,392,392,1-9609,4,7,1-9609,25,7,0,3,8.22374141216278,0.32894965648651125
537,537,537,537,1-4494,1,10,1-4494,16,4,0,3,5.223741412162781,0.3264838382601738
209,209,209,209,1-9938,20,15,1-9938,55,11,0,17,17.934534668922424,0.32608244852586227
216,216,216,216,1-9887,4,7,1-9887,36,8,0,9,11.671224236488342,0.3242006732357873
197,197,197,197,1-8646,8,2,1-8646,20,6,0,1,6.40791380405426,0.320395690202713
485,485,485,485,1-5980,6,13,1-5980,29,6,0,8,9.263310432434082,0.31942449767014075
327,327,327,327,P-16616,14,4,P-16616,28,8,0,2,8.81582760810852,0.31485098600387573
312,312,312,312,1-3108,1,8,1-3108,18,4,0,4,5.631655216217041,0.31286973423428005
454,454,454,454,1-0272,11,23,1-0272,111,28,0,16,34.526620864868164,0.31105063842223574
214,214,214,214,1-0053,16,14,1-0053,142,29,0,37,44.09281075000763,0.3105127517606171
244,244,244,244,MLG57,22,16,MLG57,629,94,0,248,195.16262340545654,0.31027444102616303
269,269,269,269,1-7839,14,4,1-7839,24,7,0,1,7.40791380405426,0.3086630751689275
339,339,339,339,1-3523,17,3,1-3523,543,99,0,168,167.52951908111572,0.3085258178289424
157,157,157,157,1-6061,6,13,1-6061,40,7,0,13,12.302879452705383,0.3075719863176346
33,33,33,33,1-7991,5,20,1-7991,46,8,0,15,14.118707060813904,0.30692841436551965
363,363,363,363,1-10785,12,5,1-10785,279,24,0,151,85.5949844121933,0.3067920588250656
220,220,220,220,MLG73,4,7,MLG73,10,1,0,5,3.0395690202713013,0.3039569020271301
353,353,353,353,MLG50,22,16,MLG50,319,74,0,56,96.84317302703857,0.30358361450482313
336,336,336,336,1-1827,1,8,1-1827,24,6,0,3,7.223741412162781,0.30098922550678253
366,366,366,366,1-5163,16,14,1-5163,16,4,0,2,4.8158276081085205,0.30098922550678253
238,238,238,238,1-9855,10,12,1-9855,8,2,0,1,2.4079138040542603,0.30098922550678253
161,161,161,161,MLG41,19,17,MLG41,66,16,0,9,19.671224236488342,0.2980488520680052
517,517,517,517,1-18028,8,2,1-18028,309,88,0,9,91.67122423648834,0.2966706285970496
243,243,243,243,1-1015,1,8,1-1015,155,43,0,7,45.85539662837982,0.2958412685701924
378,378,378,378,1-6561,17,3,1-6561,65,15,0,10,19.079138040542603,0.29352520062373233
534,534,534,534,1-9457,1,8,1-9457,11,2,0,3,3.2237414121627808,0.29306740110570734
