Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,MLG40,1,MLG40,3,51,8,1,0,1008.0,19.764705882352942
168,168,168,168,168,168,168,168,168,MLG45,8,MLG45,5,70,17,1,16,1019.6215434074402,14.566022048677716
32,32,32,32,32,32,32,32,32,1-7874,1,1-7874,19,258,15,1,0,1015.0,3.934108527131783
8,8,8,8,8,8,8,8,8,1-10468,8,1-10468,5,549,56,1,158,1081.8877411484718,1.97065162322126
203,203,203,203,203,203,203,203,203,1-9938,9,1-9938,6,55,18,0,10,19.638464629650116,0.35706299326636576
228,228,228,228,228,228,228,228,228,MLG60,5,MLG60,2,47,16,0,4,16.655385851860046,0.3543699117417031
112,112,112,112,112,112,112,112,112,1-3447,7,1-3447,4,110,34,0,21,37.44077572226524,0.3403706883842295
267,267,267,267,267,267,267,267,267,1-5413,18,1-5413,16,39,10,0,14,12.293850481510162,0.3152269354233375
34,34,34,34,34,34,34,34,34,MLG51,18,MLG51,16,248,70,0,45,77.37309083342552,0.31198826948961905
165,165,165,165,165,165,165,165,165,MLG59,8,MLG59,5,71,18,0,22,21.604622185230255,0.30429045331310217
242,242,242,242,242,242,242,242,242,1-3206,6,1-3206,13,45,11,0,16,13.621543407440186,0.3027009646097819
441,441,441,441,441,441,441,441,441,1-9997,10,1-9997,7,16,4,0,5,4.819232314825058,0.3012020196765661
123,123,123,123,123,123,123,123,123,1-11350,5,1-11350,2,100,28,0,10,29.638464629650116,0.2963846462965012
394,394,394,394,394,394,394,394,394,1-9697,17,1-9697,20,20,4,0,10,5.638464629650116,0.2819232314825058
239,239,239,239,239,239,239,239,239,1-5002,10,1-5002,7,45,10,0,14,12.293850481510162,0.2731966773668925
26,26,26,26,26,26,26,26,26,1-18558,19,1-18558,17,307,79,0,27,83.42385450005531,0.27173893973959384
93,93,93,93,93,93,93,93,93,MLG52,13,MLG52,12,125,30,0,20,33.27692925930023,0.26621543407440185
85,85,85,85,85,85,85,85,85,1-1131,13,1-1131,12,138,26,0,65,36.650020092725754,0.2655798557443895
125,125,125,125,125,125,125,125,125,1-1390,18,1-1390,16,98,23,0,14,25.293850481510162,0.25810051511745064
233,233,233,233,233,233,233,233,233,1-3587,15,1-3587,13,46,11,0,5,11.819232314825058,0.2569398329309795
146,146,146,146,146,146,146,146,146,MLG78,17,MLG78,15,80,17,0,21,20.440775722265244,0.25550969652831557
81,81,81,81,81,81,81,81,81,1-7682,14,1-7682,11,141,27,0,55,36.01155546307564,0.25540110257500453
43,43,43,43,43,43,43,43,43,MLG14,5,MLG14,2,232,56,0,18,58.94923633337021,0.2540915359196992
