Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,7,16,1-0008,230,19,0,166,172.53536820411682,0.7501537748005079
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,13,19,1-0292,99,33,0,35,65.37191498279572,0.6603223735635931
427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1-9379,12,2,1-9379,58,14,0,22,34.348060846328735,0.5922079456263575
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,23,14,1-18028,309,21,0,172,180.08483934402466,0.5827988328285587
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,20,18,1-1580,400,14,0,235,231.35428631305695,0.5783857157826424
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,12,2,MLG41,66,21,0,16,35.7985897064209,0.5424028743397106
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,19,3,MLG56,511,93,0,197,275.2076357603073,0.5385668018792706
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,1,21,MLG59,71,22,0,17,37.723501563072205,0.5313169234235522
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,15,17,1-1390,98,28,0,23,49.27297270298004,0.5027854357446943
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,MLG29,5,12,MLG29,164,21,0,64,80.1943588256836,0.4889899928395341
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,15,5,P-16616,28,8,0,6,13.549471139907837,0.483909683568137
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,2,15,1-7682,141,19,0,51,66.17050468921661,0.46929435949799014
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,5,12,1-5002,45,8,0,14,20.948765993118286,0.46552813318040637
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,1-9674,8,10,1-9674,144,18,0,52,66.09541654586792,0.4589959482351939
309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,1-3516,18,8,1-3516,156,23,0,51,70.17050468921661,0.4498109274949783
227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,1-3068,18,8,1-3068,180,6,0,81,80.9178603887558,0.4495436688264211
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,2,15,1-18709,33,9,0,6,14.549471139907837,0.440893064845692
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,17,17,1-9333,102,4,0,44,44.69612169265747,0.4381972714966419
