Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,10,5,MLG50,319,114,0,122,164.18993711471558,0.5147019972248137
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1-8267,6,17,1-8267,133,51,0,24,60.873430252075195,0.45769496430131723
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,7,14,1-6980,128,58,0,1,58.4113929271698,0.45633900724351406
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,7,6,1-1608,307,99,0,82,132.73422002792358,0.43235902289225925
399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,15,8,MLG60,47,17,0,8,20.2911434173584,0.43172645568847656
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,10,5,MLG54,595,70,0,441,251.4242808818817,0.4225618166082046
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,19,9,MLG31,33,9,0,12,13.936715126037598,0.4223247007890181
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,20,2,1-9270,128,38,0,39,54.04432415962219,0.4222212824970484
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,15,8,1-7866,318,119,0,37,134.2215383052826,0.4220803091361088
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,15,8,MLG45,70,21,0,19,28.816465616226196,0.4116637945175171
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,12,13,1-0003,17,2,0,12,6.936715126037598,0.4080420662375057
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,20,2,1-6561,65,21,0,13,26.348108053207397,0.40535550851088303
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,14,10,MLG59,71,23,0,13,28.348108053207397,0.39926912750996335
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,12,13,MLG51,248,72,0,65,98.74054026603699,0.3981473397824072
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,2,15,1-6878,167,29,0,90,66.02536344528198,0.39536145775617954
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,10,5,MLG58,71,18,0,24,27.873430252075195,0.39258352467711544
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,7,6,1-1350,195,54,0,53,75.80382513999939,0.3887375648205097
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,2,12,1-0008,230,13,0,183,88.28490567207336,0.38384741596553634
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,6,17,1-1204,39,9,0,14,14.759500980377197,0.3784487430865948
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1-5355,20,2,1-5355,53,15,0,12,19.936715126037598,0.37616443634033203
382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,1-18558,13,3,1-18558,307,80,0,78,112.08864831924438,0.3651096036457472
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,18,14,1-9283,235,84,0,4,85.6455717086792,0.3644492413135285
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,6,17,1-7530,25,7,0,5,9.056964635848999,0.36227858543395997
162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,1-8067,16,4,1-8067,322,103,0,28,114.5190019607544,0.3556490744122807
369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,1-6594,3,11,1-6594,70,23,0,4,24.6455717086792,0.35207959583827425
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,10,5,MLG52,125,30,0,34,43.98735952377319,0.35189887619018556
276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,1-9495,8,14,1-9495,18,3,0,8,6.291143417358398,0.34950796763102215
558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,1-0055,12,13,1-0055,18,3,0,8,6.291143417358398,0.34950796763102215
