Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
424,1-4700,6,2,1-4700,31,20,0,0,20.0,0.6451612903225806
270,1-1390,11,13,1-1390,98,48,0,10,55.353957295417786,0.5648362989328346
184,1-8074,4,17,1-8074,145,46,0,45,79.09280782938004,0.545467640202621
170,1-5043,17,6,1-5043,123,57,0,13,66.56014448404312,0.541139386049131
412,1-6858,13,16,1-6858,23,5,0,10,12.353957295417786,0.5371285780616428
251,1-7268,18,14,1-7268,70,8,0,40,37.41582918167114,0.5345118454524449
434,MLG59,14,18,MLG59,71,17,0,28,37.5910804271698,0.5294518370023915
327,P-16616,20,16,P-16616,28,6,0,10,13.353957295417786,0.47692704626492094
272,1-1570,8,8,1-1570,142,13,0,70,64.4777010679245,0.45406831737975
384,1-9270,20,15,1-9270,128,34,0,32,57.532663345336914,0.44947393238544464
388,MLG49,17,6,MLG49,185,38,0,59,81.38834804296494,0.4399370164484591
141,MLG45,15,11,MLG45,70,21,0,12,29.824748754501343,0.4260678393500192
378,1-6561,20,15,1-6561,65,14,0,18,27.237123131752014,0.4190326635654156
321,1-5172,20,15,1-5172,120,22,0,38,49.945037722587585,0.4162086476882299
483,1-9491,8,8,1-9491,80,25,0,11,33.089353024959564,0.41361691281199453
232,1-18371,4,17,1-18371,120,20,0,39,48.680433452129364,0.4056702787677447
172,1-8573,13,16,1-8573,184,26,0,66,74.53611814975739,0.4050875986399858
540,1-5413,14,8,1-5413,39,12,0,5,15.676978647708893,0.4019738114797152
537,1-4494,18,14,1-4494,16,2,0,6,6.412374377250671,0.40077339857816696
312,1-3108,3,6,1-3108,18,5,0,3,7.206187188625336,0.40034373270140755
322,1-0296,14,18,1-0296,41,9,0,10,16.353957295417786,0.39887700720531183
488,1-11350,19,19,1-11350,100,33,0,9,39.61856156587601,0.3961856156587601
381,1-2335,4,17,1-2335,145,30,0,37,57.20964199304581,0.3945492551244538
363,1-10785,3,7,1-10785,279,14,0,130,109.60144484043121,0.3928367198581764
319,1-3584,9,22,1-3584,26,5,0,7,10.14777010679245,0.39029885026124805
161,MLG41,11,13,MLG41,66,19,0,9,25.618561565876007,0.38816002372539404
473,1-9452,13,16,1-9452,16,4,0,3,6.206187188625336,0.3878866992890835
349,1-3052,5,20,1-3052,166,18,0,63,64.32993096113205,0.3875297045851328
364,1-7682,19,14,1-7682,141,34,0,28,54.5910804271698,0.387170783171417
387,1-10539,15,11,1-10539,63,13,0,15,24.03093594312668,0.38144342766867745
57,1-1224,16,12,1-1224,151,14,0,59,57.388348042964935,0.38005528505274794
479,1-9286,14,18,1-9286,81,12,0,25,30.384893238544464,0.37512213874746253
142,P-16454,1,23,P-16454,8,3,0,0,3.0,0.375
160,1-19813,15,11,1-19813,20,6,0,2,7.470791459083557,0.37353957295417783
517,1-18028,18,14,1-18028,309,13,0,139,115.22000640630722,0.3728802796320622
231,1-8450,11,13,1-8450,52,12,0,10,19.353957295417786,0.37219148645034206
279,MLG43,11,13,MLG43,14,3,0,3,5.206187188625336,0.37187051347323824
389,1-0278,15,11,1-0278,79,22,0,10,29.353957295417786,0.37156907968883274
