,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
0,1-9491,17,1-9491,10,80,16,1,20,1029.0696558952332,12.863370698690414
1,MLG52,17,MLG52,10,125,11,1,33,1032.5649322271347,8.260519457817077
2,1-3535,10,1-3535,16,315,113,0,102,179.6552450656891,0.5703341113196478
3,MLG40,10,MLG40,16,51,22,0,8,27.22786235809326,0.5338796540802601
4,1-1580,4,1-1580,18,400,54,0,240,210.83587074279785,0.5270896768569946
5,1-18371,15,1-18371,17,120,21,0,59,59.555484890937805,0.4962957074244817
6,MLG29,5,MLG29,11,164,41,0,59,79.5554848909378,0.4850944200666939
7,1-0292,13,1-0292,1,99,33,0,22,47.37662148475647,0.4785517321692573
8,MLG69,3,MLG69,19,576,42,0,349,270.06549537181854,0.4688637072427405
9,1-3312,7,1-3312,8,36,9,0,12,16.841793537139893,0.4678275982538859
10,1-7004,3,1-7004,19,381,51,0,193,177.12217938899994,0.4648876099448817
11,1-7268,8,1-7268,4,70,20,0,16,30.455724716186523,0.4350817816598075
12,1-7019,9,1-7019,15,107,15,0,47,45.71369135379791,0.4272307603158683
13,1-9379,12,1-9379,9,58,20,0,7,24.574379563331604,0.4236961993677863
14,1-0278,3,1-0278,19,79,4,0,45,33.4067257642746,0.4228699463832227
15,1-8067,11,1-8067,8,322,86,0,76,135.664692401886,0.4213189205027515
16,1-1317,11,1-1317,8,414,73,0,152,172.32938480377197,0.4162545526661159
17,MLG63,10,MLG63,16,380,118,0,56,154.59503650665283,0.4068290434385601
18,1-9286,3,1-9286,10,81,17,0,24,32.683587074279785,0.4035010749911084
19,1-1258,9,1-1258,15,435,99,0,115,174.15052139759064,0.4003460262013578
20,MLG41,12,MLG41,9,66,23,0,5,26.26741397380829,0.3979911208152771
21,1-9997,16,1-9997,11,16,5,0,2,6.306965589523315,0.3941853493452072
22,1-9417,11,1-9417,8,76,9,0,32,29.911449432373047,0.3935717030575401
23,1-18709,17,1-18709,10,33,5,0,12,12.841793537139893,0.3891452587012088
24,1-6927,11,1-6927,8,179,15,0,83,69.23907196521759,0.3868104579062435
25,1-4319,11,1-4319,8,163,22,0,62,62.51593327522278,0.3835333329768268
26,1-9938,11,1-9938,8,55,6,0,23,21.030104279518127,0.382365532354875
27,1-5549,17,1-5549,10,35,6,0,11,13.188310742378237,0.3768088783536638
28,1-6858,16,1-6858,21,23,8,0,1,8.653482794761658,0.3762383823809416
29,MLG59,12,MLG59,9,71,24,0,4,26.61393117904663,0.3748441011133328
30,MLG60,2,MLG60,5,47,15,0,4,17.61393117904663,0.3747644931712049
31,1-10060,11,1-10060,8,36,1,0,19,13.416173100471497,0.3726714750130971
32,1-8023,8,1-8023,4,16,4,0,3,5.960448384284973,0.3725280240178108
33,MLG56,7,MLG56,2,511,38,0,233,190.26149117946625,0.3723316852827128
34,1-3523,4,1-3523,18,543,117,0,130,201.9527633190155,0.3719203744364926
35,1-9404,11,1-9404,8,100,12,0,38,36.83234620094299,0.3683234620094299
36,1-8084,5,1-8084,11,82,4,0,40,30.13931179046631,0.3675525828105647
37,1-1942,6,1-1942,12,34,4,0,13,12.49527633190155,0.3675081274088691
38,1-9496,11,1-9496,8,39,7,0,11,14.188310742378237,0.3638028395481599
39,1-5413,17,1-5413,10,39,7,0,11,14.188310742378237,0.3638028395481599
40,MLG65,12,MLG65,9,201,71,0,3,72.96044838428497,0.3629873053944526
41,1-2423,13,1-2423,1,79,11,0,27,28.64403545856476,0.3625827273236045
42,1-9333,15,1-9333,17,102,3,0,52,36.9811053276062,0.3625598561530019
43,1-4929,19,1-4929,21,10,1,0,4,3.613931179046631,0.3613931179046631
44,1-5043,19,1-5043,21,123,8,0,55,43.94155371189117,0.3572484041617169
45,1-3509,13,1-3509,1,35,4,0,13,12.49527633190155,0.3570078951971872
46,1-5653,19,1-5653,21,11,0,0,6,3.9208967685699454,0.356445160779086
47,MLG67,9,MLG67,15,27,5,0,7,9.574379563331604,0.3546066504937631
48,1-9452,8,1-9452,4,16,5,0,1,5.653482794761658,0.3533426746726036
49,1-6878,13,1-6878,1,167,23,0,55,58.94155371189117,0.3529434354005459
50,1-5002,5,1-5002,11,45,10,0,9,15.88134515285492,0.3529187811745538
51,1-7024,9,1-7024,15,498,75,0,153,174.98286759853363,0.3513712200773767
52,1-9770,18,1-9770,20,50,11,0,10,17.534827947616577,0.3506965589523315
53,1-18558,4,1-18558,18,307,80,0,42,107.44627737998962,0.3499878742019206
54,MLG45,12,MLG45,9,70,21,0,5,24.26741397380829,0.3466773424829755
55,1-17835,13,1-17835,1,17,0,0,9,5.881345152854919,0.3459614795797011
56,1-0358,15,1-0358,17,22,3,0,7,7.574379563331604,0.3442899801514365
57,1-0272,17,1-0272,10,111,12,0,40,38.13931179046631,0.3435974035177145
58,1-6035,19,1-6035,21,23,2,0,9,7.881345152854919,0.3426671805589095
59,MLG75,2,MLG75,5,185,47,0,25,63.33706986904144,0.3423625398326564
60,MLG84,7,MLG84,2,63,15,0,10,21.534827947616577,0.3418226658351838
61,1-8450,10,1-8450,16,52,15,0,4,17.61393117904663,0.3387294457508967
62,1-8573,15,1-8573,17,184,10,0,80,62.27862358093262,0.3384707803311555
63,1-7521,13,1-7521,1,10,2,0,2,3.3069655895233154,0.3306965589523315
64,1-6181,13,1-6181,1,659,43,0,266,216.82642340660087,0.3290234042588785
65,1-5197,11,1-5197,8,72,6,0,27,23.64403545856476,0.3283893813689549
66,1-17733,11,1-17733,8,74,4,0,31,24.25796663761139,0.3278103599677214
67,1-21192,6,1-21192,12,4,0,0,2,1.3069655895233154,0.3267413973808288
68,1-19568,13,1-19568,1,2,0,0,1,0.6534827947616577,0.3267413973808288
69,1-9861,13,1-9861,1,8,0,0,4,2.613931179046631,0.3267413973808288
70,1-0008,13,1-0008,1,230,1,0,113,74.84355580806732,0.3254067643829014
71,1-7682,2,1-7682,5,141,35,0,16,45.45572471618652,0.3223810263559328
72,1-10539,16,1-10539,3,63,19,0,2,20.306965589523315,0.3223327871352907
73,1-1769,11,1-1769,8,89,7,0,33,28.564932227134705,0.3209542946869068
74,MLG57,8,MLG57,4,629,179,0,33,200.5649322271347,0.318863167292742
75,1-1131,6,1-1131,12,138,25,0,29,43.95100104808808,0.3184855148412179
76,MLG30,13,MLG30,1,208,15,0,78,65.9716579914093,0.3171714326510063
77,1-1350,7,1-1350,2,195,14,0,73,61.70424401760101,0.3164320206030821
78,1-7005,1,1-7005,14,285,14,0,116,89.8040041923523,0.315101769095973
79,1-9752,13,1-9752,1,22,3,0,6,6.920896768569946,0.3145862167531794
80,1-5744,8,1-5744,4,18,5,0,1,5.653482794761658,0.3140823774867587
81,1-10468,11,1-10468,8,549,51,0,185,171.89431703090668,0.3131044026063874
82,1-3108,10,1-3108,16,18,3,0,4,5.613931179046631,0.3118850655025906
83,MLG68,2,MLG68,5,642,41,0,243,199.7963191270828,0.3112092198241165
84,1-6296,13,1-6296,1,254,9,0,105,77.61569344997406,0.3055735962597404
85,1-8042,4,1-8042,18,52,10,0,9,15.88134515285492,0.3054104837087484
86,1-4355,4,1-4355,18,49,11,0,6,14.920896768569946,0.304508097317754
87,1-3083,17,1-3083,4,78,10,0,21,23.72313868999481,0.3041428037178822
88,1-8529,3,1-8529,19,56,2,0,23,17.030104279518127,0.3041090049913951
89,1-1462,1,1-1462,14,192,11,0,72,58.05076122283936,0.3023477147022883
90,1-7863,9,1-7863,15,351,61,0,69,106.09031283855438,0.3022516035286449
91,1-11350,4,1-11350,18,100,23,0,11,30.188310742378235,0.3018831074237823
92,1-0033,24,1-0033,6,10,3,0,0,3.0,0.3
93,1-9270,23,1-9270,13,128,18,0,31,38.25796663761139,0.298890364356339
94,1-3587,2,1-3587,5,46,11,0,4,13.61393117904663,0.2959550256314485
95,MLG06,18,MLG06,20,18,4,0,2,5.306965589523315,0.2948314216401841
96,1-3206,4,1-3206,18,45,6,0,11,13.188310742378237,0.2930735720528497
97,1-9674,11,1-9674,8,144,8,0,52,41.9811053276062,0.2915354536639319
98,1-4494,23,1-4494,12,16,4,0,1,4.653482794761658,0.2908426746726036
99,1-6692,15,1-6692,17,71,1,0,30,20.60448384284973,0.2902039977866159
100,1-4760,4,1-4760,18,40,7,0,7,11.574379563331604,0.2893594890832901
101,1-4682,19,1-4682,21,16,2,0,4,4.613931179046631,0.2883706986904144
102,1-8285,17,1-8285,10,72,9,0,18,20.76269030570984,0.2883706986904144
103,1-9609,13,1-9609,1,25,0,0,11,7.188310742378235,0.2875324296951294
104,1-8906,4,1-8906,18,15,3,0,2,4.306965589523315,0.2871310393015543
105,MLG53,9,MLG53,15,91,13,0,20,26.069655895233154,0.2864797351124522
106,1-6734,9,1-6734,15,44,8,0,7,12.574379563331604,0.2857813537120819
107,1-3033,8,1-3033,4,7,2,0,0,2.0,0.2857142857142857
108,1-18615,8,1-18615,4,22,1,0,8,6.227862358093262,0.2830846526406028
109,1-11329,2,1-11329,5,14,2,0,3,3.960448384284973,0.2828891703060695
110,1-5981,4,1-5981,18,28,4,0,6,7.920896768569946,0.2828891703060695
111,P-16616,10,P-16616,16,28,4,0,6,7.920896768569946,0.2828891703060695
112,1-9630,2,1-9630,16,33,8,0,2,9.306965589523315,0.2820292602885853
113,1-6098,5,1-6098,11,1327,223,0,230,373.3010427951813,0.2813120141636633
114,1-1608,7,1-1608,2,307,36,0,77,86.31817519664764,0.281166694451621
115,1-2294,11,1-2294,8,75,8,0,20,21.069655895233154,0.2809287452697754
116,1-5799,19,1-5799,21,7,0,0,3,1.9604483842849727,0.2800640548978533
117,1-1957,15,1-1957,17,47,4,0,14,13.148759126663208,0.2797608324821959
118,1-2103,19,1-2103,21,26,4,0,5,7.267413973808289,0.2795159220695495
119,1-20578,12,1-20578,9,19,4,0,2,5.306965589523315,0.2793139783959639
120,1-10785,9,1-10785,15,279,30,0,73,77.70424401760101,0.2785098351885341
121,1-0303,9,1-0303,15,212,25,0,52,58.9811053276062,0.2782127609792745
122,1-9345,17,1-9345,10,47,3,0,15,12.802241921424866,0.2723881259877631
123,1-9946,19,1-9946,21,12,0,0,5,3.267413973808289,0.2722844978173573
124,1-2335,15,1-2335,17,145,8,0,48,39.36717414855957,0.2714977527486867
125,1-1224,11,1-1224,8,151,5,0,55,40.94155371189117,0.2711361172972925
126,1-4855,6,1-4855,12,22,4,0,3,5.960448384284973,0.2709294720129533
127,1-9794,15,1-9794,17,46,2,0,16,12.455724716186523,0.2707766242649244
128,1-9457,11,1-9457,8,11,1,0,3,2.960448384284973,0.2691316712986339
129,1-3447,6,1-3447,12,110,10,0,30,29.60448384284973,0.2691316712986339
130,1-8705,9,1-8705,5,48,5,0,12,12.841793537139893,0.2675373653570811
131,1-9436,5,1-9436,11,21,3,0,4,5.613931179046631,0.2673300561450776
132,1-9156,15,1-9156,17,268,9,0,95,71.08086550235748,0.2652271100834234
133,1-5980,7,1-5980,11,29,7,0,1,7.653482794761658,0.2639131998193675
134,1-0129,19,1-0129,21,142,8,0,45,37.4067257642746,0.2634276462272858
135,1-19813,10,1-19813,16,20,2,0,5,5.267413973808289,0.2633706986904144
136,1-9768,3,1-9768,19,241,32,0,48,63.36717414855957,0.2629343325666372
137,1-17758,11,1-17758,8,40,2,0,13,10.49527633190155,0.2623819082975387
138,1-0053,5,1-0053,11,142,26,0,17,37.10920751094818,0.2613324472601984
139,1-8590,10,1-8590,16,24,3,0,5,6.267413973808289,0.2611422489086787
140,1-4417,13,1-4417,1,151,4,0,54,39.28807091712952,0.2601859001134405
141,1-2282,18,1-2282,20,219,42,0,22,56.37662148475647,0.2574274953641848
142,1-6693,5,1-6693,11,98,20,0,8,25.22786235809326,0.257427166919319
143,1-1570,19,1-1570,21,142,14,0,34,36.21841502189636,0.25505926071758
144,1-9831,11,1-9831,8,132,14,0,30,33.60448384284973,0.2545794230518919
145,1-2382,17,1-2382,10,139,15,0,31,35.25796663761139,0.2536544362418085
146,MLG32,23,MLG32,13,52,4,0,14,13.148759126663208,0.2528607524358309
147,1-6561,19,1-6561,21,65,4,0,19,16.416173100471497,0.252556509238023
148,1-2573,10,1-2573,16,37,8,0,2,9.306965589523315,0.2515396105276571
149,1-19448,8,1-19448,4,45,8,0,5,11.267413973808289,0.2503869771957397
150,1-10444,15,1-10444,17,8,2,0,0,2.0,0.25
151,1-9697,24,1-9697,6,20,5,0,0,5.0,0.25
