Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
511,511,511,511,1-9697,9,10,1-9697,20,15,0,5,17.0395690202713,0.8519784510135651
255,255,255,255,1-9946,1,8,1-9946,12,5,0,9,8.671224236488342,0.7226020197073618
301,301,301,301,1-1177,5,20,1-1177,17,7,0,11,11.487051844596863,0.6757089320351096
559,559,559,559,1-5914,16,14,1-5914,3,2,0,0,2.0,0.6666666666666666
464,464,464,464,1-10060,17,3,1-10060,36,18,0,13,23.302879452705383,0.647302207019594
507,507,507,507,1-6909,10,12,1-6909,36,22,0,2,22.81582760810852,0.6337729891141256
204,204,204,204,1-9733,1,8,1-9733,4,2,0,1,2.4079138040542603,0.6019784510135651
207,207,207,207,1-7058,17,3,1-7058,80,4,0,106,47.23886322975159,0.5904857903718949
3,3,3,3,1-8222,4,7,1-8222,12,7,0,0,7.0,0.5833333333333334
230,230,230,230,1-3089,18,6,1-3089,16,6,0,8,9.263310432434082,0.5789569020271301
469,469,469,469,1-8578,6,13,1-8578,11,6,0,0,6.0,0.5454545454545454
345,345,345,345,1-1131,15,11,1-1131,138,43,0,75,73.59353530406952,0.5332864877106487
526,526,526,526,1-5002,14,4,1-5002,45,21,0,6,23.44748282432556,0.5210551738739013
218,218,218,218,1-9416,6,13,1-9416,13,5,0,4,6.631655216217041,0.5101273243243878
104,104,104,104,1-8267,10,12,1-8267,133,55,0,29,66.82950031757355,0.5024774459967936
550,550,550,550,1-19568,16,14,1-19568,2,1,0,0,1.0,0.5
280,280,280,280,1-7608,4,7,1-7608,4,2,0,0,2.0,0.5
77,77,77,77,1-2153,18,6,1-2153,13,6,0,1,6.40791380405426,0.4929164464657123
484,484,484,484,MLG31,14,4,MLG31,33,13,0,7,15.855396628379822,0.4804665644963582
285,285,285,285,1-18615,22,16,1-18615,22,9,0,3,10.22374141216278,0.4647155187346719
537,537,537,537,1-4494,1,8,1-4494,16,7,0,1,7.40791380405426,0.46299461275339127
183,183,183,183,1-9496,11,23,1-9496,39,16,0,5,18.0395690202713,0.46255305180182826
412,412,412,412,1-6858,1,8,1-6858,23,9,0,4,10.631655216217041,0.4622458789659583
