Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,9,7,1-10060,36,24,0,11,32.327381908893585,0.8979828308025996
492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,1-6028,14,5,1-6028,2,1,0,1,1.757034718990326,0.878517359495163
457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,1-8503,15,22,1-8503,16,10,0,4,13.028138875961304,0.8142586797475815
233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,MLG07,13,4,MLG07,90,5,0,88,71.61905527114868,0.7957672807905409
468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,1-6228,18,3,1-6228,48,32,0,7,37.29924303293228,0.7770675631860892
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,17,14,1-7682,141,36,0,90,104.13312470912933,0.7385327993555272
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1-3521,7,13,1-3521,22,0,0,21,15.897729098796844,0.7226240499453112
195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,1-2670,3,19,1-2670,104,0,0,96,72.67533302307129,0.6988012790679932
163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,1-9137,1,21,1-9137,111,4,0,96,76.67533302307129,0.6907687659736153
495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,MLG08,20,2,MLG08,107,4,0,92,73.64719414710999,0.6882915340851401
307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,1-5530,10,12,1-5530,7,4,0,1,4.757034718990326,0.6795763884271894
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,6,6,1-1989,46,10,0,28,31.196972131729126,0.6781950463419375
371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,1-1580,7,13,1-1580,400,66,0,247,252.9875755906105,0.6324689389765262
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,13,4,1-4531,94,26,0,44,59.30952763557434,0.6309524216550462
305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,1-7866,7,13,1-7866,318,57,0,189,200.0795618891716,0.6291810122300994
508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,1-8532,21,10,1-8532,4,1,0,2,2.514069437980652,0.628517359495163
280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,1-7608,5,20,1-7608,4,1,0,2,2.514069437980652,0.628517359495163
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1-3519,16,15,1-3519,27,1,0,21,16.897729098796844,0.6258418184739573
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1-8566,1,21,1-8566,5,3,0,0,3.0,0.6
548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,1-3087,6,6,1-3087,26,8,0,10,15.57034718990326,0.5988595073039715
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,15,22,1-9394,117,16,0,68,67.47836089134216,0.5767381272764287
465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,1-5913,2,18,1-5913,14,2,0,8,8.056277751922607,0.5754484108516148
