Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
181,181,181,181,181,181,181,MLG84,7,MLG84,2,63,8,0,14,9.799154996871948,0.15554214280749123
179,179,179,179,179,179,179,1-7467,23,1-7467,13,64,9,0,7,9.899577498435974,0.1546808984130621
406,406,406,406,406,406,406,1-3265,3,1-3265,18,19,2,0,7,2.899577498435974,0.15260934202294602
234,234,234,234,234,234,234,1-10451,23,1-10451,13,46,7,0,0,7.0,0.15217391304347827
39,39,39,39,39,39,39,1-9768,4,1-9768,19,241,32,0,33,36.24086534976959,0.15037703464634686
233,233,233,233,233,233,233,1-3587,5,1-3587,5,46,6,0,7,6.899577498435974,0.14999081518339075
66,66,66,66,66,66,66,MLG48,22,MLG48,6,159,22,0,14,23.79915499687195,0.14968022010611287
10,10,10,10,10,10,10,MLG62,11,MLG62,9,525,31,0,370,78.54909634590149,0.1496173263731457
166,166,166,166,166,166,166,MLG58,23,MLG58,13,71,9,0,12,10.54213285446167,0.1484807444290376
80,80,80,80,80,80,80,1-0053,10,1-0053,11,142,13,0,61,20.83917534351349,0.14675475594023585
43,43,43,43,43,43,43,MLG14,22,MLG14,6,232,28,0,46,33.9115092754364,0.14617029860101896
22,22,22,22,22,22,22,MLG50,22,MLG50,6,319,39,0,57,46.32513105869293,0.14521984657897472
134,134,134,134,134,134,134,1-8659,9,1-8659,12,91,12,0,9,13.156599640846252,0.1445780180312775
326,326,326,326,326,326,326,1-0027,10,1-0027,11,29,3,0,9,4.156599640846252,0.14333102209814663
0,0,0,0,0,0,0,1-6098,10,1-6098,11,1327,114,0,589,189.69302093982697,0.14294877237364503
15,15,15,15,15,15,15,1-1580,3,1-1580,18,400,24,0,255,56.770323157310486,0.14192580789327622
423,423,423,423,423,423,423,MLG46,20,MLG46,10,17,2,0,3,2.3855332136154175,0.14032548315384807
403,403,403,403,403,403,403,72-12171,8,72-12171,14,19,2,0,5,2.642555356025696,0.13908186084345767
4,4,4,4,4,4,4,MLG68,5,MLG68,5,642,29,0,464,88.62913703918457,0.13805161532583266
261,261,261,261,261,261,261,1-5214,5,1-5214,5,40,5,0,4,5.514044284820557,0.1378511071205139
159,159,159,159,159,159,159,1-6914,8,1-6914,14,73,2,0,62,9.967686414718628,0.13654364951669354
466,466,466,466,466,466,466,1-9416,7,1-9416,7,13,1,0,6,1.771066427230835,0.13623587901775652
83,83,83,83,83,83,83,MLG13,8,MLG13,14,140,12,0,55,19.068108916282654,0.13620077797344754
359,359,359,359,359,359,359,1-7839,11,1-7839,20,24,3,0,2,3.2570221424102783,0.1357092559337616
143,143,143,143,143,143,143,1-9286,20,1-9286,10,81,9,0,15,10.927666068077087,0.13490945763058132
243,243,243,243,243,243,243,1-19166,4,1-19166,19,45,5,0,8,6.028088569641113,0.13395752376980252
436,436,436,436,436,436,436,1-9115,5,1-9115,5,16,2,0,1,2.128511071205139,0.1330319419503212
440,440,440,440,440,440,440,1-2034,24,1-2034,19,16,2,0,1,2.128511071205139,0.1330319419503212
218,218,218,218,218,218,218,1-9610,21,1-9610,20,49,6,0,4,6.514044284820557,0.13293967928205216
426,426,426,426,426,426,426,1-3639,21,1-3639,20,17,2,0,2,2.2570221424102783,0.1327660083770752
38,38,38,38,38,38,38,1-4649,9,1-4649,12,244,30,0,16,32.05617713928223,0.13137777516099272
118,118,118,118,118,118,118,MLG15,11,MLG15,9,105,13,0,5,13.642555356025696,0.12992909862881616
203,203,203,203,203,203,203,1-9938,12,1-9938,8,55,2,0,40,7.140442848205566,0.12982623360373757
34,34,34,34,34,34,34,MLG51,19,MLG51,3,248,31,0,8,32.02808856964111,0.12914551842597224
297,297,297,297,297,297,297,1-9630,2,1-9630,16,33,4,0,2,4.257022142410278,0.12900067098212964
553,553,553,553,553,553,553,1-4847,20,1-4847,10,2,0,0,2,0.2570221424102783,0.12851107120513916
53,53,53,53,53,53,53,1-8341,8,1-8341,14,197,16,0,72,25.25279712677002,0.1281867874455331
84,84,84,84,84,84,84,1-2382,20,1-2382,10,139,13,0,37,17.75490963459015,0.12773316283877806
130,130,130,130,130,130,130,1-3139,8,1-3139,14,93,8,0,30,11.855332136154175,0.1274766896360664
