Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,215,215,MLG40,22,MLG40,3,51,3,1,17,1003.3465998899192,19.67346274293959
168,168,168,168,168,168,168,168,168,168,168,168,MLG45,7,MLG45,5,70,19,1,16,1019.3262116611004,14.561803023730006
32,32,32,32,32,32,32,32,32,32,32,32,1-7874,22,1-7874,19,258,16,1,30,1016.6116468645632,3.9403552204052836
8,8,8,8,8,8,8,8,8,8,8,8,1-10468,7,1-10468,5,549,55,1,159,1058.241728382185,1.927580561716184
148,148,148,148,148,148,148,148,148,148,148,148,1-0278,10,1-0278,15,79,40,0,6,40.122329372912645,0.5078775869988943
195,195,195,195,195,195,195,195,195,195,195,195,1-9379,17,1-9379,9,58,21,0,6,21.122329372912645,0.3641780926364249
142,142,142,142,142,142,142,142,142,142,142,142,1-8084,9,1-8084,7,82,29,0,10,29.203882288187742,0.35614490595350906
228,228,228,228,228,228,228,228,228,228,228,228,MLG60,4,MLG60,2,47,16,0,4,16.081552915275097,0.34216070032500207
112,112,112,112,112,112,112,112,112,112,112,112,1-3447,6,1-3447,4,110,37,0,21,37.42815280519426,0.34025593459267506
203,203,203,203,203,203,203,203,203,203,203,203,1-9938,8,1-9938,6,55,18,0,15,18.305823432281613,0.33283315331421115
22,22,22,22,22,22,22,22,22,22,22,22,MLG50,10,MLG50,15,319,98,0,32,98.65242332220078,0.30925524552414035
123,123,123,123,123,123,123,123,123,123,123,123,1-11350,4,1-11350,2,100,28,0,13,28.265046974644065,0.28265046974644065
326,326,326,326,326,326,326,326,326,326,326,326,1-0027,9,1-0027,7,29,8,0,8,8.163105830550194,0.2814864079500067
165,165,165,165,165,165,165,165,165,165,165,165,MLG59,7,MLG59,5,71,19,0,22,19.448541034013033,0.27392311315511314
