,block,slot
0,1,1
1,2,2
2,3,3
3,4,16
4,5,15
5,6,14
6,7,13
7,8,12
8,9,11
9,10,10
10,11,9
11,12,8
12,13,6
13,14,5
14,15,4
15,16,20
16,17,7
17,18,21
18,19,19
19,20,18
20,21,17
21,22,24
22,23,22
23,24,23
