Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,15,14,1-5002,45,25,0,4,26.741486310958862,0.5942552513546414
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,17,6,1-8627,25,12,0,5,14.176857888698578,0.5670743155479431
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,17,6,1-1989,46,20,0,4,21.741486310958862,0.4726410067599753
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,15,14,MLG50,319,88,0,131,145.03367668390274,0.4546510240874694
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,1,2,MLG41,66,28,0,4,29.741486310958862,0.45062858046907367
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,7,10,1-1390,98,38,0,11,42.78908735513687,0.4366233403585395
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,6,15,1-0129,142,42,0,42,60.285606265068054,0.424546522993437
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,MLG38,1,2,MLG38,77,31,0,2,31.87074315547943,0.4139057552659666
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,6,15,1-1570,142,25,0,75,57.65286833047867,0.4060061150033709
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,12,1-1350,195,63,0,37,79.10874837636948,0.4056858891095871
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,9,16,1-5775,244,85,0,31,98.49651890993118,0.4036742578275868
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,7,5,1-6980,128,43,0,18,50.83668839931488,0.3971616281196475
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,11,13,1-4531,94,26,0,26,37.319661021232605,0.3970176704386447
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,6,15,1-9270,128,35,0,34,49.80263364315033,0.38908307533711195
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,16,17,MLG49,185,42,0,68,71.60526728630066,0.38705549884486845
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,7,10,1-18371,120,23,0,53,46.074693620204926,0.3839557801683744
354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,1-9417,18,11,1-9417,76,16,0,30,29.061147332191467,0.3823835175288351
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,16,17,MLG51,248,85,0,22,94.57817471027374,0.3813636077027167
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,6,15,1-1258,435,89,0,170,163.01316821575165,0.3747429154385095
251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,1-7268,17,6,1-7268,70,11,0,34,25.80263364315033,0.3686090520450047
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,MLG54,15,14,MLG54,595,185,0,78,218.95898306369781,0.36799829086335767
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,20,12,1-1608,307,79,0,78,112.95898306369781,0.36794457024005806
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,5,8,MLG59,71,10,0,37,26.108748376369476,0.3677288503714011
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,1-9610,16,17,1-9610,49,15,0,6,17.612229466438293,0.35943325441710805
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,11,13,1-9277,48,12,0,12,17.224458932876587,0.3588428944349289
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,20,12,1-1957,47,14,0,6,16.612229466438293,0.3534516907752828
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1-9752,14,21,1-9752,22,6,0,4,7.741486310958862,0.351885741407221
138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,1-5515,9,16,1-5515,29,8,0,5,10.176857888698578,0.3509261340930544
208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,1-10468,18,11,1-10468,549,111,0,186,191.9791134595871,0.3496887312560785
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,1,2,MLG65,201,38,0,74,70.21749675273895,0.3493407798643729
453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,1-8397,20,5,1-8397,51,15,0,6,17.612229466438293,0.34533783267526064
220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,MLG73,1,2,MLG73,10,3,0,1,3.4353715777397156,0.34353715777397154
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,18,21,1-6858,23,7,0,2,7.870743155479431,0.3422062241512796
386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,MLG68,9,16,MLG68,642,136,0,192,219.5913429260254,0.34204259022745387
246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,MLG56,20,12,MLG56,511,138,0,82,173.70046937465668,0.33992264065490546
375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,MLG14,22,9,MLG14,232,54,0,57,78.81617993116379,0.33972491349639566
404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,1-4682,19,22,1-4682,16,5,0,1,5.435371577739716,0.3397107236087322
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,7,22,72-12171,19,6,0,1,6.435371577739716,0.3387037672494587
461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,1-9651,10,7,1-9651,38,8,0,11,12.789087355136871,0.3365549303983387
407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,1-8421,22,9,1-8421,109,23,0,31,36.49651890993118,0.334830448714965
564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,1-9034,1,2,1-9034,3,1,0,0,1.0,0.3333333333333333
503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,1-9076,20,12,1-9076,9,3,0,0,3.0,0.3333333333333333
343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,1-4319,18,11,1-4319,163,28,0,60,54.122294664382935,0.33203861757290143
522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,522,1-5282,22,9,1-5282,17,3,0,6,5.6122294664382935,0.3301311450846055
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,1-1833,21,4,1-1833,124,9,0,73,40.78212517499924,0.3288881062499939
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,1,2,1-2382,139,39,0,15,45.530573666095734,0.3275580839287463
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1-8093,3,23,1-8093,4,0,0,3,1.3061147332191467,0.3265286833047867
471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,1-9794,9,16,1-9794,46,8,0,16,14.96594524383545,0.3253466357355532
311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1-20578,13,3,1-20578,19,4,0,5,6.176857888698578,0.3250977836157146
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,1-8488,6,15,1-8488,23,7,0,1,7.435371577739716,0.32327702511911804
400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1-18709,4,18,1-18709,33,8,0,6,10.612229466438293,0.32158271110419073
261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,1-1942,11,13,1-1942,34,7,0,9,10.91834419965744,0.32112777057816
403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,1-1770,16,17,1-1770,35,6,0,12,11.224458932876587,0.32069882665361676
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,20,12,1-3447,110,30,0,12,35.22445893287659,0.3202223539352417
465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,1-5913,21,4,1-5913,14,4,0,1,4.435371577739716,0.3168122555528368
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,2,20,1-11329,14,4,0,1,4.435371577739716,0.3168122555528368
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,11,13,MLG13,140,23,0,49,44.33320730924606,0.31666576649461475
466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,1-5981,16,17,1-5981,28,4,0,11,8.789087355136871,0.313895976969174
324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,1-6734,6,15,1-6734,44,9,0,11,13.789087355136871,0.3133883489803834
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1-9892,16,17,1-9892,22,6,0,2,6.870743155479431,0.3123065070672469
278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,1-10762,6,15,1-10762,6,1,0,2,1.8707431554794312,0.3117905259132385
436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,7,10,1-5161,12,2,0,4,3.7414863109588623,0.3117905259132385
518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,1-1850,15,14,1-1850,30,8,0,3,9.306114733219147,0.3102038244406382
231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,1-8450,7,10,1-8450,52,12,0,9,15.91834419965744,0.30612200383956617
389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,1-0278,15,14,1-0278,79,22,0,5,24.176857888698578,0.3060361758063111
224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,1-9227,11,13,1-9227,801,76,0,386,244.0534290075302,0.3046859288483523
486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,1-8678,15,14,1-8678,17,3,0,5,5.176857888698578,0.3045210522763869
230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,1-3089,3,23,1-3089,16,4,0,2,4.870743155479431,0.30442144721746445
363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,6,15,1-10785,279,46,0,89,84.74807041883469,0.30375652479869064
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,21,4,1-6974,207,24,0,89,62.748070418834686,0.3031307749702159
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,1-8018,7,10,1-8018,58,13,0,10,17.353715777397156,0.2992019961620199
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,6,15,1-9963,116,20,0,33,34.367262065410614,0.2962695005638846
314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,1-3139,11,13,1-3139,93,11,0,38,27.544119954109192,0.2961733328398838
310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,1-4855,17,6,1-4855,22,3,0,8,6.482972621917725,0.29468057372353296
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,11,13,1-7005,285,44,0,90,83.1834419965744,0.29187172630376984
551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,1-9838,10,7,1-9838,3,0,0,2,0.8707431554794312,0.29024771849314374
290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,1-8341,11,13,1-8341,197,28,0,67,57.169895708560944,0.2902025162871114
527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,1-5531,22,9,1-5531,8,1,0,3,2.3061147332191467,0.28826434165239334
239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,1-7042,15,13,1-7042,117,8,0,59,33.68692308664322,0.28792241954395914
241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,1-19448,7,10,1-19448,45,9,0,9,12.91834419965744,0.2870743155479431
277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-4051,4,18,1-4051,5,1,0,1,1.4353715777397156,0.2870743155479431
509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,1-18935,15,14,1-18935,30,6,0,6,8.612229466438293,0.2870743155479431
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,13,3,1-11350,100,13,0,36,28.67337679862976,0.2867337679862976
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,1,2,1-0003,17,4,0,2,4.870743155479431,0.286514303263496
187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,1-7321,10,7,1-7321,7,2,0,0,2.0,0.2857142857142857
306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,1-18377,3,23,1-18377,14,4,0,0,4.0,0.2857142857142857
512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,1-3033,1,2,1-3033,7,2,0,0,2.0,0.2857142857142857
349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,1-3052,11,13,1-3052,166,26,0,49,47.33320730924606,0.2851398030677474
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,9,4,1-9770,50,5,0,21,14.142803132534027,0.28285606265068053
450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,1-2297,18,11,1-2297,25,4,0,7,7.047601044178009,0.28190404176712036
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1-0405,4,18,1-0405,64,0,0,41,17.85023468732834,0.2789099169895053
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,21,4,1-3535,315,70,0,41,87.85023468732834,0.27888963392802646
433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,1-5654,1,22,1-5654,15,2,0,5,4.176857888698578,0.2784571925799052
459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,1-2545,13,3,1-2545,145,19,0,48,39.89783573150635,0.27515748780349203
316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,1-7441,6,15,1-7441,111,3,0,63,30.42840939760208,0.27412981439281153
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,6,15,1-6561,65,13,0,11,17.78908735513687,0.27367826700210574
