Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,MLG40,6,MLG40,3,51,11,1,13,1013.3883002400398,19.870358828236075
168,168,168,168,168,168,168,168,168,168,MLG45,8,MLG45,5,70,17,1,16,1019.9394464492798,14.570563520703997
9,9,9,9,9,9,9,9,9,9,1-3523,6,1-3523,3,543,91,1,150,1118.557310461998,2.0599582144788178
8,8,8,8,8,8,8,8,8,8,1-10468,8,1-10468,5,549,54,1,157,1082.843318283558,1.9723922008807977
74,74,74,74,74,74,74,74,74,74,1-8074,16,1-8074,10,145,59,0,36,65.61375451087952,0.4525086517991691
212,212,212,212,212,212,212,212,212,212,MLG32,13,MLG32,19,52,21,0,11,23.020869433879852,0.44270902757461256
195,195,195,195,195,195,195,195,195,195,1-9379,11,1-9379,9,58,22,0,8,23.469723224639893,0.40465040042482575
112,112,112,112,112,112,112,112,112,112,1-3447,7,1-3447,4,110,38,0,21,41.85802346467972,0.3805274860425429
203,203,203,203,203,203,203,203,203,203,1-9938,9,1-9938,6,55,18,0,10,19.837154030799866,0.36067552783272483
228,228,228,228,228,228,228,228,228,228,MLG60,5,MLG60,2,47,16,0,4,16.734861612319946,0.3560608853685095
26,26,26,26,26,26,26,26,26,26,1-18558,17,1-18558,17,307,100,0,18,103.30687725543976,0.33650448617407086
93,93,93,93,93,93,93,93,93,93,MLG52,15,MLG52,12,125,30,0,50,39.18577015399933,0.31348616123199463
61,61,61,61,61,61,61,61,61,61,1-6927,13,1-6927,19,179,50,0,31,55.695177495479584,0.31114624299150606
165,165,165,165,165,165,165,165,165,165,MLG59,8,MLG59,5,71,18,0,21,21.858023464679718,0.3078594854180242
57,57,57,57,57,57,57,57,57,57,MLG75,11,MLG75,9,185,51,0,32,56.87889289855957,0.30745347512734905
123,123,123,123,123,123,123,123,123,123,1-11350,5,1-11350,2,100,28,0,13,30.388300240039825,0.3038830024003982
125,125,125,125,125,125,125,125,125,125,1-1390,7,1-1390,16,98,23,0,33,29.062608301639557,0.2965572275677506
239,239,239,239,239,239,239,239,239,239,1-5002,10,1-5002,7,45,9,0,22,13.041738867759705,0.289816419283549
332,332,332,332,332,332,332,332,332,332,P-16616,17,P-16616,17,28,7,0,2,7.367430806159973,0.2631225287914276
369,369,369,369,369,369,369,369,369,369,MLG39,12,MLG39,20,23,5,0,5,5.918577015399933,0.257329435452171
77,77,77,77,77,77,77,77,77,77,1-9674,9,1-9674,6,144,34,0,12,36.20458483695984,0.2514207280344433
174,174,174,174,174,174,174,174,174,174,MLG41,13,MLG41,19,66,15,0,7,16.286007821559906,0.24675769426605917
71,71,71,71,71,71,71,71,71,71,1-4417,18,1-4417,18,151,21,0,88,37.16695547103882,0.24613877795389946
43,43,43,43,43,43,43,43,43,43,MLG14,5,MLG14,2,232,54,0,14,56.57201564311981,0.24384489501344747
4,4,4,4,4,4,4,4,4,4,MLG68,17,MLG68,17,642,134,0,90,150.5343862771988,0.23447723719189842
154,154,154,154,154,154,154,154,154,154,1-9417,9,1-9417,6,76,15,0,12,17.20458483695984,0.22637611627578735
256,256,256,256,256,256,256,256,256,256,1-0296,6,1-0296,3,41,5,0,23,9.225454270839691,0.22501107977657783
45,45,45,45,45,45,45,45,45,45,1-3596,7,1-3596,4,223,42,0,42,49.716046929359436,0.22294191448143244
182,182,182,182,182,182,182,182,182,182,1-6647,6,1-6647,9,62,10,0,20,13.674308061599731,0.22055335583225374
404,404,404,404,404,404,404,404,404,404,1-20578,8,1-20578,5,19,4,0,1,4.183715403079987,0.22019554753052561
327,327,327,327,327,327,327,327,327,327,1-8988,5,1-8988,2,29,6,0,2,6.367430806159973,0.21956657952275768
84,84,84,84,84,84,84,84,84,84,1-2382,7,1-2382,4,139,25,0,30,30.511462092399597,0.21950692152805465
64,64,64,64,64,64,64,64,64,64,MLG29,10,MLG29,7,164,26,0,52,35.5532009601593,0.21678781073267867
144,144,144,144,144,144,144,144,144,144,1-7058,17,1-7058,17,80,17,0,1,17.183715403079987,0.21479644253849983
80,80,80,80,80,80,80,80,80,80,1-0053,10,1-0053,7,142,25,0,27,29.960315883159637,0.21098814002225097
54,54,54,54,54,54,54,54,54,54,1-1350,14,1-1350,11,195,31,0,55,41.10434716939926,0.21079152394563724
101,101,101,101,101,101,101,101,101,101,1-18371,16,1-18371,10,120,10,0,83,25.248378455638885,0.2104031537969907
166,166,166,166,166,166,166,166,166,166,MLG58,15,MLG58,12,71,13,0,10,14.837154030799866,0.20897400043380093
221,221,221,221,221,221,221,221,221,221,1-4355,6,1-4355,3,49,8,0,10,9.837154030799866,0.20075824552652788
260,260,260,260,260,260,260,260,260,260,1-4760,17,1-4760,17,40,8,0,0,8.0,0.2
85,85,85,85,85,85,85,85,85,85,1-1131,15,1-1131,12,138,25,0,14,27.572015643119812,0.19979721480521603
122,122,122,122,122,122,122,122,122,122,1-9404,9,1-9404,6,100,17,0,16,19.939446449279785,0.19939446449279785
244,244,244,244,244,244,244,244,244,244,1-19448,16,1-19448,10,45,6,0,15,8.755731046199799,0.1945718010266622
20,20,20,20,20,20,20,20,20,20,1-8067,9,1-8067,6,322,50,0,65,61.94150120019913,0.19236491055962462
199,199,199,199,199,199,199,199,199,199,1-20167,10,1-20167,4,56,8,0,15,10.755731046199799,0.1920666258249964
31,31,31,31,31,31,31,31,31,31,1-9156,16,1-9156,10,268,31,0,108,50.84126353263855,0.18970620721133788
27,27,27,27,27,27,27,27,27,27,1-1608,14,1-1608,11,307,48,0,55,58.10434716939926,0.1892649744931572
36,36,36,36,36,36,36,36,36,36,MLG64,13,MLG64,19,245,38,0,45,46.267193138599396,0.18884568627999754
86,86,86,86,86,86,86,86,86,86,1-8910,4,1-8910,1,137,5,0,113,25.759840548038483,0.1880280331973612
429,429,429,429,429,429,429,429,429,429,1-9452,11,1-9452,19,16,3,0,0,3.0,0.1875
277,277,277,277,277,277,277,277,277,277,1-10060,12,1-10060,20,36,5,0,9,6.653438627719879,0.18481773965888554
545,545,545,545,545,545,545,545,545,545,1-4926,14,1-4926,19,4,0,0,4,0.7348616123199463,0.18371540307998657
128,128,128,128,128,128,128,128,128,128,1-7897,16,1-7897,10,95,6,0,62,17.390354990959167,0.18305636832588598
454,454,454,454,454,454,454,454,454,454,1-5913,7,1-5913,4,14,2,0,3,2.5511462092399597,0.1822247292314257
337,337,337,337,337,337,337,337,337,337,1-6532,11,1-6532,9,27,4,0,5,4.918577015399933,0.1821695190888864
132,132,132,132,132,132,132,132,132,132,MLG55,12,MLG55,20,92,14,0,15,16.7557310461998,0.18212751137173694
145,145,145,145,145,145,145,145,145,145,1-9491,12,1-9491,20,80,11,0,19,14.490592658519745,0.18113240823149682
127,127,127,127,127,127,127,127,127,127,1-5891,14,1-5891,17,96,15,0,13,17.388300240039825,0.18112812750041485
76,76,76,76,76,76,76,76,76,76,1-2335,16,1-2335,10,145,17,0,50,26.18577015399933,0.18059151830344364
163,163,163,163,163,163,163,163,163,163,1-6692,15,1-6692,12,71,10,0,14,12.572015643119812,0.17707064286084243
66,66,66,66,66,66,66,66,66,66,MLG48,9,MLG48,6,159,13,0,82,28.0646630525589,0.17650731479596793
94,94,94,94,94,94,94,94,94,94,1-1005,10,1-1005,7,125,18,0,20,21.67430806159973,0.17339446449279786
325,325,325,325,325,325,325,325,325,325,1-9338,1,1-9338,15,29,5,0,0,5.0,0.1724137931034483
191,191,191,191,191,191,191,191,191,191,MLG44,13,MLG44,19,59,9,0,6,10.10229241847992,0.1712252952284732
441,441,441,441,441,441,441,441,441,441,1-9997,10,1-9997,7,16,2,0,4,2.7348616123199463,0.17092885076999664
92,92,92,92,92,92,92,92,92,92,1-6980,2,1-6980,14,128,1,0,113,21.759840548038483,0.16999875428155065
151,151,151,151,151,151,151,151,151,151,MLG38,7,MLG38,4,77,11,0,11,13.020869433879852,0.16910220043999807
