Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,MLG45,20,11,MLG45,70,12,1,11,1015.3370867073536,14.504815524390766
4,4,4,4,4,4,4,4,4,1-6240,20,11,1-6240,698,63,1,124,1100.6180683374405,1.5768167168158174
251,251,251,251,251,251,251,251,251,1-7268,6,9,1-7268,70,34,0,7,36.123600631952286,0.5160514375993184
322,322,322,322,322,322,322,322,322,1-0296,18,15,1-0296,41,16,0,12,19.64045822620392,0.4790355664927785
91,91,91,91,91,91,91,91,91,72-12171,14,11,72-12171,19,7,0,6,8.82022911310196,0.4642225849001031
268,268,268,268,268,268,268,268,268,MLG44,14,7,MLG44,59,23,0,13,26.943829745054245,0.4566750804246482
166,166,166,166,166,166,166,166,166,MLG40,14,7,MLG40,51,19,0,10,22.033715188503265,0.43203363114712284
443,443,443,443,443,443,443,443,443,1-3447,8,14,1-3447,110,38,0,19,43.764058858156204,0.3978550805286928
423,423,423,423,423,423,423,423,423,1-7122,13,20,1-7122,197,16,0,197,75.76418921351433,0.3845897929620017
300,300,300,300,300,300,300,300,300,1-4020,17,12,1-4020,37,10,0,13,13.943829745054245,0.37686026337984446
483,483,483,483,483,483,483,483,483,1-9491,20,11,1-9491,80,26,0,13,29.943829745054245,0.3742978718131781
353,353,353,353,353,353,353,353,353,MLG50,7,9,MLG50,319,109,0,28,117.49440252780914,0.3683210110589628
462,462,462,462,462,462,462,462,462,1-1183,13,20,1-1183,45,3,0,43,16.04497531056404,0.3565550069014231
394,394,394,394,394,394,394,394,394,1-2423,3,18,1-2423,79,9,0,62,27.809034168720245,0.35201309074329423
332,332,332,332,332,332,332,332,332,MLG78,20,11,MLG78,80,24,0,13,27.943829745054245,0.34929787181317806
234,234,234,234,234,234,234,234,234,MLG29,11,6,MLG29,164,39,0,60,57.20229113101959,0.34879445811597315
345,345,345,345,345,345,345,345,345,1-1131,3,18,1-1131,138,36,0,39,47.831489235162735,0.346604994457701
346,346,346,346,346,346,346,346,346,MLG32,14,7,MLG32,52,13,0,15,17.550572782754898,0.3375110150529788
414,414,414,414,414,414,414,414,414,1-8285,8,14,1-8285,72,20,0,13,23.943829745054245,0.3325531909035312
488,488,488,488,488,488,488,488,488,1-11350,2,15,1-11350,100,24,0,30,33.101145565509796,0.331011455655098
199,199,199,199,199,199,199,199,199,MLG39,8,7,MLG39,23,6,0,5,7.516857594251633,0.3268198954022449
473,473,473,473,473,473,473,473,473,1-9452,3,18,1-9452,16,4,0,4,5.213486075401306,0.32584287971258163
411,411,411,411,411,411,411,411,411,MLG15,8,14,MLG15,105,19,0,50,34.16857594251633,0.32541500897634595
331,331,331,331,331,331,331,331,331,MLG75,15,5,MLG75,185,55,0,13,58.943829745054245,0.3186152959192121
464,464,464,464,464,464,464,464,464,1-10060,20,8,1-10060,36,4,0,24,11.280916452407837,0.31335879034466213
