Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-7525,22,9,1-7525,6,0,0,2,1.7503573894500732,0.2917262315750122
1-4494,9,20,1-4494,16,2,0,3,4.62553608417511,0.28909600526094437
1-2153,22,9,1-2153,13,2,0,2,3.7503573894500732,0.28848902995769793
1-8314,18,22,1-8314,36,6,0,5,10.375893473625183,0.28821926315625507
1-10038,14,13,1-10038,76,7,0,17,21.878037810325623,0.2878689185569161
1-5043,18,22,1-5043,123,10,0,29,35.38018214702606,0.2876437572928948
1-1592,22,9,1-1592,32,3,0,7,9.126250863075256,0.28519533947110176
1-18487,18,22,1-18487,23,3,0,4,6.5007147789001465,0.28263977299565857
1-11350,13,12,1-11350,100,9,0,22,28.253931283950806,0.28253931283950806
1-3509,16,15,1-3509,35,2,0,9,9.87660825252533,0.28218880721500944
1-4319,6,17,1-4319,163,17,0,33,45.88089692592621,0.281477895251081
1-6561,18,22,1-6561,65,13,0,6,18.25107216835022,0.28078572566692644
MLG69,14,13,MLG69,576,59,0,117,161.39590728282928,0.28020122792157864
1-8493,1,7,1-8493,38,1,0,11,10.626965641975403,0.27965699057830007
1-7268,21,24,1-7268,70,16,0,4,19.500714778900146,0.2785816396985735
1-4417,16,15,1-4417,151,21,0,24,42.00428867340088,0.27817409717484026
1-1608,2,6,1-1608,307,52,0,38,85.25679039955139,0.2777094149822521
MLG65,8,19,MLG65,201,40,0,18,55.75321650505066,0.2773791865922918
1-2294,6,17,1-2294,75,5,0,18,20.75321650505066,0.27670955340067543
1-4640,22,9,1-4640,87,9,0,17,23.878037810325623,0.2744602047163865
1-9805,22,9,1-9805,26,1,0,7,7.126250863075256,0.2740865716567406
1-10468,6,17,1-10468,549,46,0,119,150.14626467227936,0.2734904638839333
1-3523,13,12,1-3523,543,91,0,65,147.88661515712738,0.2723510408050228
1-1250,10,21,1-1250,34,4,0,6,9.25107216835022,0.2720903578926535
1-5214,9,20,1-5214,40,3,0,9,10.87660825252533,0.27191520631313326
1-0053,1,7,1-0053,142,14,0,28,38.505003452301025,0.271161996142965
1-9404,6,17,1-9404,100,6,0,24,27.00428867340088,0.2700428867340088
MLG41,8,19,MLG41,66,9,0,10,17.751786947250366,0.26896646889773285
1-19286,1,7,1-19286,40,2,0,10,10.751786947250366,0.26879467368125914
1-5799,4,3,1-5799,7,1,0,1,1.8751786947250366,0.2678826706750052
1-9808,16,15,1-9808,74,4,0,18,19.75321650505066,0.26693535817636027
1-8341,20,2,1-8341,197,24,0,32,52.00571823120117,0.2639884174172648
1-19448,5,4,1-19448,45,4,0,9,11.87660825252533,0.2639246278338962
1-5744,11,10,1-5744,18,3,0,2,4.750357389450073,0.2639087438583374
1-17733,6,17,1-17733,74,8,0,13,19.377323031425476,0.2618557166408848
1-9740,13,12,1-9740,34,1,0,9,8.87660825252533,0.2610767133095685
1-8590,22,9,1-8590,24,1,0,6,6.25107216835022,0.26046134034792584
1-6532,11,10,1-6532,27,7,0,0,7.0,0.25925925925925924
1-5036,1,7,1-5036,14,1,0,3,3.62553608417511,0.258966863155365
1-8074,10,21,1-8074,145,32,0,6,37.25107216835022,0.2569039459886222
1-7140,16,15,1-7140,397,30,0,82,101.764652967453,0.25633413845706043
1-9630,18,1,1-9630,33,4,0,5,8.375893473625183,0.25381495374621765
1-19166,20,2,1-19166,45,7,0,5,11.375893473625183,0.2527976327472263
1-18558,15,14,1-18558,307,73,0,5,77.37589347362518,0.2520387409564338
1-9447,1,7,1-9447,7,0,0,2,1.7503573894500732,0.2500510556357248
1-0055,19,23,1-0055,18,1,0,4,4.5007147789001465,0.250039709938897
1-9752,4,3,1-9752,22,2,0,4,5.5007147789001465,0.25003248995000665
1-8573,15,14,1-8573,184,32,0,16,46.002859115600586,0.2500155386717423
MLG02,16,15,MLG02,320,11,0,78,79.26393818855286,0.24769980683922768
1-0027,9,20,1-0027,29,1,0,7,7.126250863075256,0.2457327883819054
1-2282,7,18,1-2282,219,41,0,14,53.25250172615051,0.2431621083385868
1-9491,21,24,1-9491,80,8,0,13,19.377323031425476,0.24221653789281844
1-7004,14,13,1-7004,381,52,0,46,92.25821995735168,0.24214755894318027
1-5654,19,23,1-5654,15,1,0,3,3.62553608417511,0.241702405611674
MLG08,14,13,MLG08,107,3,0,26,25.754646062850952,0.24069762675561637
1-6061,1,7,1-6061,40,0,0,11,9.626965641975403,0.24067414104938506
1-5413,9,20,1-5413,39,5,0,5,9.375893473625183,0.2404075249647483
1-8018,10,21,1-8018,58,6,0,9,13.87660825252533,0.2392518664228505
1-7770,19,23,1-7770,11,0,0,3,2.62553608417511,0.23868509856137363
1-1191,22,9,1-1191,53,10,0,3,12.62553608417511,0.23821766196556812
MLG84,14,13,MLG84,63,8,0,8,15.001429557800293,0.23811792948889354
1-9674,6,17,1-9674,144,7,0,31,34.130539536476135,0.23701763566997316
1-9651,17,1,1-9651,38,2,0,8,9.001429557800293,0.23687972520527087
1-9907,20,2,1-9907,17,4,0,0,4.0,0.23529411764705882
