Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
212,212,212,212,212,212,212,MLG32,6,MLG32,8,52,17,1,6,1018.4072510004044,19.584754826930855
34,34,34,34,34,34,34,MLG51,6,MLG51,8,248,15,2,51,2026.961633503437,8.17323239315902
30,30,30,30,30,30,30,1-10785,9,1-10785,17,279,41,2,71,2057.6524701714516,7.3750984593958835
58,58,58,58,58,58,58,MLG49,22,MLG49,21,185,21,1,22,1026.159920334816,5.5468103801881945
18,18,18,18,18,18,18,MLG63,9,MLG63,17,380,58,2,24,2063.6290040016174,5.43060264210952
54,54,54,54,54,54,54,1-1350,22,1-1350,21,195,14,1,48,1025.2580080032349,5.257733374375563
45,45,45,45,45,45,45,1-3596,21,1-3596,15,223,44,1,37,1052.6780478358269,4.720529362492497
43,43,43,43,43,43,43,MLG14,21,MLG14,15,232,39,1,16,1042.7526693344116,4.494623574717291
41,41,41,41,41,41,41,1-9283,6,1-9283,8,235,9,1,24,1014.6290040016174,4.317570229794117
31,31,31,31,31,31,31,1-9156,7,1-9156,12,268,22,1,40,1031.381673336029,3.848439079612049
12,12,12,12,12,12,12,1-7024,7,1-7024,12,498,45,1,188,1089.0938646793365,2.1869354712436477
161,161,161,161,161,161,161,1-8285,16,1-8285,2,72,23,0,15,26.518127501010895,0.36830732640292907
174,174,174,174,174,174,174,MLG41,16,MLG41,2,66,19,0,20,23.690836668014526,0.3589520707274928
332,332,332,332,332,332,332,P-16616,19,P-16616,15,28,9,0,3,9.703625500202179,0.34655805357864927
138,138,138,138,138,138,138,1-4640,21,1-4640,15,87,25,0,20,29.690836668014526,0.3412739846898221
165,165,165,165,165,165,165,MLG59,7,MLG59,12,71,18,0,25,23.863545835018158,0.33610627936645293
64,64,64,64,64,64,64,MLG29,10,MLG29,18,164,44,0,28,50.56717133522034,0.3083364105806118
126,126,126,126,126,126,126,1-6693,10,1-6693,18,98,24,0,25,29.863545835018158,0.30473005954100163
239,239,239,239,239,239,239,1-5002,13,1-5002,3,45,10,0,13,13.049043834209442,0.28997875187132094
299,299,299,299,299,299,299,MLG31,16,MLG31,2,33,7,0,10,9.345418334007263,0.28319449496991705
151,151,151,151,151,151,151,MLG38,16,MLG38,2,77,13,0,32,20.505338668823242,0.26630309959510706
78,78,78,78,78,78,78,1-1570,18,1-1570,13,142,31,0,29,37.80171316862106,0.2662092476663455
11,11,11,11,11,11,11,MLG56,14,MLG56,5,511,88,0,202,135.37745034694672,0.26492651731300726
84,84,84,84,84,84,84,1-2382,16,1-2382,6,139,32,0,19,36.4562948346138,0.2622755024072935
91,91,91,91,91,91,91,1-9270,18,1-9270,13,128,26,0,32,33.50533866882324,0.2617604583501816
195,195,195,195,195,195,195,1-9379,21,1-9379,15,58,13,0,9,15.110876500606537,0.2605323534587334
143,143,143,143,143,143,143,1-9286,14,1-9286,5,81,16,0,21,20.925378501415253,0.2583380061903118
40,40,40,40,40,40,40,1-7807,4,1-7807,11,239,59,0,10,61.34541833400726,0.25667539051885885
132,132,132,132,132,132,132,MLG55,17,MLG55,14,92,16,0,30,23.03625500202179,0.2503940761089325
28,28,28,28,28,28,28,1-7005,15,1-7005,4,285,50,0,89,70.87422317266464,0.24868148481636718
22,22,22,22,22,22,22,MLG50,17,MLG50,14,319,57,0,87,77.40513950586319,0.24264934014377176
300,300,300,300,300,300,300,1-18709,10,1-18709,18,33,6,0,8,7.8763346672058105,0.23867680809714578
166,166,166,166,166,166,166,MLG58,4,MLG58,11,71,16,0,4,16.938167333602905,0.23856573709299866
403,403,403,403,403,403,403,72-12171,20,72-12171,20,19,4,0,2,4.469083666801453,0.2352149298316554
129,129,129,129,129,129,129,1-4531,15,1-4531,4,94,17,0,21,21.925378501415253,0.23324870746186438
46,46,46,46,46,46,46,1-2282,16,1-2282,2,219,37,0,54,49.66525900363922,0.2267820045828275
412,412,412,412,412,412,412,1-0055,13,1-0055,21,18,3,0,4,3.9381673336029053,0.2187870740890503
