Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,20,12,MLG45,70,14,1,18,1025.437551856041,14.649107883657727
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1-6240,20,12,1-6240,698,65,1,165,1169.844225347042,1.6759945921877393
166,166,166,166,166,166,166,166,166,166,166,166,166,166,MLG40,14,9,MLG40,51,23,0,18,34.437551856040955,0.6752461148243324
474,474,474,474,474,474,474,474,474,474,474,474,474,474,1-8400,10,12,1-8400,33,20,0,1,20.63541954755783,0.6253157438653888
268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,14,9,MLG44,59,27,0,14,35.89587366580963,0.6084046384035531
483,483,483,483,483,483,483,483,483,483,483,483,483,483,1-9491,20,12,1-9491,80,29,0,26,45.5209082365036,0.569011352956295
342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,7,7,MLG65,201,97,0,26,113.5209082365036,0.5647806379925552
130,130,130,130,130,130,130,130,130,130,130,130,130,130,1-1833,19,6,1-1833,124,19,0,80,69.83356380462646,0.5631739016502134
346,346,346,346,346,346,346,346,346,346,346,346,346,346,MLG32,14,9,MLG32,52,14,0,24,29.25006914138794,0.5625013296420758
454,454,454,454,454,454,454,454,454,454,454,454,454,454,1-0272,9,11,1-0272,111,40,0,32,60.333425521850586,0.543544374070726
399,399,399,399,399,399,399,399,399,399,399,399,399,399,MLG60,15,15,MLG60,47,20,0,8,25.083356380462646,0.5336884336268648
389,389,389,389,389,389,389,389,389,389,389,389,389,389,1-0278,8,22,1-0278,79,21,0,33,41.96884506940842,0.5312512034102331
364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,20,12,1-7682,141,35,0,58,71.85433375835419,0.5096052039599588
68,68,68,68,68,68,68,68,68,68,68,68,68,68,1-7845,13,22,1-7845,36,11,0,11,17.98961502313614,0.4997115284204483
123,123,123,123,123,123,123,123,123,123,123,123,123,123,MLG55,1,16,MLG55,92,20,0,40,45.41678190231323,0.4936606728512308
140,140,140,140,140,140,140,140,140,140,140,140,140,140,1-2294,4,1,1-2294,75,37,0,0,37.0,0.49333333333333335
57,57,57,57,57,57,57,57,57,57,57,57,57,57,1-1224,10,8,1-1224,151,9,0,103,74.44821339845657,0.4930345258175932
131,131,131,131,131,131,131,131,131,131,131,131,131,131,1-9283,18,13,1-9283,235,95,0,32,115.33342552185059,0.4907805341355344
217,217,217,217,217,217,217,217,217,217,217,217,217,217,1-9630,7,7,1-9630,33,12,0,6,15.812517285346985,0.4791671904650601
367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,7,7,1-8544,54,12,0,21,25.343810498714447,0.4693298240502675
91,91,91,91,91,91,91,91,91,91,91,91,91,91,72-12171,14,12,72-12171,19,7,0,3,8.906258642673492,0.46875045487755224
128,128,128,128,128,128,128,128,128,128,128,128,128,128,1-19286,13,10,1-19286,40,11,0,12,18.62503457069397,0.46562586426734925
332,332,332,332,332,332,332,332,332,332,332,332,332,332,MLG78,20,12,MLG78,80,30,0,11,36.98961502313614,0.46237018778920175
385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,19,6,1-6974,207,80,0,24,95.25006914138794,0.4601452615525987
272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,12,14,1-1570,142,46,0,30,65.06258642673492,0.4581872283572882
440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,7,7,MLG52,125,35,0,35,57.23968416452408,0.45791747331619265
387,387,387,387,387,387,387,387,387,387,387,387,387,387,1-10539,20,12,1-10539,63,4,0,39,28.7813623547554,0.456847021504054
471,471,471,471,471,471,471,471,471,471,471,471,471,471,1-9794,15,6,1-9794,46,12,0,14,20.89587366580963,0.4542581231697746
298,298,298,298,298,298,298,298,298,298,298,298,298,298,1-7019,20,12,1-7019,107,11,0,57,47.218914210796356,0.4412982636523024
446,446,446,446,446,446,446,446,446,446,446,446,446,446,1-3534,9,11,1-3534,279,64,0,93,123.09401792287827,0.4411971968561945
92,92,92,92,92,92,92,92,92,92,92,92,92,92,1-7807,9,11,1-7807,239,37,0,106,104.35447204113007,0.4366295901302513
422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,17,16,1-6878,167,10,0,98,72.27111566066742,0.432761171620763
353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,7,7,MLG50,319,77,0,92,135.45859837532043,0.42463510462482895
562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,20,7,1-0003,17,4,0,5,7.177097737789154,0.42218221986995025
124,124,124,124,124,124,124,124,124,124,124,124,124,124,1-8427,20,12,1-8427,189,9,0,111,79.53156977891922,0.4208019565022181
153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,12,1-1350,195,59,0,36,81.87510371208191,0.4198723267286252
139,139,139,139,139,139,139,139,139,139,139,139,139,139,1-7863,12,14,1-7863,351,52,0,150,147.31293213367462,0.41969496334380235
331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,15,15,MLG75,185,47,0,44,74.95846009254456,0.4051808653651057
384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,12,14,1-9270,128,30,0,34,51.60426461696625,0.4031583173200488
302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,13,10,MLG51,248,59,0,63,99.03143149614334,0.39932028829090055
161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,14,9,MLG41,66,13,0,21,26.343810498714447,0.3991486439199159
388,388,388,388,388,388,388,388,388,388,388,388,388,388,MLG49,13,10,MLG49,185,35,0,61,73.76059240102768,0.3987059048704199
