,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
352,1-8100,5,3,1-8100,19,3,0,0,3.0,0.1578947368421052
353,1-9902,5,3,1-9902,30,3,0,2,4.730510473251343,0.1576836824417114
354,1-9731,20,12,1-9731,11,0,0,2,1.7305104732513428,0.1573191339319402
355,1-10038,4,1,1-10038,76,11,0,1,11.865255236625671,0.1561217794292851
356,1-10696,1,8,1-10696,24,2,0,2,3.730510473251343,0.1554379363854726
357,1-18004,13,20,1-18004,12,1,0,1,1.865255236625672,0.1554379363854726
358,1-7058,6,1,1-7058,80,7,0,6,12.191531419754028,0.1523941427469253
359,1-8124,10,19,1-8124,18,1,0,2,2.7305104732513428,0.1516950262917412
360,1-8172,13,20,1-8172,40,6,0,0,6.0,0.15
361,1-1850,10,19,1-1850,30,1,0,4,4.4610209465026855,0.1487006982167562
362,1-8188,4,11,1-8188,140,9,0,13,20.248318076133728,0.1446308434009552
363,1-5744,2,21,1-5744,18,0,0,3,2.595765709877014,0.1442092061042785
364,1-4499,14,10,1-4499,12,0,0,2,1.7305104732513428,0.1442092061042785
365,1-6918,15,13,1-6918,43,1,0,6,6.191531419754028,0.1439891027849774
366,1-6787,20,12,1-6787,56,2,0,7,8.0567866563797,0.1438711902924946
367,1-8659,17,14,1-8659,91,7,0,7,13.0567866563797,0.1434811720481285
368,1-3033,10,19,1-3033,7,1,0,0,1.0,0.1428571428571428
369,1-5036,20,20,1-5036,14,2,0,0,2.0,0.1428571428571428
370,1-2714,2,21,1-2714,61,0,0,10,8.652552366256714,0.1418451207583068
371,1-5172,20,12,1-5172,120,10,0,8,16.92204189300537,0.1410170157750447
372,1-5413,2,21,1-5413,39,2,0,4,5.4610209465026855,0.1400261781154534
373,1-3087,5,23,1-3087,26,1,0,3,3.595765709877014,0.1382986811491159
374,MLG33,1,12,MLG33,20,1,0,2,2.7305104732513428,0.1365255236625671
375,1-7070,5,3,1-7070,129,12,0,6,17.19153141975403,0.1332676854244498
376,1-11330,4,11,1-11330,14,1,0,1,1.865255236625672,0.1332325169018336
377,1-18994,19,18,1-18994,28,2,0,2,3.730510473251343,0.1332325169018336
378,1-7995,19,18,1-7995,14,1,0,1,1.865255236625672,0.1332325169018336
379,1-6900,19,18,1-6900,67,2,0,8,8.922041893005371,0.1331648043732144
380,1-7453,7,17,1-7453,13,0,0,2,1.7305104732513428,0.1331161902501033
381,1-9630,2,21,1-9630,33,0,0,5,4.326276183128357,0.1310992782766168
382,1-8095,22,7,1-8095,46,6,0,0,6.0,0.1304347826086956
383,MLG39,1,20,MLG39,23,3,0,0,3.0,0.1304347826086956
384,1-8576,18,4,1-8576,55,1,0,7,7.0567866563797,0.1283052119341763
385,1-4098,19,18,1-4098,16,2,0,0,2.0,0.125
386,1-7964,9,6,1-7964,202,20,0,6,25.19153141975403,0.1247105515829407
387,1-9752,21,23,1-9752,22,1,0,2,2.7305104732513428,0.1241141124205155
388,1-7004,6,1,1-7004,381,1,0,52,45.99327230453491,0.1207172501431362
389,1-1957,21,23,1-1957,47,3,0,3,5.595765709877014,0.1190588448910003
390,1-0405,9,6,1-0405,64,5,0,3,7.595765709877014,0.1186838392168283
391,1-5214,1,2,1-5214,40,3,0,2,4.730510473251343,0.1182627618312835
392,1-5282,1,20,1-5282,17,2,0,0,2.0,0.1176470588235294
393,1-8127,15,13,1-8127,32,2,0,2,3.730510473251343,0.1165784522891044
394,1-9444,3,2,1-9444,24,1,0,2,2.7305104732513428,0.1137712697188059
395,MLG51,13,20,MLG51,248,16,0,14,28.1135733127594,0.1133611827127395
396,1-7481,6,1,1-7481,33,2,0,2,3.730510473251343,0.1130457719167073
397,1-7066,10,19,1-7066,23,0,0,3,2.595765709877014,0.1128593786903049
