,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
246,1-9752,9,21,1-9752,22,3,0,2,4.024120330810547,0.1829145604913885
247,1-18994,18,7,1-18994,28,2,0,6,5.072360992431641,0.1811557497297014
248,1-9185,17,9,1-9185,31,1,0,9,5.608541488647461,0.1809206931821761
249,1-8427,17,9,1-8427,189,7,0,53,34.13918876647949,0.1806306283940713
250,1-6561,11,17,1-6561,65,2,0,19,11.729143142700195,0.1804483560415414
251,MLG48,14,20,MLG48,159,24,0,9,28.60854148864746,0.1799279338908645
252,1-5036,20,1,1-5036,14,2,0,1,2.512060165405273,0.1794328689575195
253,1-3516,4,22,1-3516,156,13,0,29,27.84974479675293,0.1785240051073905
254,1-5775,3,12,1-5775,244,34,0,18,43.21708297729492,0.1771191925298972
255,1-3587,14,20,1-3587,46,2,0,12,8.144721984863281,0.1770591735839843
256,1-1836,22,3,1-1836,20,2,0,3,3.5361804962158203,0.176809024810791
257,1-2103,12,17,1-2103,26,1,0,7,4.584421157836914,0.1763238906860351
258,1-8172,10,19,1-8172,40,5,0,4,7.048240661621094,0.1762060165405273
259,1-8544,22,11,1-8544,54,9,0,1,9.512060165405272,0.1761492623223198
260,1-8285,8,10,1-8285,72,5,0,15,12.680902481079102,0.176123645570543
261,1-5214,14,20,1-5214,40,6,0,2,7.024120330810547,0.1756030082702636
262,1-1989,3,12,1-1989,46,5,0,6,8.07236099243164,0.1754861085311226
263,1-18487,13,6,1-18487,23,3,0,2,4.024120330810547,0.174961753513502
264,1-9338,17,9,1-9338,29,2,0,6,5.072360992431641,0.1749089997390221
265,1-3087,17,9,1-3087,26,3,0,3,4.53618049621582,0.1744684806236854
266,MLG51,10,19,MLG51,248,33,0,20,43.24120330810547,0.1743596907584897
267,1-9761,21,5,1-9761,35,2,0,8,6.096481323242188,0.1741851806640625
268,1-8018,12,11,1-8018,58,6,0,8,10.096481323242188,0.1740772641938308
269,1-0292,20,1,1-0292,99,10,0,14,17.168842315673828,0.173422649653271
270,1-5508,21,5,1-5508,38,4,0,5,6.560300827026367,0.1726394954480622
271,1-10071,3,12,1-10071,30,0,0,10,5.120601654052734,0.1706867218017578
272,1-1833,9,21,1-1833,124,20,0,2,21.024120330810547,0.1695493575065366
273,1-1350,17,9,1-1350,195,13,0,39,32.970346450805664,0.1690786997477213
274,72-12387,7,2,72-12387,71,12,0,0,12.0,0.1690140845070422
275,1-4499,21,5,1-4499,12,1,0,2,2.024120330810547,0.1686766942342122
276,1-19166,5,6,1-19166,45,5,0,5,7.560300827026367,0.1680066850450303
277,1-7839,18,7,1-7839,24,3,0,2,4.024120330810547,0.1676716804504394
278,1-5654,12,11,1-5654,15,2,0,1,2.512060165405273,0.1674706776936849
279,1-9971,1,2,1-9971,15,2,0,1,2.512060165405273,0.1674706776936849
280,1-18735,10,19,1-18735,27,4,0,1,4.512060165405273,0.1671133394594545
281,1-19205,15,13,1-19205,12,2,0,0,2.0,0.1666666666666666
282,1-9946,11,17,1-9946,12,2,0,0,2.0,0.1666666666666666
283,1-8573,19,15,1-8573,184,12,0,36,30.434165954589844,0.1654030758401622
284,1-8067,19,15,1-8067,322,5,0,94,53.1336555480957,0.1650113526338376
285,MLG35,3,12,MLG35,49,5,0,6,8.07236099243164,0.1647420610700334
286,1-6916,15,13,1-6916,43,4,0,6,7.072360992431641,0.1644735114518986
287,1-1250,22,3,1-1250,34,2,0,7,5.584421157836914,0.1642476811128504
288,1-3068,4,22,1-3068,180,6,0,46,29.55476760864257,0.1641931533813476
289,MLG52,9,21,MLG52,125,20,0,1,20.51206016540528,0.1640964813232422
290,1-1580,18,7,1-1580,400,28,0,72,64.86833190917969,0.1621708297729492
291,1-10785,11,17,1-10785,279,13,0,62,44.74773025512695,0.1603861299466915
292,1-1258,11,17,1-1258,435,17,0,103,69.74219703674316,0.1603268897396394
293,1-9768,13,14,1-9768,241,36,0,5,38.56030082702637,0.1600012482449226
294,1-8341,21,5,1-8341,197,11,0,40,31.482406616210938,0.1598091706406646
295,1-18603,14,20,1-18603,19,3,0,0,3.0,0.1578947368421052
296,1-8503,21,5,1-8503,16,2,0,1,2.512060165405273,0.1570037603378296
297,1-8094,22,3,1-8094,58,6,0,6,9.07236099243164,0.1564200171108903
298,1-5197,19,15,1-5197,72,2,0,18,11.217082977294922,0.1557928191290961
299,1-8418,5,6,1-8418,46,4,0,6,7.072360992431641,0.15374697809634
300,1-8314,9,21,1-8314,36,5,0,1,5.512060165405273,0.1531127823723687
301,1-7481,9,21,1-7481,33,4,0,2,5.024120330810547,0.1522460706306226
302,MLG84,7,2,MLG84,63,7,0,5,9.560300827026367,0.1517508067781963
303,1-1317,19,15,1-1317,414,15,0,93,62.62159538269043,0.1512598922287208
304,MLG08,14,8,MLG08,107,10,0,12,16.14472198486328,0.1508852521949839
305,1-0129,11,17,1-0129,142,5,0,32,21.38592529296875,0.150605107696963
306,1-9504,8,10,1-9504,30,4,0,1,4.512060165405273,0.1504020055135091
307,1-6538,17,9,1-6538,44,3,0,7,6.584421157836914,0.1496459354053844
308,1-7152,21,5,1-7152,109,5,0,22,16.265323638916016,0.1492231526506056
309,1-8678,13,7,1-8678,17,1,0,3,2.5361804962158203,0.1491870880126953
310,1-1608,8,10,1-1608,307,30,0,30,45.3618049621582,0.1477583223523068
311,1-10038,22,3,1-10038,76,5,0,12,11.14472198486328,0.146641078748201
312,1-7863,11,17,1-7863,351,13,0,75,51.40451240539551,0.1464516022945741
313,1-9447,16,24,1-9447,7,0,0,2,1.0241203308105469,0.1463029044015067
314,1-7058,5,6,1-7058,80,10,0,3,11.53618049621582,0.1442022562026977
315,1-3362,1,22,1-3362,117,6,0,21,16.753263473510742,0.1431902860983824
316,P-0009,4,22,P-0009,7,1,0,0,1.0,0.1428571428571428
317,1-3033,7,2,1-3033,7,1,0,0,1.0,0.1428571428571428
318,1-4747,14,20,1-4747,25,1,0,5,3.560300827026367,0.1424120330810546
319,1-7845,4,22,1-7845,36,1,0,8,5.096481323242188,0.1415689256456163
320,1-6734,11,17,1-6734,44,1,0,10,6.120601654052734,0.139104583046653
321,MLG30,20,1,MLG30,208,14,0,29,28.84974479675293,0.1387006961382352
322,1-18203,9,21,1-18203,29,4,0,0,4.0,0.1379310344827586
323,1-8705,3,8,1-8705,48,3,0,7,6.584421157836914,0.137175440788269
324,1-6900,18,7,1-6900,67,3,0,12,9.14472198486328,0.1364883878337803
325,1-1850,10,19,1-1850,30,1,0,6,4.072360992431641,0.135745366414388
326,MLG37,1,8,MLG37,116,15,0,1,15.512060165405272,0.1337246565983213
327,1-19447,1,8,1-19447,15,2,0,0,2.0,0.1333333333333333
328,1-6296,20,1,1-6296,254,20,0,27,33.82562446594238,0.1331717498659149
329,1-3589,3,1,1-3589,27,1,0,5,3.560300827026367,0.1318629935935691
330,1-7964,8,10,1-7964,202,12,0,28,26.337684631347656,0.1303845773829091
331,1-7807,4,22,1-7807,239,7,0,47,31.06682777404785,0.1299867270880663
332,1-2294,19,15,1-2294,75,2,0,15,9.680902481079102,0.1290786997477213
333,1-3534,4,22,1-3534,279,19,0,33,35.89798545837402,0.1286666145461434
334,1-17907,4,22,1-17907,119,4,0,22,15.265323638916016,0.1282800305791261
335,1-9855,12,11,1-9855,8,0,0,2,1.0241203308105469,0.1280150413513183
336,1-10444,22,3,1-10444,8,0,0,2,1.0241203308105469,0.1280150413513183
337,1-4910,13,14,1-4910,4,0,0,1,0.5120601654052734,0.1280150413513183
338,1-8267,4,22,1-8267,133,1,0,31,16.873865127563477,0.1268711663726577
339,1-9444,6,4,1-9444,24,2,0,2,3.024120330810547,0.1260050137837728
340,1-5161,1,8,1-5161,12,1,0,1,1.5120601654052734,0.1260050137837728
341,1-18563,13,14,1-18563,8,1,0,0,1.0,0.125
342,1-8590,2,18,1-8590,24,3,0,0,3.0,0.125
343,1-1769,19,15,1-1769,89,7,0,8,11.096481323242188,0.1246795654296875
344,MLG17,6,4,MLG17,153,17,0,4,19.048240661621094,0.1244983049779156
345,1-6181,20,1,1-6181,659,29,0,103,81.74219703674316,0.1240397527112946
346,1-2573,22,3,1-2573,37,2,0,5,4.560300827026367,0.1232513737034153
347,1-8188,8,10,1-8188,140,12,0,10,17.120601654052734,0.1222900118146623
348,MLG68,6,4,MLG68,642,41,0,72,77.86833190917969,0.1212902366186599
349,1-6240,17,9,1-6240,698,36,0,94,84.1336555480957,0.1205353231348076
350,1-18371,16,24,1-18371,120,0,0,28,14.337684631347656,0.1194807052612304
351,1-5282,4,22,1-5282,17,1,0,2,2.024120330810547,0.1190659018123851
352,1-7496,9,21,1-7496,246,20,0,18,29.21708297729492,0.1187686299890037
353,1-9614,22,3,1-9614,30,2,0,3,3.5361804962158203,0.117872683207194
354,MLG10,13,10,MLG10,60,4,0,6,7.072360992431641,0.117872683207194
355,1-0001,1,8,1-0001,17,2,0,0,2.0,0.1176470588235294
356,1-3639,1,8,1-3639,17,2,0,0,2.0,0.1176470588235294
357,1-4052,14,1,1-4052,13,1,0,1,1.5120601654052734,0.1163123204157902
358,1-6217,19,15,1-6217,44,1,0,8,5.096481323242188,0.1158291209827769
359,1-0358,9,21,1-0358,22,1,0,3,2.5361804962158203,0.1152809316461736
360,1-18615,5,10,1-18615,22,1,0,3,2.5361804962158203,0.1152809316461736
361,MLG72,20,1,MLG72,9,0,0,2,1.0241203308105469,0.1137911478678385
362,1-9553,2,18,1-9553,23,0,0,5,2.560300827026367,0.1113174272620159
363,1-1972,8,10,1-1972,32,1,0,5,3.560300827026367,0.1112594008445739
364,1-0055,1,8,1-0055,18,2,0,0,2.0,0.1111111111111111
365,1-9996,17,9,1-9996,28,1,0,4,3.0482406616210938,0.108865737915039
366,1-8328,4,22,1-8328,114,2,0,20,12.241203308105469,0.10737897638689
367,1-8826,4,22,1-8826,123,8,0,10,13.120601654052734,0.1066715581630303
368,1-7441,11,17,1-7441,111,2,0,19,11.729143142700195,0.1056679562405423
369,1-19897,15,13,1-19897,53,4,0,3,5.53618049621582,0.1044562357776569
370,1-0033,9,21,1-0033,10,0,0,2,1.0241203308105469,0.1024120330810546
371,1-3217,16,24,1-3217,5,0,0,1,0.5120601654052734,0.1024120330810546
372,1-4136,10,19,1-4136,5,0,0,1,0.5120601654052734,0.1024120330810546
373,1-8174,21,5,1-8174,45,0,0,9,4.608541488647461,0.1024120330810546
374,1-8566,7,2,1-8566,5,0,0,1,0.5120601654052734,0.1024120330810546
375,1-5990,8,10,1-5990,5,0,0,1,0.5120601654052734,0.1024120330810546
376,1-8379,1,24,1-8379,5,0,0,1,0.5120601654052734,0.1024120330810546
377,1-8646,3,12,1-8646,20,1,0,2,2.024120330810547,0.1012060165405273
378,1-7521,20,1,1-7521,10,1,0,0,1.0,0.1
379,1-4929,20,1,1-4929,10,1,0,0,1.0,0.1
380,1-9887,20,1,1-9887,36,2,0,3,3.5361804962158203,0.098227236005995
381,1-20641,4,22,1-20641,16,0,0,3,1.5361804962158203,0.0960112810134887
382,1-9645,3,12,1-9645,69,5,0,3,6.53618049621582,0.0947272535683452
383,1-19598,1,8,1-19598,11,1,0,0,1.0,0.0909090909090909
384,1-6787,12,13,1-6787,56,4,0,2,5.024120330810547,0.0897164344787597
385,1-6006,21,5,1-6006,57,1,0,8,5.096481323242188,0.0894119530393366
386,1-8659,10,19,1-8659,91,3,0,10,8.120601654052734,0.0892373808137663
387,1-8157,16,24,1-8157,75,0,0,13,6.656782150268555,0.088757095336914
388,1-7752,8,10,1-7752,29,1,0,3,2.5361804962158203,0.087454499869511
389,1-3509,20,1,1-3509,35,2,0,2,3.024120330810547,0.0864034380231584
390,1-18423,12,11,1-18423,47,2,0,4,4.048240661621094,0.0861327800344913
391,1-18028,2,18,1-18028,309,23,0,7,26.58442115783692,0.0860337254298929
392,MLG02,20,1,MLG02,320,11,0,32,27.38592529296875,0.0855810165405273
393,1-3551,13,14,1-3551,6,0,0,1,0.5120601654052734,0.0853433609008789
394,1-5744,10,24,1-5744,18,0,0,3,1.5361804962158203,0.0853433609008789
395,1-1935,6,4,1-1935,12,0,0,2,1.0241203308105469,0.0853433609008789
396,1-9495,3,15,1-9495,18,0,0,3,1.5361804962158203,0.0853433609008789
397,1-10762,22,3,1-10762,6,0,0,1,0.5120601654052734,0.0853433609008789
398,1-7525,12,11,1-7525,6,0,0,1,0.5120601654052734,0.0853433609008789
399,1-9610,16,24,1-9610,49,0,0,8,4.096481323242188,0.0836016596580038
400,1-6919,10,22,1-6919,43,0,0,7,3.584421157836914,0.0833586315776026
401,1-7341,5,6,1-7341,110,2,0,14,9.168842315673828,0.0833531119606711
402,1-2178,7,2,1-2178,12,1,0,0,1.0,0.0833333333333333
403,1-5626,11,17,1-5626,125,2,0,16,10.192962646484377,0.081543701171875
404,1-9156,16,24,1-9156,268,0,0,42,21.506526947021484,0.0802482348769458
405,1-8493,11,17,1-8493,38,2,0,2,3.024120330810547,0.0795821139686986
406,1-8100,15,4,1-8100,19,1,0,1,1.5120601654052734,0.0795821139686986
407,1-8127,21,5,1-8127,32,2,0,1,2.512060165405273,0.0785018801689148
408,1-5877,12,11,1-5877,79,0,0,12,6.144721984863281,0.0777812909476364
409,1-20791,9,21,1-20791,13,1,0,0,1.0,0.0769230769230769
410,1-7453,1,8,1-7453,13,1,0,0,1.0,0.0769230769230769
411,MLG11,19,15,MLG11,87,0,0,13,6.656782150268555,0.0765147373594086
412,1-9925,15,13,1-9925,93,5,0,4,7.048240661621094,0.0757875339959257
413,1-6718,17,9,1-6718,20,1,0,1,1.5120601654052734,0.0756030082702636
414,1-7509,14,20,1-7509,40,3,0,0,3.0,0.075
415,1-8074,16,24,1-8074,145,0,0,21,10.753263473510742,0.0741604377483499
416,1-3564,2,18,1-3564,41,2,0,2,3.024120330810547,0.0737590324587938
417,1-9588,16,24,1-9588,14,0,0,2,1.0241203308105469,0.0731514522007533
418,1-9667,20,1,1-9667,14,0,0,2,1.0241203308105469,0.0731514522007533
419,1-7321,4,22,1-7321,7,0,0,1,0.5120601654052734,0.0731514522007533
420,1-0037,1,17,1-0037,35,1,0,3,2.5361804962158203,0.0724622998918805
421,1-9578,1,8,1-9578,42,2,0,2,3.024120330810547,0.0720028650192987
422,1-7842,7,20,1-7842,21,1,0,1,1.5120601654052734,0.0720028650192987
423,1-7995,1,8,1-7995,14,1,0,0,1.0,0.0714285714285714
424,1-0008,20,1,1-0008,230,9,0,14,16.168842315673828,0.0702993144159731
425,1-7140,20,1,1-7140,397,18,0,18,27.21708297729492,0.0685568840737907
426,1-1183,16,24,1-1183,45,0,0,6,3.0723609924316406,0.0682746887207031
427,1-9808,20,1,1-9808,74,3,0,4,5.048240661621094,0.068219468400285
428,1-5355,16,24,1-5355,53,0,0,7,3.584421157836914,0.0676305878837153
429,1-8551,4,22,1-8551,38,0,0,5,2.560300827026367,0.0673763375533254
430,1-9345,1,8,1-9345,47,0,0,6,3.0723609924316406,0.0653693828176944
431,1-1204,9,21,1-1204,39,1,0,3,2.5361804962158203,0.0650302691337389
432,1-9606,11,17,1-9606,16,0,0,2,1.0241203308105469,0.0640075206756591
433,1-17657,12,11,1-17657,8,0,0,1,0.5120601654052734,0.0640075206756591
434,1-9115,11,17,1-9115,16,0,0,2,1.0241203308105469,0.0640075206756591
435,1-8400,10,10,1-8400,33,1,0,2,2.024120330810547,0.0613369797215317
436,1-3535,16,24,1-3535,315,0,0,37,18.94622611999512,0.060146749587286
437,1-8541,6,4,1-8541,232,2,0,22,13.265323638916016,0.0571781191332586
438,1-9549,13,14,1-9549,18,0,0,2,1.0241203308105469,0.0568955739339192
439,1-8113,8,10,1-8113,9,0,0,1,0.5120601654052734,0.0568955739339192
440,1-6531,1,8,1-6531,27,1,0,1,1.5120601654052734,0.0560022283483434
441,1-9818,9,21,1-9818,28,0,0,3,1.5361804962158203,0.054863589150565
442,1-19547,4,22,1-19547,66,1,0,5,3.560300827026367,0.0539439519246419
443,1-7897,16,24,1-7897,95,0,0,10,5.120601654052734,0.0539010700426603
444,1-1015,4,22,1-1015,155,0,0,16,8.192962646484375,0.0528578235257056
445,1-6743,2,18,1-6743,58,2,0,2,3.024120330810547,0.0521400057036301
446,1-8928,10,19,1-8928,39,2,0,0,2.0,0.0512820512820512
447,1-9576,2,5,1-9576,10,0,0,1,0.5120601654052734,0.0512060165405273
448,1-8181,16,24,1-8181,30,0,0,3,1.5361804962158203,0.0512060165405273
449,1-8125,4,22,1-8125,21,0,0,2,1.0241203308105469,0.0487676348005022
450,1-6914,18,5,1-6914,73,2,0,3,3.5361804962158203,0.0484408287152852
451,1-7770,16,24,1-7770,11,0,0,1,0.5120601654052734,0.0465509241277521
452,1-5653,20,1,1-5653,11,0,0,1,0.5120601654052734,0.0465509241277521
453,1-7819,1,8,1-7819,59,0,0,5,2.560300827026367,0.0433949292716333
454,72-0103,21,17,72-0103,71,1,0,4,3.0482406616210938,0.0429329670650858
455,1-9055,4,22,1-9055,12,0,0,1,0.5120601654052734,0.0426716804504394
456,1-6543,2,18,1-6543,12,0,0,1,0.5120601654052734,0.0426716804504394
457,1-4020,16,24,1-4020,37,0,0,3,1.5361804962158203,0.0415183917896167
458,1-9237,3,24,1-9237,38,0,0,3,1.5361804962158203,0.0404258025319952
459,1-6980,2,18,1-6980,128,3,0,4,5.048240661621094,0.0394393801689147
460,1-20467,8,10,1-20467,13,0,0,1,0.5120601654052734,0.0393892434927133
461,1-8186,2,18,1-8186,26,1,0,0,1.0,0.0384615384615384
462,1-17758,16,24,1-17758,40,0,0,3,1.5361804962158203,0.0384045124053955
463,MLG42,6,24,MLG42,14,0,0,1,0.5120601654052734,0.0365757261003766
464,1-6594,2,18,1-6594,70,2,0,1,2.512060165405273,0.0358865737915039
465,1-9333,4,22,1-9333,102,2,0,3,3.5361804962158203,0.03466843623741
466,1-19222,13,14,1-19222,15,0,0,1,0.5120601654052734,0.0341373443603515
467,1-7722,6,4,1-7722,60,1,0,2,2.024120330810547,0.0337353388468424
468,1-4088,15,13,1-4088,30,1,0,0,1.0,0.0333333333333333
469,1-9739,17,9,1-9739,31,1,0,0,1.0,0.032258064516129
470,1-9137,8,10,1-9137,111,1,0,5,3.560300827026367,0.0320747822254627
471,1-0405,13,14,1-0405,64,2,0,0,2.0,0.03125
472,1-2596,1,8,1-2596,35,1,0,0,1.0,0.0285714285714285
473,1-7019,20,1,1-7019,107,1,0,4,3.0482406616210938,0.0284882304824401
474,1-9465,6,4,1-9465,18,0,0,1,0.5120601654052734,0.0284477869669596
475,1-6909,9,21,1-6909,36,1,0,0,1.0,0.0277777777777777
476,1-2584,17,9,1-2584,36,1,0,0,1.0,0.0277777777777777
