Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,1-0008,2,10,1-0008,230,150,0,38,187.72619831562042,0.816200862241828
244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,MLG57,12,8,MLG57,629,149,0,314,460.73753345012665,0.7324921040542554
345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,1-1131,15,3,1-1131,138,24,0,76,99.45239663124084,0.720669540806093
423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1-7122,10,7,1-7122,197,120,0,10,129.92794692516327,0.659532725508443
271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,1-7897,4,12,1-7897,95,3,0,59,61.57488685846329,0.6481567037732978
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,2,10,1-6878,167,31,0,75,105.45960193872452,0.6314946223875719
517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,1-18028,18,9,1-18028,309,193,0,2,194.98558938503265,0.6310213248706559
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1-7005,5,15,1-7005,285,34,0,141,173.9840516448021,0.6104703566484284
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1-3083,12,8,1-3083,78,9,0,38,46.72619831562042,0.5990538245592362
394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,1-2423,2,10,1-2423,79,4,0,43,46.69017177820206,0.5910148326354691
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,MLG45,15,3,MLG45,70,25,0,15,39.891920387744904,0.5698845769677844
443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,1-3447,5,15,1-3447,110,3,0,60,62.567681550979614,0.5687971050089056
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,7,14,1-1350,195,54,0,54,107.61091339588165,0.5518508379275983
302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,MLG51,12,8,MLG51,248,73,0,64,136.53886032104492,0.5505599206493746
484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,MLG31,19,4,MLG31,33,9,0,9,17.935152232646942,0.5434894615953619
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,4,12,1-18371,120,2,0,63,64.5460656285286,0.5378838802377383
380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,1-7004,6,17,1-7004,381,19,0,186,203.6598128080368,0.5345401910972094
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,1-0003,12,12,1-0003,17,1,0,8,8.942357540130615,0.5260210317723891
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,19,4,1-7682,141,21,0,53,73.61811870336533,0.5221143170451441
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,10,13,MLG50,319,110,0,54,163.61091339588165,0.5128868758491588
294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,1-3509,2,10,1-3509,35,5,0,13,17.90633100271225,0.51160945722035
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,4,12,1-9333,102,1,0,51,51.63252931833267,0.5062012678267909
419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419,1-6692,4,12,1-6692,71,1,0,35,35.74781423807144,0.5034903413812879
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1-7140,2,10,1-7140,397,77,0,122,198.12095248699188,0.4990452203702566
330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,1-4531,5,15,1-4531,94,14,0,33,46.76222485303879,0.4974704771599871
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,14,5,MLG59,71,21,0,14,34.89912569522858,0.4915369816229377
470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,1-1204,6,17,1-1204,39,9,0,10,18.92794692516327,0.4853319724400838
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,6,3,1-7530,25,7,0,5,11.963973462581635,0.47855893850326536
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,MLG52,10,13,MLG52,125,32,0,27,58.805456697940826,0.47044365358352663
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,2,10,1-0292,99,5,0,40,44.711787700653076,0.45163421919851593
