Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,215,MLG40,6,MLG40,3,51,11,1,13,1013.6064009666443,19.874635313071458
168,168,168,168,168,168,168,168,168,168,MLG45,8,MLG45,5,70,17,1,22,1021.4108324050903,14.591583320072719
9,9,9,9,9,9,9,9,9,9,1-3523,6,1-3523,3,543,92,1,149,1121.8733649253845,2.0660651287760303
8,8,8,8,8,8,8,8,8,8,1-10468,8,1-10468,5,549,56,1,145,1085.0713953971863,1.976450629138773
85,85,85,85,85,85,85,85,85,85,1-1131,11,1-1131,12,138,68,0,21,72.21034002304077,0.5232633335002954
88,88,88,88,88,88,88,88,88,88,1-8267,2,1-8267,8,133,51,0,4,51.80196952819824,0.3894884926932199
112,112,112,112,112,112,112,112,112,112,1-3447,7,1-3447,4,110,38,0,17,41.40837049484253,0.3764397317712957
228,228,228,228,228,228,228,228,228,228,MLG60,5,MLG60,2,47,16,0,4,16.801969528198242,0.35748871336592003
165,165,165,165,165,165,165,165,165,165,MLG59,8,MLG59,5,71,18,0,35,25.01723337173462,0.35235539960189605
212,212,212,212,212,212,212,212,212,212,MLG32,18,MLG32,19,52,14,0,14,16.806893348693848,0.3232094874748817
195,195,195,195,195,195,195,195,195,195,1-9379,16,1-9379,9,58,17,0,8,18.603939056396484,0.3207575699378704
299,299,299,299,299,299,299,299,299,299,MLG31,12,MLG31,19,33,8,0,11,10.205416202545166,0.30925503644076263
394,394,394,394,394,394,394,394,394,394,1-9697,14,1-9697,20,20,4,0,10,6.0049238204956055,0.3002461910247803
123,123,123,123,123,123,123,123,123,123,1-11350,5,1-11350,2,100,28,0,10,30.004923820495605,0.30004923820495605
354,354,354,354,354,354,354,354,354,354,1-7530,12,1-7530,13,25,7,0,2,7.400984764099121,0.29603939056396483
5,5,5,5,5,5,5,5,5,5,MLG57,15,MLG57,16,629,138,0,200,178.0984764099121,0.2831454314942959
146,146,146,146,146,146,146,146,146,146,MLG78,14,MLG78,15,80,18,0,22,22.410832405090332,0.28013540506362916
326,326,326,326,326,326,326,326,326,326,1-0027,1,1-0027,7,29,8,0,0,8.0,0.27586206896551724
57,57,57,57,57,57,57,57,57,57,MLG75,16,MLG75,9,185,44,0,34,50.81674098968506,0.27468508643073003
300,300,300,300,300,300,300,300,300,300,1-18709,1,1-18709,3,33,9,0,0,9.0,0.2727272727272727
77,77,77,77,77,77,77,77,77,77,1-9674,9,1-9674,6,144,36,0,15,39.00738573074341,0.27088462313016254
369,369,369,369,369,369,369,369,369,369,MLG39,17,MLG39,20,23,5,0,6,6.202954292297363,0.2696936648824941
199,199,199,199,199,199,199,199,199,199,1-20167,1,1-20167,4,56,15,0,0,15.0,0.26785714285714285
163,163,163,163,163,163,163,163,163,163,1-6692,11,1-6692,12,71,15,0,18,18.60886287689209,0.2620966602379168
108,108,108,108,108,108,108,108,108,108,1-8328,2,1-8328,8,114,24,0,28,29.613786697387695,0.2597700587490149
242,242,242,242,242,242,242,242,242,242,1-3206,12,1-3206,13,45,9,0,13,11.606400966644287,0.25792002148098414
166,166,166,166,166,166,166,166,166,166,MLG58,11,MLG58,12,71,14,0,21,18.21034002304077,0.2564836622963489
26,26,26,26,26,26,26,26,26,26,1-18558,19,1-18558,17,307,70,0,43,78.6211724281311,0.25609502419586677
386,386,386,386,386,386,386,386,386,386,1-4855,15,1-4855,11,22,4,0,8,5.603939056396484,0.25472450256347656
66,66,66,66,66,66,66,66,66,66,MLG48,9,MLG48,6,159,13,0,135,40.066471576690674,0.2519903872747841
13,13,13,13,13,13,13,13,13,13,1-1258,14,1-1258,15,435,93,0,69,106.83397436141968,0.24559534335958547
61,61,61,61,61,61,61,61,61,61,1-6927,18,1-6927,19,179,32,0,59,43.82905054092407,0.2448550309548831
281,281,281,281,281,281,281,281,281,281,1-3312,9,1-3312,6,36,8,0,4,8.801969528198242,0.24449915356106228
211,211,211,211,211,211,211,211,211,211,1-8042,18,1-8042,19,52,12,0,3,12.601477146148682,0.24233609896439773
404,404,404,404,404,404,404,404,404,404,1-20578,8,1-20578,5,19,4,0,3,4.601477146148682,0.24218300769203588
