Unnamed: 0,Unnamed: 0.1,Unnamed: 0.2,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
530,530,530,530,530,1-4847,12,9,1-4847,2,1,0,1,1.426993578672409,0.7134967893362045
462,462,462,462,462,1-1183,21,5,1-1183,45,27,0,7,29.988955050706863,0.6664212233490414
453,453,453,453,453,1-8397,3,10,1-8397,51,3,0,71,33.31654408574104,0.653265570308648
547,547,547,547,547,MLG67,4,8,MLG67,27,14,0,6,16.561961472034454,0.6134059804457205
519,519,519,519,519,1-4926,10,15,1-4926,4,2,0,1,2.426993578672409,0.6067483946681023
319,319,319,319,319,1-3584,6,14,1-3584,26,12,0,7,14.988955050706863,0.5764982711810333
474,474,474,474,474,1-8400,16,11,1-8400,33,19,0,0,19.0,0.5757575757575758
41,41,41,41,41,1-7509,20,23,1-7509,40,23,0,0,23.0,0.575
0,0,0,0,0,72-0103,8,22,72-0103,71,1,0,92,40.28340923786163,0.5673719610966427
466,466,466,466,466,1-5981,12,9,1-5981,28,13,0,4,14.707974314689636,0.5252847969532013
540,540,540,540,540,1-5413,21,5,1-5413,39,18,0,5,20.134967893362045,0.5162812280349243
251,251,251,251,251,1-7268,14,3,1-7268,70,31,0,10,35.26993578672409,0.5038562255246298
563,563,563,563,563,1-21192,3,10,1-21192,4,2,0,0,2.0,0.5
545,545,545,545,545,1-19567,18,21,1-19567,2,1,0,0,1.0,0.5
561,561,561,561,561,1-9455,2,20,1-9455,2,1,0,0,1.0,0.5
550,550,550,550,550,1-19568,11,2,1-19568,2,1,0,0,1.0,0.5
413,413,413,413,413,1-8314,8,22,1-8314,36,15,0,7,17.988955050706863,0.49969319585296845
232,232,232,232,232,1-18371,7,17,1-18371,120,58,0,3,59.28098073601723,0.4940081728001436
412,412,412,412,412,1-6858,5,1,1-6858,23,7,0,10,11.26993578672409,0.4899972081184387
544,544,544,544,544,1-5799,7,17,1-5799,7,3,0,1,3.426993578672409,0.4895705112389156
498,498,498,498,498,1-19915,15,7,1-19915,62,27,0,6,29.561961472034454,0.4768058301941041
443,443,443,443,443,1-3447,11,2,1-3447,110,43,0,21,51.96686515212059,0.4724260468374599
362,362,362,362,362,1-1462,9,6,1-1462,192,70,0,47,90.06869819760323,0.4691078031125168
142,142,142,142,142,P-16454,7,17,P-16454,8,2,0,4,3.7079743146896362,0.46349678933620453
463,463,463,463,463,1-1989,8,22,1-1989,46,20,0,3,21.280980736017227,0.4626300160003745
558,558,558,558,558,1-0055,23,16,1-0055,18,6,0,5,8.134967893362045,0.45194266074233586
404,404,404,404,404,1-4682,15,7,1-4682,16,7,0,0,7.0,0.4375
230,230,230,230,230,1-3089,7,17,1-3089,16,7,0,0,7.0,0.4375
428,428,428,428,428,1-2701,22,12,1-2701,61,13,0,32,26.66379451751709,0.43711138553306705
537,537,537,537,537,1-4494,22,12,1-4494,16,4,0,7,6.988955050706863,0.43680969066917896
286,286,286,286,286,1-3587,19,13,1-3587,46,18,0,4,19.707974314689636,0.4284342242323834
442,442,442,442,442,MLG11,15,7,MLG11,87,30,0,16,36.831897258758545,0.42335514090527065
473,473,473,473,473,1-9452,14,3,1-9452,16,5,0,4,6.707974314689636,0.41924839466810226
221,221,221,221,221,1-8023,21,5,1-8023,16,5,0,4,6.707974314689636,0.41924839466810226
256,256,256,256,256,1-9277,9,6,1-9277,48,17,0,7,19.988955050706863,0.41643656355639297
501,501,501,501,501,1-18487,16,11,1-18487,23,7,0,6,9.561961472034454,0.4157374553058458
418,418,418,418,418,1-6216,2,20,1-6216,45,0,0,43,18.36072388291359,0.40801608628696867
179,179,179,179,179,1-4052,16,11,1-4052,13,4,0,3,5.280980736017227,0.40622928738594055
510,510,510,510,510,1-3206,12,9,1-3206,45,13,0,11,17.6969293653965,0.3932650970088111
526,526,526,526,526,1-5002,3,10,1-5002,45,10,0,18,17.685884416103363,0.39301965369118586
255,255,255,255,255,1-9946,13,18,1-9946,12,3,0,4,4.707974314689636,0.39233119289080304
377,377,377,377,377,1-7213,3,10,1-7213,23,0,0,21,8.96686515212059,0.3898637022661126
