Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,141,141,141,MLG45,20,2,MLG45,70,25,1,6,1025.6842012554407,14.652631446506296
4,4,4,4,4,4,4,4,4,4,4,4,1-6240,20,2,1-6240,698,76,1,24,1078.7368050217628,1.5454682020369095
454,454,454,454,454,454,454,454,454,454,454,454,1-0272,9,6,1-0272,111,53,0,18,55.052603766322136,0.4959694033001994
399,399,399,399,399,399,399,399,399,399,399,399,MLG60,15,15,MLG60,47,21,0,3,21.342100627720356,0.45408724739830547
427,427,427,427,427,427,427,427,427,427,427,427,1-9379,8,21,1-9379,58,24,0,0,24.0,0.41379310344827586
388,388,388,388,388,388,388,388,388,388,388,388,MLG49,13,7,MLG49,185,74,0,12,75.36840251088142,0.4073967703290888
302,302,302,302,302,302,302,302,302,302,302,302,MLG51,13,7,MLG51,248,95,0,51,100.81571067124605,0.40651496238405666
166,166,166,166,166,166,166,166,166,166,166,166,MLG40,14,9,MLG40,51,19,0,15,20.71050313860178,0.40608829683532904
268,268,268,268,268,268,268,268,268,268,268,268,MLG44,14,9,MLG44,59,22,0,12,23.368402510881424,0.3960746188284987
353,353,353,353,353,353,353,353,353,353,353,353,MLG50,7,4,MLG50,319,119,0,55,125.27184484153986,0.3927017079672096
217,217,217,217,217,217,217,217,217,217,217,217,1-9630,7,4,1-9630,33,12,0,8,12.912268340587616,0.3912808588056853
282,282,282,282,282,282,282,282,282,282,282,282,1-1608,4,5,1-1608,307,107,0,64,114.29814672470093,0.37230666685570335
68,68,68,68,68,68,68,68,68,68,68,68,1-7845,13,21,1-7845,36,13,0,0,13.0,0.3611111111111111
443,443,443,443,443,443,443,443,443,443,443,443,1-3447,8,21,1-3447,110,38,0,0,38.0,0.34545454545454546
332,332,332,332,332,332,332,332,332,332,332,332,MLG78,20,2,MLG78,80,27,0,1,27.114033542573452,0.3389254192821681
327,327,327,327,327,327,327,327,327,327,327,327,P-16616,8,9,P-16616,28,9,0,4,9.456134170293808,0.3377190775104931
483,483,483,483,483,483,483,483,483,483,483,483,1-9491,20,2,1-9491,80,26,0,5,26.57016771286726,0.33212709641084076
462,462,462,462,462,462,462,462,462,462,462,462,1-1183,13,7,1-1183,45,8,0,56,14.385878384113312,0.31968618631362916
143,143,143,143,143,143,143,143,143,143,143,143,1-8928,16,11,1-8928,39,12,0,3,12.342100627720356,0.3164641186594963
149,149,149,149,149,149,149,149,149,149,149,149,MLG58,13,7,MLG58,71,20,0,16,21.824536681175232,0.30738784057993285
199,199,199,199,199,199,199,199,199,199,199,199,MLG39,8,21,MLG39,23,7,0,0,7.0,0.30434782608695654
389,389,389,389,389,389,389,389,389,389,389,389,1-0278,8,21,1-0278,79,24,0,0,24.0,0.3037974683544304
544,544,544,544,544,544,544,544,544,544,544,544,1-5799,8,3,1-5799,7,2,0,1,2.114033542573452,0.30200479179620743
463,463,463,463,463,463,463,463,463,463,463,463,1-1989,19,9,1-1989,46,9,0,41,13.675375245511532,0.2972907662067724
433,433,433,433,433,433,433,433,433,433,433,433,1-5654,4,2,1-5654,15,4,0,2,4.228067085146904,0.2818711390097936
123,123,123,123,123,123,123,123,123,123,123,123,MLG55,1,14,MLG55,92,21,0,42,25.789408788084984,0.28031966074005416
300,300,300,300,300,300,300,300,300,300,300,300,1-4020,17,13,1-4020,37,10,0,3,10.342100627720356,0.27951623318163127
153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,2,1-1350,195,51,0,22,53.508737936615944,0.2744037842903382
346,346,346,346,346,346,346,346,346,346,346,346,MLG32,14,9,MLG32,52,13,0,11,14.254368968307972,0.2741224801597687
91,91,91,91,91,91,91,91,91,91,91,91,72-12171,14,2,72-12171,19,5,0,1,5.114033542573452,0.26915966013544484
331,331,331,331,331,331,331,331,331,331,331,331,MLG75,15,15,MLG75,185,46,0,26,48.96487210690975,0.26467498436167436
246,246,246,246,246,246,246,246,246,246,246,246,MLG56,4,5,MLG56,511,117,0,143,133.30679658800364,0.26087435731507563
404,404,404,404,404,404,404,404,404,404,404,404,1-4682,16,15,1-4682,16,4,0,1,4.114033542573452,0.25712709641084075
340,340,340,340,340,340,340,340,340,340,340,340,1-3362,9,6,1-3362,117,26,0,27,29.078905649483204,0.24853765512378806
500,500,500,500,500,500,500,500,500,500,500,500,1-0292,17,13,1-0292,99,24,0,5,24.57016771286726,0.24818351225118446
251,251,251,251,251,251,251,251,251,251,251,251,1-7268,6,12,1-7268,70,15,0,18,17.052603766322136,0.24360862523317336
203,203,203,203,203,203,203,203,203,203,203,203,1-1250,18,3,1-1250,34,7,0,11,8.254368968307972,0.24277555789141095
128,128,128,128,128,128,128,128,128,128,128,128,1-19286,13,7,1-19286,40,9,0,6,9.684201255440712,0.2421050313860178
124,124,124,124,124,124,124,124,124,124,124,124,1-8427,20,2,1-8427,189,45,0,3,45.342100627720356,0.23990529432656274
31,31,31,31,31,31,31,31,31,31,31,31,1-8938,11,10,1-8938,30,7,0,1,7.114033542573452,0.23713445141911507
