Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,1-1258,6,3,1-1258,435,100,0,263,359.5732373595238,0.8266051433552271
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,9,4,1-5775,244,90,0,93,181.78825503587723,0.7450338321142509
333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,1-11329,2,21,1-11329,14,4,0,6,9.921822905540466,0.7087016361100333
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,15,2,1-5002,45,27,0,4,30.947881937026978,0.6877307097117106
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,1-6974,21,17,1-6974,207,25,0,110,133.56675326824188,0.6452500157886081
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,6,3,1-1570,142,30,0,60,89.21822905540466,0.6282973877141174
260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,1-0129,6,3,1-0129,142,47,0,42,88.45276033878326,0.6229067629491779
232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,1-18371,7,10,1-18371,120,17,0,58,74.24428808689117,0.6187024007240931
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,17,6,1-8627,25,10,0,5,14.934852421283722,0.5973940968513489
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,1-5043,6,3,1-5043,123,17,0,57,73.25731760263443,0.5955879479888978
384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,1-9270,6,3,1-9270,128,37,0,39,75.49184888601303,0.5897800694219768
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,5,8,MLG59,71,10,0,32,41.58305549621582,0.5856768379748707
396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,1-9963,6,3,1-9963,116,21,0,47,67.38761276006699,0.580927696207474
324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,1-6734,6,3,1-6734,44,9,0,16,24.79152774810791,0.5634438124569979
365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,MLG48,10,7,MLG48,159,18,0,71,88.07490438222885,0.553930216240433
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,17,6,1-1989,46,21,0,4,24.947881937026978,0.5423452595005864
378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,1-6561,6,3,1-6561,65,13,0,22,34.71335065364838,0.5340515485176673
380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,1-7004,8,1,1-7004,381,38,0,161,196.90224796533585,0.5168038004339524
488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,1-11350,13,16,1-11350,100,14,0,38,51.50487840175629,0.5150487840175628
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,15,2,MLG50,319,95,0,68,162.11399292945862,0.5081943352020646
473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,2,21,1-9452,16,2,0,6,7.921822905540466,0.49511393159627914
430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,1-3141,6,3,1-3141,136,16,0,52,67.32246518135071,0.4950181263334611
358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,1-9831,18,14,1-9831,132,11,0,55,65.28337663412094,0.4945710351069768
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,MLG44,4,12,MLG44,59,5,0,24,28.687291622161865,0.48622528173155705
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,1,15,MLG65,201,14,0,84,96.90552067756653,0.4821170182963509
363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,1-10785,6,3,1-10785,279,48,0,87,133.86643213033676,0.4798080004671568
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,1,15,1-2382,139,41,0,26,66.66123259067535,0.4795772128825565
413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,1-8314,18,5,1-8314,36,16,0,1,16.986970484256744,0.471860291229354
