Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
141,141,141,141,141,141,141,141,141,MLG45,20,11,MLG45,70,25,1,11,1029.0507868528366,14.700725526469094
4,4,4,4,4,4,4,4,4,1-6240,20,11,1-6240,698,70,1,60,1092.0952010154724,1.5646063051797598
399,399,399,399,399,399,399,399,399,MLG60,15,5,MLG60,47,27,0,9,30.314280152320862,0.6449846840919332
322,322,322,322,322,322,322,322,322,1-0296,18,12,1-0296,41,7,0,38,20.993627309799194,0.5120396904829072
470,470,470,470,470,470,470,470,470,1-1204,2,10,1-1204,39,7,0,33,19.152360558509827,0.49108616816691864
423,423,423,423,423,423,423,423,423,1-7122,13,20,1-7122,197,17,0,197,89.54591000080109,0.45454776650152834
268,268,268,268,268,268,268,268,268,MLG44,14,7,MLG44,59,22,0,13,26.787293553352356,0.45402192463309077
166,166,166,166,166,166,166,166,166,MLG40,14,7,MLG40,51,19,0,9,22.314280152320862,0.4375349049474679
443,443,443,443,443,443,443,443,443,1-3447,8,13,1-3447,110,38,0,26,47.57458710670471,0.4324962464245883
462,462,462,462,462,462,462,462,462,1-1183,13,20,1-1183,45,3,0,43,18.834894061088562,0.4185532013575236
394,394,394,394,394,394,394,394,394,1-2423,3,18,1-2423,79,9,0,64,32.568214416503906,0.41225587868992286
483,483,483,483,483,483,483,483,483,1-9491,20,11,1-9491,80,26,0,14,31.15554690361023,0.38944433629512787
300,300,300,300,300,300,300,300,300,1-4020,17,15,1-4020,37,11,0,9,14.314280152320862,0.3868724365492125
457,457,457,457,457,457,457,457,457,1-8503,11,20,1-8503,16,5,0,3,6.104760050773621,0.3815475031733513
353,353,353,353,353,353,353,353,353,MLG50,7,9,MLG50,319,109,0,28,119.31109380722046,0.37401596804771303
346,346,346,346,346,346,346,346,346,MLG32,14,7,MLG32,52,13,0,17,19.26030695438385,0.3703905183535356
345,345,345,345,345,345,345,345,345,1-1131,3,18,1-1131,138,36,0,40,50.73013401031494,0.3676096667414126
298,298,298,298,298,298,298,298,298,1-7019,20,11,1-7019,107,22,0,44,38.203147411346436,0.357038760853705
464,464,464,464,464,464,464,464,464,1-10060,20,8,1-10060,36,4,0,24,12.838080406188965,0.35661334461636013
327,327,327,327,327,327,327,327,327,P-16616,8,7,P-16616,28,9,0,2,9.736506700515747,0.34773238216127667
332,332,332,332,332,332,332,332,332,MLG78,20,11,MLG78,80,27,0,2,27.736506700515747,0.3467063337564468
558,558,558,558,558,558,558,558,558,1-0055,20,15,1-0055,18,4,0,6,6.209520101547241,0.3449733389748467
234,234,234,234,234,234,234,234,234,MLG29,11,6,MLG29,164,34,0,60,56.09520101547241,0.3420439086309293
251,251,251,251,251,251,251,251,251,1-7268,6,16,1-7268,70,13,0,29,23.679347157478333,0.3382763879639762
414,414,414,414,414,414,414,414,414,1-8285,8,13,1-8285,72,21,0,9,24.314280152320862,0.3376983354489009
485,485,485,485,485,485,485,485,485,1-5980,8,6,1-5980,29,5,0,13,9.787293553352356,0.33749288115008125
385,385,385,385,385,385,385,385,385,1-6974,19,22,1-6974,207,0,0,186,68.49512314796448,0.33089431472446607
526,526,526,526,526,526,526,526,526,1-5002,11,6,1-5002,45,6,0,24,14.838080406188965,0.32973512013753253
153,153,153,153,153,153,153,153,153,1-1350,20,11,1-1350,195,51,0,36,64.25712060928345,0.3295236954322228
331,331,331,331,331,331,331,331,331,MLG75,15,5,MLG75,185,56,0,13,60.787293553352356,0.328579965153256
174,174,174,174,174,174,174,174,174,MLG38,8,13,MLG38,77,21,0,11,25.05078685283661,0.32533489419268324
392,392,392,392,392,392,392,392,392,1-9609,11,20,1-9609,25,5,0,8,7.946026802062988,0.31784107208251955
499,499,499,499,499,499,499,499,499,1-8627,20,11,1-8627,25,5,0,8,7.946026802062988,0.31784107208251955
305,305,305,305,305,305,305,305,305,1-7866,2,12,1-7866,318,68,0,87,100.038041472435,0.31458503607683963
463,463,463,463,463,463,463,463,463,1-1989,19,22,1-1989,46,0,0,39,14.361880660057068,0.31221479695776233
313,313,313,313,313,313,313,313,313,1-7521,1,14,1-7521,10,2,0,3,3.1047600507736206,0.31047600507736206
191,191,191,191,191,191,191,191,191,1-8328,2,12,1-8328,114,27,0,22,35.10157370567322,0.30790854127783523
179,179,179,179,179,179,179,179,179,1-4052,7,1,1-4052,13,4,0,0,4.0,0.3076923076923077
81,81,81,81,81,81,81,81,81,1-7770,20,11,1-7770,11,3,0,1,3.3682533502578735,0.30620485002344305
161,161,161,161,161,161,161,161,161,MLG41,14,7,MLG41,66,15,0,14,20.15554690361023,0.3053870742971247
91,91,91,91,91,91,91,91,91,72-12171,14,11,72-12171,19,5,0,2,5.736506700515747,0.3019214052903025
413,413,413,413,413,413,413,413,413,1-8314,16,17,1-8314,36,2,0,24,10.838080406188965,0.3010577890608046
102,102,102,102,102,102,102,102,102,1-3564,2,12,1-3564,41,9,0,9,12.314280152320862,0.3003482963980698
186,186,186,186,186,186,186,186,186,72-11994,1,14,72-11994,8,2,0,1,2.3682533502578735,0.2960316687822342
147,147,147,147,147,147,147,147,147,1-17657,2,12,1-17657,8,2,0,1,2.3682533502578735,0.2960316687822342
