Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
505,1-4747,17,11,1-4747,25,4,0,1,4.29574790596962,0.1718299162387848
205,1-8018,7,13,1-8018,58,7,0,10,9.957479059696198,0.1716806734430379
30,1-8418,17,11,1-8418,46,7,0,3,7.887243717908859,0.1714618199545404
345,1-1131,3,17,1-1131,138,17,0,22,23.506453931331635,0.17033662269080896
171,1-8100,11,7,1-8100,19,2,0,4,3.182991623878479,0.16752587494097257
445,1-6538,8,9,1-6538,44,5,0,8,7.365983247756958,0.1674087101762945
549,1-4842,11,7,1-4842,6,1,0,0,1.0,0.16666666666666666
134,1-9465,14,14,1-9465,18,3,0,0,3.0,0.16666666666666666
364,1-7682,10,6,1-7682,141,9,0,49,23.491647392511368,0.16660742831568345
168,1-9655,15,13,1-9655,27,3,0,5,4.478739529848099,0.16587924184622588
133,1-8576,6,8,1-8576,55,7,0,7,9.070235341787338,0.16491336985067886
485,1-5980,19,12,1-5980,29,3,0,6,4.7744874358177185,0.16463749778681788
369,1-6594,15,5,1-6594,70,5,0,22,11.506453931331635,0.16437791330473764
4,1-6240,10,6,1-6240,698,71,0,147,114.4749421775341,0.16400421515406033
333,1-11329,14,14,1-11329,14,2,0,1,2.2957479059696198,0.16398199328354426
526,1-5002,1,18,1-5002,45,5,0,8,7.365983247756958,0.1636885166168213
95,1-3312,15,1,1-3312,36,5,0,3,5.887243717908859,0.16353454771969053
391,MLG30,13,4,MLG30,208,19,0,50,33.78739529848099,0.16243940047346628
238,1-9855,18,5,1-9855,8,1,0,1,1.2957479059696198,0.16196848824620247
326,1-8826,11,7,1-8826,123,16,0,13,19.844722777605057,0.16133920957402484
220,MLG73,15,5,MLG73,10,1,0,2,1.5914958119392395,0.15914958119392394
438,MLG10,18,10,MLG10,60,6,0,12,9.548974871635437,0.15914958119392394
156,1-8634,1,18,1-8634,10,1,0,2,1.5914958119392395,0.15914958119392394
388,MLG49,1,18,MLG49,185,11,0,62,29.336370170116425,0.1585749738925212
291,MLG02,13,4,MLG02,320,26,0,83,50.54707619547844,0.15795961311087012
241,1-19448,3,17,1-19448,45,5,0,7,7.070235341787338,0.15711634092860752
377,1-7213,19,12,1-7213,23,3,0,2,3.5914958119392395,0.1561519918234452
193,1-9553,7,13,1-9553,23,3,0,2,3.5914958119392395,0.1561519918234452
475,1-18234,1,18,1-18234,43,4,0,9,6.661731153726578,0.15492398031922275
210,1-7842,2,22,1-7842,21,0,0,11,3.2532269656658173,0.15491556979361035
558,1-0055,10,6,1-0055,18,1,0,6,2.7744874358177185,0.15413819087876213
435,1-9610,8,9,1-9610,49,4,0,12,7.548974871635437,0.15406071166602933
77,1-2153,17,11,1-2153,13,2,0,0,2.0,0.15384615384615385
242,1-20791,12,1,1-20791,13,2,0,0,2.0,0.15384615384615385
386,MLG68,14,14,MLG68,642,79,0,65,98.22361388802528,0.15299628331468113
416,1-18203,5,20,1-18203,29,0,0,15,4.436218589544296,0.1529730548118723
232,1-18371,8,9,1-18371,120,8,0,35,18.35117670893669,0.15292647257447242
380,1-7004,11,7,1-7004,381,46,0,41,58.12566414475441,0.1525607982801953
494,1-3265,15,3,1-3265,19,2,0,3,2.8872437179088593,0.15196019567941366
379,1-4640,9,15,1-4640,87,7,0,21,13.210706025362015,0.15184719569381627
102,1-3564,6,8,1-3564,41,5,0,4,6.182991623878479,0.15080467375313364
361,1-0008,16,3,1-0008,230,3,0,107,34.64502593874931,0.15063054755977962
368,1-5197,12,1,1-5197,72,9,0,6,10.774487435817719,0.14964565883080164
413,1-8314,3,17,1-8314,36,3,0,8,5.365983247756958,0.14905509021547106
483,1-9491,3,17,1-9491,80,6,0,20,11.914958119392395,0.14893697649240495
530,1-4847,5,20,1-4847,2,0,0,1,0.29574790596961975,0.14787395298480988
186,72-11994,2,22,72-11994,8,0,0,4,1.182991623878479,0.14787395298480988
460,1-7993,5,20,1-7993,24,0,0,12,3.548974871635437,0.14787395298480988
280,1-7608,13,24,1-7608,4,0,0,2,0.5914958119392395,0.14787395298480988
492,1-6028,2,22,1-6028,2,0,0,1,0.29574790596961975,0.14787395298480988
159,1-10696,2,22,1-10696,24,0,0,12,3.548974871635437,0.14787395298480988
519,1-4926,2,22,1-4926,4,0,0,2,0.5914958119392395,0.14787395298480988
231,1-8450,14,14,1-8450,52,5,0,9,7.661731153726578,0.1473409837255111
437,1-6980,5,20,1-6980,128,0,0,63,18.632118076086044,0.14556342246942222
8,1-8181,19,12,1-8181,30,2,0,8,4.365983247756958,0.14553277492523192
536,1-9971,10,10,1-9971,15,1,0,4,2.182991623878479,0.14553277492523192
408,MLG53,17,11,MLG53,91,12,0,4,13.182991623878479,0.14486803982284044
458,1-7182,10,6,1-7182,22,2,0,4,3.182991623878479,0.14468143744902176
160,1-19813,17,11,1-19813,20,2,0,3,2.8872437179088593,0.14436218589544297
192,1-9770,14,18,1-9770,50,6,0,4,7.182991623878479,0.14365983247756958
404,1-4682,17,12,1-4682,16,2,0,1,2.2957479059696198,0.14348424412310123
258,1-9516,9,15,1-9516,76,7,0,13,10.844722777605057,0.14269372075796127
314,1-3139,9,15,1-3139,93,7,0,21,13.210706025362015,0.14205060242324746
36,1-2714,6,8,1-2714,61,6,0,9,8.661731153726578,0.14199559268404227
383,1-8551,11,7,1-8551,38,3,0,8,5.365983247756958,0.14121008546728836
1,1-9185,10,6,1-9185,31,2,0,8,4.365983247756958,0.14083816928248252
86,1-9345,15,5,1-9345,47,6,0,2,6.5914958119392395,0.14024459174338808
421,1-8398,18,10,1-8398,54,1,0,22,7.5064539313316345,0.139008406135771
256,1-9277,9,15,1-9277,48,4,0,9,6.661731153726578,0.13878606570263705
109,1-9768,8,9,1-9768,241,28,0,16,32.731966495513916,0.13581728836312829
173,1-9588,11,7,1-9588,14,1,0,3,1.8872437179088593,0.13480312270777567
336,1-1827,11,7,1-1827,24,2,0,4,3.182991623878479,0.13262465099493662
506,1-6227,1,18,1-6227,52,0,0,23,6.802201837301254,0.1308115737942549
274,1-0033,6,8,1-0033,10,1,0,1,1.2957479059696198,0.12957479059696198
538,1-9576,15,5,1-9576,10,1,0,1,1.2957479059696198,0.12957479059696198
553,1-5555,8,9,1-5555,10,1,0,1,1.2957479059696198,0.12957479059696198
172,1-8573,12,1,1-8573,184,4,0,66,23.519361793994904,0.12782261844562448
33,1-7991,7,13,1-7991,46,2,0,13,5.844722777605057,0.12705919081750122
67,1-7481,9,15,1-7481,33,3,0,4,4.182991623878479,0.1267573219357115
411,MLG15,2,22,MLG15,105,0,0,45,13.308655768632889,0.12674910255840846
328,1-9497,19,12,1-9497,150,14,0,16,18.731966495513916,0.12487977663675943
197,1-8646,19,3,1-8646,20,1,0,5,2.4787395298480988,0.12393697649240494
528,1-6718,15,18,1-6718,20,1,0,5,2.4787395298480988,0.12393697649240494
286,1-3587,3,17,1-3587,46,3,0,9,5.661731153726578,0.1230811120375343
403,1-1770,17,18,1-1770,35,4,0,1,4.29574790596962,0.12273565445627485
518,1-1850,11,17,1-1850,30,1,0,9,3.6617311537265778,0.12205770512421926
96,MLG37,16,3,MLG37,116,12,0,7,14.070235341787338,0.1212951322567874
97,1-9237,7,2,1-9237,38,4,0,2,4.5914958119392395,0.12082883715629578
461,1-9651,1,18,1-9651,38,4,0,2,4.5914958119392395,0.12082883715629578
343,1-4319,12,1,1-4319,163,17,0,9,19.661731153726578,0.12062411750752501
208,1-10468,12,1,1-10468,549,59,0,24,66.09794974327087,0.12039699406788866
176,1-8042,2,22,1-8042,52,0,0,21,6.210706025362015,0.1194366543338849
354,1-9417,12,1,1-9417,76,7,0,7,9.070235341787338,0.11934520186562288
366,1-5163,20,2,1-5163,16,1,0,3,1.8872437179088593,0.1179527323693037
373,1-6918,19,12,1-6918,43,5,0,0,5.0,0.11627906976744186
466,1-5981,20,22,1-5981,28,0,0,11,3.2532269656658173,0.11618667734520775
257,1-9504,13,4,1-9504,30,2,0,5,3.4787395298480988,0.11595798432826995
37,1-5508,10,6,1-5508,38,2,0,8,4.365983247756958,0.11489429599360416
272,1-1570,5,20,1-1570,142,0,0,55,16.266134828329086,0.11455024526992315
289,1-1592,9,15,1-1592,32,1,0,9,3.6617311537265778,0.11442909855395555
151,1-9870,3,17,1-9870,27,1,0,7,3.0702353417873383,0.11371242006619771
265,1-11330,18,10,1-11330,14,1,0,2,1.5914958119392395,0.11367827228137425
122,MLG42,10,9,MLG42,14,1,0,2,1.5914958119392395,0.11367827228137425
489,1-9578,16,3,1-9578,42,3,0,6,4.7744874358177185,0.11367827228137425
310,1-4855,10,6,1-4855,22,1,0,5,2.4787395298480988,0.11266997862945903
