Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,MLG40,1,MLG40,3,51,8,1,0,1008.0,19.764705882352942
168,168,168,168,168,168,168,168,168,MLG45,8,MLG45,5,70,17,1,16,1020.8915131092072,14.584164472988673
32,32,32,32,32,32,32,32,32,1-7874,1,1-7874,19,258,15,1,0,1015.0,3.934108527131783
8,8,8,8,8,8,8,8,8,1-10468,8,1-10468,5,549,56,1,156,1093.9422528147697,1.9926088393711654
203,203,203,203,203,203,203,203,203,1-9938,9,1-9938,6,55,18,0,10,20.43219569325447,0.3714944671500813
228,228,228,228,228,228,228,228,228,MLG60,5,MLG60,2,47,16,0,4,16.97287827730179,0.3611250697298253
112,112,112,112,112,112,112,112,112,1-3447,7,1-3447,4,110,34,0,21,39.10761095583439,0.3555237359621308
171,171,171,171,171,171,171,171,171,1-9645,15,1-9645,9,69,4,0,81,23.700785115361214,0.3434896393530611
165,165,165,165,165,165,165,165,165,MLG59,8,MLG59,5,71,18,0,22,23.350830525159836,0.3288849369740822
34,34,34,34,34,34,34,34,34,MLG51,18,MLG51,16,248,70,0,45,80.94488061964512,0.32639064765985937
441,441,441,441,441,441,441,441,441,1-9997,10,1-9997,7,16,4,0,5,5.216097846627235,0.3260061154142022
242,242,242,242,242,242,242,242,242,1-3206,15,1-3206,13,45,12,0,10,14.43219569325447,0.32071545985009936
123,123,123,123,123,123,123,123,123,1-11350,5,1-11350,2,100,28,0,10,30.43219569325447,0.3043219569325447
85,85,85,85,85,85,85,85,85,1-1131,13,1-1131,12,138,26,0,64,41.56605243682861,0.3012032785277436
394,394,394,394,394,394,394,394,394,1-9697,2,1-9697,20,20,5,0,4,5.972878277301788,0.2986439138650894
239,239,239,239,239,239,239,239,239,1-5002,10,1-5002,7,45,10,0,14,13.40507397055626,0.297890532679028
81,81,81,81,81,81,81,81,81,1-7682,14,1-7682,11,141,27,0,55,40.37707631289959,0.2863622433538978
93,93,93,93,93,93,93,93,93,MLG52,13,MLG52,12,125,30,0,20,34.86439138650894,0.27891513109207156
146,146,146,146,146,146,146,146,146,MLG78,17,MLG78,15,80,17,0,21,22.10761095583439,0.27634513694792984
26,26,26,26,26,26,26,26,26,1-18558,19,1-18558,17,307,78,0,27,84.56692837178707,0.27546230739995786
125,125,125,125,125,125,125,125,125,1-1390,18,1-1390,16,98,23,0,14,26.40507397055626,0.26943953031179857
345,345,345,345,345,345,345,345,345,1-3584,10,1-3584,17,26,5,0,8,6.945756554603577,0.2671444828693683
233,233,233,233,233,233,233,233,233,1-3587,15,1-3587,13,46,11,0,5,12.216097846627235,0.2655673444918964
43,43,43,43,43,43,43,43,43,MLG14,5,MLG14,2,232,56,0,18,60.37795224785805,0.26024979417180194
57,57,57,57,57,57,57,57,57,MLG75,11,MLG75,9,185,41,0,28,47.81014794111252,0.2584332321141217
256,256,256,256,256,256,256,256,256,1-0296,6,1-0296,3,41,5,0,23,10.594050094485283,0.2583914657191532
189,189,189,189,189,189,189,189,189,MLG10,2,MLG10,20,60,12,0,14,15.40507397055626,0.2567512328426043
77,77,77,77,77,77,77,77,77,1-9674,9,1-9674,6,144,34,0,12,36.918634831905365,0.2563794085548984
54,54,54,54,54,54,54,54,54,1-1350,14,1-1350,11,195,34,0,64,49.56605243682861,0.25418488429142877
195,195,195,195,195,195,195,195,195,1-9379,11,1-9379,9,58,12,0,11,14.675415262579918,0.2530244010789641
297,297,297,297,297,297,297,297,297,1-9630,11,1-9630,14,33,8,0,1,8.243219569325447,0.24979453240380142
5,5,5,5,5,5,5,5,5,MLG57,18,MLG57,16,629,112,0,182,156.26596161723137,0.2484355510607812
22,22,22,22,22,22,22,22,22,MLG50,17,MLG50,15,319,43,0,144,78.02361798286438,0.24458814414691027
71,71,71,71,71,71,71,71,71,1-4417,20,1-4417,18,151,21,0,65,36.80927200615406,0.24377001328578848
545,545,545,545,545,545,545,545,545,1-4926,20,1-4926,19,4,0,0,4,0.9728782773017883,0.24321956932544708
13,13,13,13,13,13,13,13,13,1-1258,17,1-1258,15,435,89,0,69,105.78215028345585,0.2431773569734617
154,154,154,154,154,154,154,154,154,1-9417,9,1-9417,6,76,15,0,14,18.40507397055626,0.24217202592837184
91,91,91,91,91,91,91,91,91,1-9270,16,1-9270,14,128,23,0,32,30.783026218414307,0.24049239233136177
182,182,182,182,182,182,182,182,182,1-6647,6,1-6647,9,62,10,0,20,14.864391386508942,0.23974824816949905
354,354,354,354,354,354,354,354,354,1-7530,15,1-7530,13,25,5,0,4,5.972878277301788,0.23891513109207152
122,122,122,122,122,122,122,122,122,1-9404,9,1-9404,6,100,19,0,20,23.86439138650894,0.23864391386508943
243,243,243,243,243,243,243,243,243,1-19166,15,1-19166,13,45,10,0,3,10.729658707976341,0.23843686017725202
147,147,147,147,147,147,147,147,147,1-2423,13,1-2423,12,79,17,0,7,18.70253698527813,0.2367409744971915
9,9,9,9,9,9,9,9,9,1-3523,6,1-3523,3,543,92,0,150,128.48293539881706,0.2366168239388896
247,247,247,247,247,247,247,247,247,1-6734,16,1-6734,14,44,7,0,14,10.40507397055626,0.23647895387627862
403,403,403,403,403,403,403,403,403,72-12171,19,72-12171,17,19,4,0,2,4.486439138650894,0.23612837571846812
320,320,320,320,320,320,320,320,320,1-18203,11,1-18203,9,29,1,0,24,6.83726966381073,0.2357679194417493
12,12,12,12,12,12,12,12,12,1-7024,11,1-7024,9,498,63,0,223,117.2379639595747,0.235417598312399
286,286,286,286,286,286,286,286,286,1-1770,17,1-1770,11,35,6,0,9,8.188976123929024,0.2339707463979721
425,425,425,425,425,425,425,425,425,1-0003,14,1-0003,11,17,3,0,4,3.9728782773017883,0.23369872219422283
401,401,401,401,401,401,401,401,401,1-8100,11,1-8100,9,19,2,0,10,4.432195693254471,0.233273457539709
84,84,84,84,84,84,84,84,84,1-2382,7,1-2382,4,139,25,0,30,32.29658707976341,0.23234954733642743
383,383,383,383,383,383,383,383,383,1-3521,14,1-3521,11,22,0,0,21,5.107610955834389,0.23216413435610858
450,450,450,450,450,450,450,450,450,1-11206,18,1-11206,14,14,3,0,1,3.243219569325447,0.23165854066610336
45,45,45,45,45,45,45,45,45,1-3596,7,1-3596,4,223,41,0,42,51.21522191166878,0.22966467224963577
338,338,338,338,338,338,338,338,338,1-3589,4,1-3589,1,27,3,0,13,6.161854401230812,0.22821682967521525
350,350,350,350,350,350,350,350,350,1-9609,20,1-9609,12,25,4,0,7,5.70253698527813,0.22810147941112519
373,373,373,373,373,373,373,373,373,1-8488,11,1-8488,9,23,5,0,1,5.243219569325447,0.22796606823154117
78,78,78,78,78,78,78,78,78,1-1570,16,1-1570,14,142,26,0,26,32.323708802461624,0.22763175213001144
234,234,234,234,234,234,234,234,234,1-10451,13,1-10451,12,46,4,0,26,10.323708802461624,0.2244284522274266
404,404,404,404,404,404,404,404,404,1-20578,8,1-20578,5,19,4,0,1,4.243219569325447,0.2233273457539709
80,80,80,80,80,80,80,80,80,1-0053,10,1-0053,7,142,25,0,26,31.323708802461624,0.2205894986088847
337,337,337,337,337,337,337,337,337,1-6532,11,1-6532,9,27,4,0,8,5.945756554603577,0.2202132057260584
94,94,94,94,94,94,94,94,94,1-1005,10,1-1005,7,125,18,0,39,27.485563203692436,0.21988450562953948
64,64,64,64,64,64,64,64,64,MLG29,10,MLG29,7,164,27,0,37,35.99912406504154,0.21950685405513135
418,418,418,418,418,418,418,418,418,1-17835,18,1-17835,16,17,3,0,3,3.7296587079763412,0.21939168870449066
422,422,422,422,422,422,422,422,422,1-7536,11,1-7536,9,17,3,0,3,3.7296587079763412,0.21939168870449066
439,439,439,439,439,439,439,439,439,1-4682,18,1-4682,16,16,3,0,2,3.486439138650894,0.21790244616568089
358,358,358,358,358,358,358,358,358,1-8627,14,1-8627,11,25,3,0,10,5.432195693254471,0.21728782773017882
11,11,11,11,11,11,11,11,11,MLG56,15,MLG56,13,511,94,0,67,110.29571114480495,0.21584287895265158
327,327,327,327,327,327,327,327,327,1-8988,5,1-8988,2,29,6,0,1,6.243219569325447,0.2152834334250154
347,347,347,347,347,347,347,347,347,1-7204,2,1-7204,20,26,0,0,23,5.594050094485283,0.21515577286481857
143,143,143,143,143,143,143,143,143,1-9286,14,1-9286,11,81,9,0,34,17.2694653570652,0.21320327601315062
115,115,115,115,115,115,115,115,115,1-8421,16,1-8421,14,109,21,0,9,23.188976123929024,0.21274290021953232
199,199,199,199,199,199,199,199,199,1-20167,10,1-20167,4,56,8,0,16,11.891513109207153,0.21234844837869918
299,299,299,299,299,299,299,299,299,MLG31,1,MLG31,19,33,7,0,0,7.0,0.21212121212121213
231,231,231,231,231,231,231,231,231,1-7991,17,1-7991,15,46,9,0,3,9.729658707976341,0.21151431973861612
