Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
145,145,145,145,145,145,145,145,145,145,145,145,1-9491,5,1-9491,10,80,10,1,23,1010.8272214606404,12.635340268258005
93,93,93,93,93,93,93,93,93,93,93,93,MLG52,5,MLG52,10,125,14,1,23,1014.8272214606404,8.118617771685123
299,299,299,299,299,299,299,299,299,299,299,299,MLG31,20,MLG31,6,33,12,0,8,12.28772920370102,0.3723554304151824
36,36,36,36,36,36,36,36,36,36,36,36,MLG64,12,MLG64,13,245,82,0,13,82.46755995601416,0.33660228553475163
212,212,212,212,212,212,212,212,212,212,212,212,MLG32,12,MLG32,13,52,16,0,10,16.359661504626274,0.3146088750889668
168,168,168,168,168,168,168,168,168,168,168,168,MLG45,4,MLG45,9,70,20,0,5,20.179830752313137,0.28828329646161627
85,85,85,85,85,85,85,85,85,85,85,85,1-1131,10,1-1131,12,138,39,0,11,39.3956276550889,0.28547556271803554
300,300,300,300,300,300,300,300,300,300,300,300,1-18709,11,1-18709,10,33,9,0,11,9.395627655088902,0.28471598954814853
166,166,166,166,166,166,166,166,166,166,166,166,MLG58,12,MLG58,13,71,19,0,11,19.3956276550889,0.2731778542970268
165,165,165,165,165,165,165,165,165,165,165,165,MLG59,4,MLG59,9,71,19,0,8,19.28772920370102,0.2716581577986059
332,332,332,332,332,332,332,332,332,332,332,332,P-16616,14,P-16616,16,28,7,0,10,7.359661504626274,0.2628450537366526
195,195,195,195,195,195,195,195,195,195,195,195,1-9379,4,1-9379,9,58,15,0,4,15.14386460185051,0.2611011138250088
174,174,174,174,174,174,174,174,174,174,174,174,MLG41,4,MLG41,9,66,17,0,5,17.179830752313137,0.2603004659441384
91,91,91,91,91,91,91,91,91,91,91,91,1-9270,12,1-9270,13,128,32,0,12,32.43159380555153,0.2533718266058713
278,278,278,278,278,278,278,278,278,278,278,278,1-7845,6,1-7845,3,36,8,0,9,8.323695354163647,0.23121375983787906
179,179,179,179,179,179,179,179,179,179,179,179,1-7467,12,1-7467,13,64,14,0,16,14.575458407402039,0.22774153761565685
215,215,215,215,215,215,215,215,215,215,215,215,MLG40,14,MLG40,16,51,11,0,8,11.28772920370102,0.22132802360198078
228,228,228,228,228,228,228,228,228,228,228,228,MLG60,18,MLG60,5,47,10,0,10,10.359661504626274,0.2204183298856654
267,267,267,267,267,267,267,267,267,267,267,267,1-5413,5,1-5413,10,39,8,0,16,8.575458407402039,0.21988354890774459
