Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
154,154,154,154,154,154,154,154,154,154,154,1-18994,6,12,1-18994,28,7,0,4,8.363935708999634,0.2987119896071298
225,225,225,225,225,225,225,225,225,225,225,1-9650,19,13,1-9650,25,4,0,10,7.4098392724990845,0.2963935708999634
446,446,446,446,446,446,446,446,446,446,446,1-3534,13,15,1-3534,279,62,0,60,82.4590356349945,0.2955520990501595
142,142,142,142,142,142,142,142,142,142,142,P-16454,16,17,P-16454,8,1,0,4,2.363935708999634,0.2954919636249542
562,562,562,562,562,562,562,562,562,562,562,1-0003,12,7,1-0003,17,4,0,3,5.022951781749725,0.2954677518676309
404,404,404,404,404,404,404,404,404,404,404,1-4682,2,9,1-4682,16,3,0,5,4.704919636249542,0.2940574772655964
123,123,123,123,123,123,123,123,123,123,123,MLG55,5,5,MLG55,92,15,0,35,26.934437453746796,0.2927656244972478
191,191,191,191,191,191,191,191,191,191,191,1-8328,19,8,1-8328,114,32,0,4,33.363935708999634,0.2926661027105231
554,554,554,554,554,554,554,554,554,554,554,1-10444,2,9,1-10444,8,2,0,1,2.3409839272499084,0.29262299090623856
147,147,147,147,147,147,147,147,147,147,147,1-17657,1,22,1-17657,8,2,0,1,2.3409839272499084,0.29262299090623856
451,451,451,451,451,451,451,451,451,451,451,1-4098,2,6,1-4098,16,4,0,2,4.681967854499817,0.29262299090623856
332,332,332,332,332,332,332,332,332,332,332,MLG78,6,12,MLG78,80,22,0,4,23.363935708999634,0.29204919636249543
497,497,497,497,497,497,497,497,497,497,497,1-8493,7,10,1-8493,38,7,0,12,11.091807126998901,0.2918896612368132
199,199,199,199,199,199,199,199,199,199,199,MLG39,14,2,MLG39,23,6,0,2,6.681967854499817,0.29052034149999206
427,427,427,427,427,427,427,427,427,427,427,1-9379,2,9,1-9379,58,11,0,17,16.796726763248444,0.28959873729738694
268,268,268,268,268,268,268,268,268,268,268,MLG44,6,12,MLG44,59,14,0,9,17.068855345249176,0.289302632970325
345,345,345,345,345,345,345,345,345,345,345,1-1131,12,14,1-1131,138,30,0,29,39.888533890247345,0.28904734703077783
514,514,514,514,514,514,514,514,514,514,514,1-11206,2,9,1-11206,14,3,0,3,4.022951781749725,0.287353698696409
355,355,355,355,355,355,355,355,355,355,355,1-9498,7,10,1-9498,64,16,0,7,18.38688749074936,0.28729511704295874
506,506,506,506,506,506,506,506,506,506,506,1-6227,7,10,1-6227,52,5,0,29,14.888533890247345,0.28631795942783356
168,168,168,168,168,168,168,168,168,168,168,1-9655,2,9,1-9655,27,5,0,8,7.727871417999268,0.2862174599258988
264,264,264,264,264,264,264,264,264,264,264,P-0009,16,17,P-0009,7,2,0,0,2.0,0.2857142857142857
357,357,357,357,357,357,357,357,357,357,357,1-4760,19,8,1-4760,40,10,0,4,11.363935708999634,0.2840983927249908
171,171,171,171,171,171,171,171,171,171,171,1-8100,7,10,1-8100,19,4,0,4,5.363935708999634,0.2823124057368228
25,25,25,25,25,25,25,25,25,25,25,1-9607,15,13,1-9607,19,4,0,4,5.363935708999634,0.2823124057368228
469,469,469,469,469,469,469,469,469,469,469,1-8578,3,20,1-8578,11,0,0,9,3.068855345249176,0.27898684956810693
322,322,322,322,322,322,322,322,322,322,322,1-0296,19,8,1-0296,41,8,0,10,11.409839272499084,0.2782887627438801
399,399,399,399,399,399,399,399,399,399,399,MLG60,16,17,MLG60,47,11,0,6,13.04590356349945,0.27757241624466916
423,423,423,423,423,423,423,423,423,423,423,1-7122,20,7,1-7122,197,14,0,119,54.577087342739105,0.27704105250121375
484,484,484,484,484,484,484,484,484,484,484,MLG31,16,17,MLG31,33,6,0,9,9.068855345249176,0.2748137983408841
161,161,161,161,161,161,161,161,161,161,161,MLG41,6,12,MLG41,66,15,0,9,18.068855345249176,0.27377053553407843
116,116,116,116,116,116,116,116,116,116,116,1-20047,4,11,1-20047,20,1,0,13,5.43279105424881,0.2716395527124405
114,114,114,114,114,114,114,114,114,114,114,1-7496,13,15,1-7496,246,44,0,66,66.50493919849396,0.2703452812946909
553,553,553,553,553,553,553,553,553,553,553,1-5555,14,2,1-5555,10,2,0,2,2.681967854499817,0.2681967854499817
441,441,441,441,441,441,441,441,441,441,441,1-19166,6,12,1-19166,45,11,0,3,12.022951781749725,0.267176706261105
209,209,209,209,209,209,209,209,209,209,209,1-9938,15,13,1-9938,55,3,0,34,14.593453526496887,0.2653355186635798
231,231,231,231,231,231,231,231,231,231,231,1-8450,2,9,1-8450,52,8,0,17,13.796726763248444,0.2653216685240085
174,174,174,174,174,174,174,174,174,174,174,MLG38,6,12,MLG38,77,17,0,10,20.409839272499084,0.2650628476947933
498,498,498,498,498,498,498,498,498,498,498,1-19915,10,4,1-19915,62,12,0,13,16.43279105424881,0.26504501700401306
61,61,61,61,61,61,61,61,61,61,61,1-7341,12,14,1-7341,110,8,0,62,29.141003489494324,0.2649182135408575
382,382,382,382,382,382,382,382,382,382,382,1-18558,7,10,1-18558,307,74,0,21,81.16066247224808,0.2643669787369644
122,122,122,122,122,122,122,122,122,122,122,MLG42,20,7,MLG42,14,3,0,2,3.681967854499817,0.26299770389284405
14,14,14,14,14,14,14,14,14,14,14,1-6098,4,11,1-6098,1327,237,0,318,345.4328888654709,0.2603111445858861
402,402,402,402,402,402,402,402,402,402,402,1-5744,1,22,1-5744,18,4,0,2,4.681967854499817,0.2601093252499898
282,282,282,282,282,282,282,282,282,282,282,1-1608,10,4,1-1608,307,40,0,114,78.87216770648956,0.25691259839247416
300,300,300,300,300,300,300,300,300,300,300,1-4020,8,16,1-4020,37,6,0,10,9.409839272499084,0.2543199803378131
52,52,52,52,52,52,52,52,52,52,52,72-12387,8,16,72-12387,71,2,0,47,18.026244580745697,0.2538907687428971
144,144,144,144,144,144,144,144,144,144,144,1-7744,12,3,1-7744,37,7,0,7,9.38688749074936,0.2536996619121448
533,533,533,533,533,533,533,533,533,533,533,1-7530,16,17,1-7530,25,6,0,1,6.3409839272499084,0.25363935708999635
336,336,336,336,336,336,336,336,336,336,336,1-1827,20,7,1-1827,24,3,0,9,6.068855345249176,0.25286897271871567
315,315,315,315,315,315,315,315,315,315,315,1-1769,11,6,1-1769,89,16,0,19,22.47869461774826,0.25256960244660964
283,283,283,283,283,283,283,283,283,283,283,1-3535,17,1,1-3535,315,60,0,57,79.43608385324478,0.25217804397855487
436,436,436,436,436,436,436,436,436,436,436,1-5161,20,7,1-5161,12,2,0,3,3.0229517817497253,0.2519126484791438
