Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
215,215,215,215,215,215,215,215,215,MLG40,1,MLG40,3,51,8,1,0,1008.0,19.764705882352942
168,168,168,168,168,168,168,168,168,MLG45,8,MLG45,5,70,18,1,16,1027.365023612976,14.676643194471087
32,32,32,32,32,32,32,32,32,1-7874,1,1-7874,19,258,15,1,0,1015.0,3.934108527131783
8,8,8,8,8,8,8,8,8,1-10468,8,1-10468,5,549,57,1,156,1148.3089802265167,2.0916374867513965
171,171,171,171,171,171,171,171,171,1-9645,11,1-9645,9,69,5,0,57,38.362896621227264,0.5559840090032937
267,267,267,267,267,267,267,267,267,1-5413,18,1-5413,16,39,10,0,14,18.194395661354065,0.46652296567574525
85,85,85,85,85,85,85,85,85,1-1131,13,1-1131,12,138,28,0,62,64.28946650028229,0.4658656992774079
165,165,165,165,165,165,165,165,165,MLG59,8,MLG59,5,71,20,0,22,32.8769074678421,0.4630550347583395
256,256,256,256,256,256,256,256,256,1-0296,6,1-0296,3,41,5,0,23,18.462221443653107,0.4502980839915392
203,203,203,203,203,203,203,203,203,1-9938,9,1-9938,6,55,18,0,10,23.853139758110046,0.43369345014745536
81,81,81,81,81,81,81,81,81,1-7682,14,1-7682,11,141,27,0,56,59.77758264541626,0.42395448684692383
112,112,112,112,112,112,112,112,112,1-3447,7,1-3447,4,110,34,0,21,46.2915934920311,0.4208326681093736
239,239,239,239,239,239,239,239,239,1-5002,10,1-5002,7,45,9,0,16,18.365023612976074,0.40811163584391275
12,12,12,12,12,12,12,12,12,1-7024,11,1-7024,9,498,69,0,227,201.86627250909805,0.40535396086164266
22,22,22,22,22,22,22,22,22,MLG50,17,MLG50,15,319,43,0,144,127.28521251678467,0.3990132053817701
71,71,71,71,71,71,71,71,71,1-4417,20,1-4417,18,151,21,0,65,59.0454084277153,0.3910291948855318
34,34,34,34,34,34,34,34,34,MLG51,18,MLG51,16,248,70,0,44,95.7538149356842,0.3861040924825976
278,278,278,278,278,278,278,278,278,1-7845,2,1-7845,20,36,9,0,8,13.682511806488037,0.3800697724024455
66,66,66,66,66,66,66,66,66,MLG48,9,MLG48,6,159,13,0,80,59.82511806488037,0.37625860418163753
242,242,242,242,242,242,242,242,242,1-3206,15,1-3206,13,45,11,0,10,16.853139758110046,0.3745142168468899
146,146,146,146,146,146,146,146,146,MLG78,17,MLG78,15,80,17,0,22,29.876907467842102,0.3734613433480263
195,195,195,195,195,195,195,195,195,1-9379,11,1-9379,9,58,14,0,13,21.60908168554306,0.3725703738886735
54,54,54,54,54,54,54,54,54,1-1350,14,1-1350,11,195,34,0,65,72.0454084277153,0.36946363296264256
394,394,394,394,394,394,394,394,394,1-9697,2,1-9697,20,20,5,0,4,7.3412559032440186,0.3670627951622009
206,206,206,206,206,206,206,206,206,1-8544,22,1-8544,8,54,0,0,33,19.315361201763153,0.35769187410672504
143,143,143,143,143,143,143,143,143,1-9286,14,1-9286,11,81,9,0,34,28.900675177574158,0.356798458982397
5,5,5,5,5,5,5,5,5,MLG57,18,MLG57,16,629,114,0,186,222.86839950084686,0.35432177981056734
358,358,358,358,358,358,358,358,358,1-8627,14,1-8627,11,25,3,0,10,8.853139758110046,0.35412559032440183
228,228,228,228,228,228,228,228,228,MLG60,5,MLG60,2,47,14,0,4,16.34125590324402,0.34768629581370253
