Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
212,212,212,212,212,MLG32,13,MLG32,8,52,15,1,18,1017.6477955020964,19.570149913501854
34,34,34,34,34,MLG51,13,MLG51,8,248,76,2,70,2086.2969825081527,8.412487832694165
30,30,30,30,30,1-10785,9,1-10785,17,279,50,2,78,2061.4737805090845,7.388794912218941
58,58,58,58,58,MLG49,19,MLG49,21,185,18,1,19,1020.7948952522129,5.517810244606556
18,18,18,18,18,MLG63,9,MLG63,17,380,63,2,18,2065.6477955020964,5.4359152513213065
54,54,54,54,54,1-1350,19,1-1350,21,195,18,1,28,1022.1187930032611,5.24163483591416
45,45,45,45,45,1-3596,22,1-3596,15,223,7,1,43,1013.3252892550081,4.544059593071785
41,41,41,41,41,1-9283,13,1-9283,8,235,60,1,41,1066.0310897547752,4.536302509594788
43,43,43,43,43,MLG14,22,MLG14,15,232,4,1,76,1015.1795810088515,4.375774056072636
31,31,31,31,31,1-9156,11,1-9156,12,268,31,1,35,1036.1484912540764,3.866225713634613
12,12,12,12,12,1-7024,11,1-7024,12,498,108,1,16,1110.3535960018635,2.2296256947828583
239,239,239,239,239,1-5002,6,1-5002,3,45,14,0,3,14.441299250349402,0.3209177611188756
88,88,88,88,88,1-8267,16,1-8267,6,133,40,0,7,41.02969825081527,0.30849397181064114
64,64,64,64,64,MLG29,8,MLG29,18,164,43,0,50,50.354987505823374,0.30704260674282546
55,55,55,55,55,1-1462,14,1-1462,9,192,52,0,34,57.001391503959894,0.2968822474164578
46,46,46,46,46,1-2282,4,1-2282,2,219,61,0,25,64.67749375291169,0.2953310217027931
84,84,84,84,84,1-2382,4,1-2382,6,139,31,0,62,40.12018450722098,0.28863442091525887
297,297,297,297,297,1-9630,9,1-9630,17,33,9,0,3,9.441299250349402,0.2860999772833152
174,174,174,174,174,MLG41,4,MLG41,2,66,17,0,11,18.618097251281142,0.28209238259516883
40,40,40,40,40,1-7807,16,1-7807,11,239,61,0,30,65.41299250349402,0.2736945293033223
357,357,357,357,357,1-9650,3,1-9650,12,25,5,0,12,6.76519700139761,0.2706078800559044
22,22,22,22,22,MLG50,3,MLG50,14,319,74,0,73,84.73828175850213,0.2656372468918562
126,126,126,126,126,1-6693,8,1-6693,18,98,23,0,20,25.94199500232935,0.26471423471764643
227,227,227,227,227,1-1957,3,1-1957,14,47,9,0,22,12.236194502562284,0.26034456388430394
11,11,11,11,11,MLG56,2,MLG56,5,511,116,0,94,129.82737651094794,0.2540653160683913
165,165,165,165,165,MLG59,21,MLG59,12,71,17,0,4,17.58839900046587,0.24772392958402634
27,27,27,27,27,1-1608,2,1-1608,5,307,73,0,20,75.94199500232935,0.24736806189683827
132,132,132,132,132,MLG55,3,MLG55,14,92,15,0,52,22.64918700605631,0.24618681528322076
161,161,161,161,161,1-8285,4,1-8285,2,72,16,0,8,17.17679800093174,0.23856663890182972
9,9,9,9,9,1-3523,12,1-3523,7,543,111,0,123,129.0932692643255,0.23774082737444843
20,20,20,20,20,1-8067,15,1-8067,10,322,69,0,51,76.50208725593984,0.23758412191285666
228,228,228,228,228,MLG60,11,MLG60,23,47,9,0,14,11.059396501630545,0.23530630854533074
144,144,144,144,144,1-7058,6,1-7058,2,80,15,0,20,17.94199500232935,0.22427493752911687
123,123,123,123,123,1-11350,6,1-11350,3,100,16,0,35,21.14849125407636,0.21148491254076363
151,151,151,151,151,MLG38,4,MLG38,2,77,13,0,21,16.089094752445817,0.2089492824992963
208,208,208,208,208,1-5355,18,1-5355,22,53,9,0,14,11.059396501630545,0.20866785852133102
23,23,23,23,23,1-7866,12,1-7866,7,318,55,0,56,63.23758600652218,0.19886033335384332
