Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,1-8627,17,5,1-8627,25,12,0,6,15.301717042922974,0.612068681716919
422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,1-6878,22,2,1-6878,167,61,0,54,90.71545338630676,0.5432063077024357
526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,1-5002,15,13,1-5002,45,15,0,16,23.80457878112793,0.5289906395806206
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,MLG38,1,14,MLG38,77,29,0,20,40.00572347640991,0.5195548503429859
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,1-1350,20,11,1-1350,195,64,0,43,87.66230547428131,0.4495502844834939
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,MLG41,1,14,MLG41,66,15,0,25,28.75715434551239,0.4357144597804908
364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,1-7682,17,5,1-7682,141,34,0,45,58.7628778219223,0.4167579987370376
282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,1-1608,20,11,1-1608,307,80,0,87,127.87489712238312,0.41653060951916326
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1-5775,9,16,1-5775,244,92,0,17,101.35486495494843,0.41538879079896895
350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,1-2282,1,14,1-2282,219,60,0,56,90.81602573394775,0.41468504901346004
500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1-0292,2,2,1-0292,99,28,0,22,40.1062958240509,0.4051140992328374
267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,1-6181,10,6,1-6181,659,198,0,124,266.23548555374146,0.4039992193531737
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,1-8328,3,8,1-8328,114,31,0,27,45.85772669315338,0.40226076046625775
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1-6532,3,8,1-6532,27,9,0,3,10.650858521461487,0.3944762415356106
439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,MLG72,10,6,MLG72,9,3,0,1,3.5502861738204956,0.3944762415356106
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,1-1390,7,3,1-1390,98,16,0,41,38.56173312664032,0.39348707272081956
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,1-8488,6,15,1-8488,23,9,0,0,9.0,0.391304347826087
554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,1-10444,6,15,1-10444,8,2,0,2,3.100572347640991,0.3875715434551239
548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,1-3087,14,20,1-3087,26,10,0,0,10.0,0.38461538461538464
353,353,353,353,353,353,353,353,353,353,353,353,353,353,353,MLG50,15,13,MLG50,319,60,0,112,121.63205146789551,0.38129169739152197
415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,1-1957,20,11,1-1957,47,14,0,7,17.85200321674347,0.37982985567539296
411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,MLG15,20,11,MLG15,105,25,0,27,39.85772669315338,0.3795973970776513
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,1,14,1-2382,139,37,0,28,52.40801286697388,0.377036063791179
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1-9770,9,16,1-9770,50,16,0,5,18.751430869102478,0.37502861738204957
485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,1-5980,4,7,1-5980,29,7,0,7,10.85200321674347,0.3742070074739127
306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,1-18377,3,8,1-18377,14,3,0,4,5.201144695281982,0.37151033537728445
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,1,14,1-6227,52,2,0,31,19.058871388435364,0.36651675746991086
272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,1-1570,6,15,1-1570,142,30,0,40,52.011446952819824,0.36627779544239314
218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,1-9416,7,3,1-9416,13,2,0,5,4.751430869102478,0.36549468223865217
504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,1-5425,10,10,1-5425,17,4,0,4,6.201144695281982,0.3647732173695284
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,1-9237,2,9,1-9237,38,10,0,7,13.85200321674347,0.3645264004406176
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,9,16,MLG42,14,4,0,2,5.100572347640991,0.3643265962600708
512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,1-3033,1,14,1-3033,7,2,0,1,2.5502861738204956,0.3643265962600708
310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,1-4855,17,5,1-4855,22,3,0,9,7.9525755643844604,0.36148070747202093
501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,1-18487,3,8,1-18487,23,5,0,6,8.301717042922974,0.36094421925752057
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,7,3,1-6980,128,17,0,53,46.16516721248627,0.36066536884754896
473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,2,9,1-9452,16,3,0,5,5.751430869102478,0.3594644293189049
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,MLG58,2,9,MLG58,71,21,0,8,25.402289390563965,0.3577787238107601
331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,MLG75,2,9,MLG75,185,49,0,31,66.05887138843536,0.357074980478029
273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,1-3589,5,21,1-3589,27,3,0,12,9.603434085845947,0.35568274392022026
