Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,18,7,1-6227,52,42,0,18,56.59527575969696,1.08837068768648
276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,1-9495,3,10,1-9495,18,7,0,14,18.35188114643097,1.0195489525794983
546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,1-7527,12,14,1-7527,1,1,0,0,1.0,1.0
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,2,18,1-4926,4,2,0,2,3.6216973066329956,0.9054243266582489
374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,10,21,1-6919,43,2,0,45,38.4881893992424,0.8950741720754046
373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,1-6918,9,23,1-6918,43,1,0,43,35.866492092609406,0.8341044672699862
412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,1-6858,19,15,1-6858,23,10,0,11,18.919335186481476,0.8225797907165859
256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1-9277,3,10,1-9277,48,27,0,13,37.54103249311447,0.7821048436065515
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1-3521,16,20,1-3521,22,0,0,21,17.027821719646454,0.773991896347566
342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,MLG65,13,13,MLG65,201,84,0,88,155.3546814918518,0.7729088631435413
341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,1-0031,7,2,1-0031,13,10,0,0,10.0,0.7692307692307693
269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,1-7839,18,7,1-7839,24,11,0,9,18.29763787984848,0.76240157832702
301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,1-1177,6,9,1-1177,17,8,0,6,12.865091919898987,0.7567701129352346
434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,MLG59,6,9,MLG59,71,19,0,42,53.05564343929291,0.7472625836520128
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1-5167,5,22,1-5167,24,0,0,22,17.83867037296295,0.7432779322067896
476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,1-19205,15,1,1-19205,12,6,0,2,7.621697306632996,0.6351414422194163
279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,MLG43,3,10,MLG43,14,4,0,6,8.865091919898987,0.6332208514213562
464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,1-10060,1,19,1-10060,36,16,0,8,22.486789226531982,0.6246330340703329
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1-7467,18,7,1-7467,64,20,0,24,39.46036767959595,0.6165682449936867
306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,1-18377,5,22,1-18377,14,7,0,2,8.621697306632996,0.6158355219023568
457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,1-8503,21,3,1-8503,16,0,0,12,9.730183839797974,0.6081364899873734
228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,1-17835,17,11,1-17835,17,7,0,4,10.243394613265991,0.6025526243097642
455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,1-17790,18,7,1-17790,5,3,0,0,3.0,0.6
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,1-8488,18,7,1-8488,23,11,0,3,13.432545959949493,0.5840237373891084
538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,1-9576,2,18,1-9576,10,5,0,1,5.810848653316498,0.5810848653316498
467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,1-13247,17,11,1-13247,29,16,0,1,16.810848653316498,0.5796844363212585
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,1-2573,22,8,1-2573,37,18,0,4,21.24339461326599,0.5741458003585403
436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,1-5161,1,19,1-5161,12,2,0,6,6.865091919898987,0.5720909933249155
407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,1-8421,13,13,1-8421,109,33,0,36,62.19055151939392,0.5705555185265497
501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,1-18487,13,13,1-18487,23,5,0,10,13.108486533164978,0.5699341970941295
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,1-9740,3,10,1-9740,34,12,0,9,19.29763787984848,0.5675775847014259
535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,1-5990,8,12,1-5990,5,2,0,1,2.810848653316498,0.5621697306632996
486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,1-8678,13,13,1-8678,17,7,0,3,9.432545959949493,0.5548556447029114
473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,1-9452,5,22,1-9452,16,4,0,6,8.865091919898987,0.5540682449936867
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,1-3083,18,7,1-3083,78,27,0,20,43.216973066329956,0.5540637572606405
245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,1-6647,22,8,1-6647,62,13,0,26,34.08206498622894,0.5497107255843378
312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,1-3108,11,17,1-3108,18,5,0,6,9.865091919898987,0.5480606622166104
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,MLG42,6,9,MLG42,14,6,0,2,7.621697306632996,0.5444069504737854
273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,1-3589,3,10,1-3589,27,9,0,7,14.675940573215485,0.5435533545635365
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,22,8,P-16616,28,10,0,6,14.865091919898987,0.5308961399963924
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,P-16454,10,21,P-16454,8,1,0,4,4.243394613265991,0.5304243266582489
